book_key,question_type,page,text,answer,author_name,book_title,source_name
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,What is the name of the after school program that Tyler and Gwendolyn attend?,Power kids,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,What is the name of Gwendolyn's half brother?,Tyler,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,What is the name of Gwendolyn's moms sponsor that she Skypes with?,Marsha,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,What is the full name of the person assigned as Gwendolyn's partner for the science fair project?,Thais Gonzalez,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,Who invites Gwendolyn to their birthday party?,Thais Gonzalez,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,What page did Gwendolyn forget to turn in for her report?,page 2,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,0,What are the names of 2 people that Gwendolyn puts on her list of people she has harmed in Step 8?,"Name any 2: Mom, Tyler, Hettie, Thías and Marty, Nolan, Dandelion, Mom (again)",Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Beaverton City Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,1,what food related nickname does Gwendolyn's mom call her?,Cupcake,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,2,What is Gwendolyn's hamster's name?,Mr. Jojo,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Cedar Mill Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,2,(2 Part Question) What are the names of Gwendolyn's two pet fish?,Zombie and Marshmallow,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,3,What is the name of Gwendolyn's pet hamster?,Mr. Jojo,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,3,What kind of creature is Mr. Jojo?,A hamster,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Beaverton City Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,3,How did Gwendolyn find the 54 things wrong with her that she wrote down in a list?,In the IEP report mailed home,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Beaverton City Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,4,What is number one on Gwendolyn's list of fifty-four things that is wrong with her?,Too demanding,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,4,name the first six things wrong with Gwendolyn Rogers,"1. Too demanding, 2. Picky Eater, 3. Attention Seeking, 4. Lazy, 5. Will only do what she wants, 6. Socially inept",Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,5,What is the name of Gwendolyn's favorite horse?,Dandelion,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,5,What is the name of Gwendolyn's favorite horse?,Dandelion,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,5,What is the name of Gwendolyn's favorite horse?,Dandelion,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Beaverton City Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,6,what is the name of the farm where the horse Summer camp is going to be?,Cruxman Farms,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Lake Oswego Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,6,Where is the name of the place where Tyler wants to take horse camp?,Cruxman Farms,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,8,What is it called when you don't watch what you say?,No filter,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,9,What color is Tyler's backpack?,Purple,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,Cedar Mill Library
fifty-four-things-wrong-with-gwendolyn-rogers,content,9,(2 Part Question) What state and city does Gwendolyn live in?,"Madison, Wisconsin",Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,9,What color is Gwendolyn's backpack?,Blue,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,11,What are the middle school words for recess?,Outdoor Break,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
fifty-four-things-wrong-with-gwendolyn-rogers,content,12,Where do Tyler and Gwendolyn like to hang out during outdoor break?  Be Specific,(Big) oak tree,Caela Carter,Fifty-Four Things Wrong with Gwendolyn Rogers,OBOB Practice-Question Coalition
