book_key,question_type,page,text,answer,author_name,book_title,source_name
frizzy,content,0,what is the main character's name?,Marlene,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,0,what 3 things does Marlene love?,"Books, her cool Tia Ruby and hanging out with her best friend Camila",Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,0,what character from the Super Amigas does Marlene wish she was?,Dulce Maria,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,0,how old was Marlene when her dad died?,Five years old,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,0,for what special occasion is Marlene getting her hair done?,Her cousin's quinceanera,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,0,How often do Marlene and her mom go to the salon?,Every week (page 8) or Sundays (page 16),Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,0,what is Diana so glad she has?,good hair,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,3,Why is Marlene mad at her cousin in the beginning of the story?,"Because she is having a ""quince""",Claribel A. Ortega and Rose Bousamra,Frizzy,Beaverton City Library
frizzy,content,4,the book opens with an extra visit to the hair salon to prepare for a special occasion. What is the occasion?,Marlene’s cousin’s quince.,Claribel A. Ortega and Rose Bousamra,Frizzy,Lake Oswego Library
frizzy,content,4,What is the name of Marlene's hairdresser?,Gleny,Claribel A. Ortega and Rose Bousamra,Frizzy,Beaverton City Library
frizzy,content,5,What is the name of Marlen's hairdresser?,Gleny,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,6,Whos' quince does Marlene attend?,Cousin Diana or Diana,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,6,What is the name of Marlene's cousin?,Diana,Claribel A. Ortega and Rose Bousamra,Frizzy,Beaverton City Library
frizzy,content,8,Which Super Amiga does Marlene want to be like?,Dulce Maria,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,13,What does the hairdresser put in Marlene's hair before Diana's quince?,Flowers,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,13,what does Gleny put in Marlene's hair for the quince?,Flowers,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,13,What is placed in Marlene's hair that she does not like?,Flowers,Claribel A. Ortega and Rose Bousamra,Frizzy,Beaverton City Library
frizzy,content,14,what does Marlene say she looks like after Gleny puts flowers in her hair?,She says she looks like a meadow,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,16,what modes of transportation do Marlene and her Mami take to get to the hair salon?,"First the subway, then the bus",Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,16,on what day of the week does Marlene go to the salon every week?,Sunday,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,16,What day of the week do Marlene and her mom always go to the hair salon?,Sunday,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
frizzy,content,16,What are the two forms of transportation that Marlene and her Mom use to get to the salon?,Subway and Bus,Claribel A. Ortega and Rose Bousamra,Frizzy,OBOB Practice-Question Coalition
