book_key,question_type,page,text,answer,author_name,book_title,source_name
just-jerry,content,0,how old is Jerry when he gets the job selling newspapers?,13,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,0,What was one of the comic characters Jerry liked to draw?,"Three possible answers: Billy the Kid, Hopalong Cassidy, and the Lone Ranger",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,1,How old is Jerry Pinkney in the summer of 1949?,Nine Years Old,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,3,how old is Jerry in 1949?,9,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,3,What city does Jerry grow up in?,Philadelphia,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,3,What year was Jerry nine years old?,1949,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,4,"In the summer of 1949, what does Uncle Alec slowly polish?","Trailer, or cab of his cross-county trailer",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,6,What city did the author grow up in?,Philadelphia,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Cedar Mill Library
just-jerry,content,6,Whose house is located at the end of East Earlham Street block?,Grandma Clara and Granddad Charles,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,6,What is the name of Jerry Pinkney's arithmetic teacher?,Mr. Scott,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,6,What was the name of the street Jerry lived on?,East Earlham Street,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,7,what 2 materials was  the fence outside Saint Luke's Episcopal Church Cemetery made of?,"stone, concrete",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,7,What is the name of the church with the cemetery that Jerry plays in with his friends?,Saint Luke's Episcopal,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,9,"in the drawing of Jerry on the chicken coop, how many chickens are shown?",3,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,10,name 2 of the things in Jerry's family's backyard.,"trash, Mother's plant pots, laundry, shed, icebox, washing machine, clothes wringer, laundry baskets, glass jugs of spring water",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,10,What is the house number of the house on E. Earlham Street where Jerry grew up?,Fifty One,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,10,What was Jerry's favorite dessert?,Peach Cobbler,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,10,What is Jerry's favorite childhood dessert?,Peach Cobbler,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,12,What is Jderry's youngest sister's name?,Helen,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,12,What is the name of Jerry's middle sister?,Claudia,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,12,What did Jerry draw his sister Joan doing that made her mad?,Sleeping on the couch,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,13,"Joan calls Jerry, Jerry with a (blank)",nickname,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,14,What are the names of Jerry's five siblings?,"Claudia, Joan, Helen, Eddie, Billy",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,15,what is in the wooden crates stascked high in the hallway at Jerry's house?,fruits and vegetables,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,16,Name two of Jerry's favorite comic book characters that fill his sketchbook as a child.,"Billy the Kid, Hopalong Cassidy, the Lone Ranger",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,17,where does Jerry keep his pencils?,empty mayonnaise jar,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,19,Who came up with the idea to build a clubhouse?,Elsworth,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,19,The vacant lot is across from whose house?,Grandma Clara and Grandpa Charlie,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,20,how does Jerry suggest he and his friends get the window out of the abandoned car?,pry it out with his dad's crowbar,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,22,Which of Jerry's brothers worked for Acme supermarket?,Billy,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,26,what is mounted at each end of Jerry's dad's work table?,a wood lathe and a vise,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,26,where does Jerry's dad keep his saw in his workshop?,on a pegboard,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,26,what kind of pencil does Jerry's dad teach him to use?,a carpenter's pencil,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,26,Name three of the tools that Jerry borrows from his dad's workshop in order to build a clubhouse.,"Hammers, handsaw, blue drafting paper, nails, carpenter pencils, crow bar, straight edge",Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,26,What did Jerry's dad say the flat yellow pencil was called?,A carpenter's pencil,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,29,Jerry’s favorite place to draw in his crowded home is where?,Under the upright piano keyboard,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Lake Oswego Library
just-jerry,content,29,Where is Jerry's favorite place to draw at home?,underneath the piano/ piano keyboard,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Cedar Mill Library
just-jerry,content,29,what color is Jerry's family's piano?,pink,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,29,What color was the Pinkney family's piano painted?,Pink,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,29,Where is one of Jerry's favorite places to draw?,Beneath the keyboard of our upright piano,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,31,What does Jerry create building plans for?,A clubhouse,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,32,"what seemed like the ""ultimate adventure"" to Jerry when he was young?",war,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,32,What does Jerry's older brother Billy dream of becoming?,A pilot,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,32,What kind of planes did Jerry like to draw?,Fighter planes,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,34,Jerry finds a stash of what kind of magazines in a wardrobe full of bed linens? What was the main topic of those magazines?,Life magazine. World War II,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Lake Oswego Library
just-jerry,content,34,what does Jerry think about during air-raid drills at school?,the children behind wire fences he saw in Life magazine,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,34,What is the name of the magazine with pictures of WWII that Jerry found hidden in the wardrobe?,Life,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,34,What magazine does Jerry find buried under his mother's bed linens inside a large wardrobe?,Life,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
just-jerry,content,34,What was the name of the magazines buried under his mother's bed linens?,Life magazines,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,Beaverton City Library
just-jerry,content,38,what is the name of the group of black pilots that Billy's teacher told him about?,Tuskegee Airmen,Jerry Pinkney,Just Jerry: How Drawing Shaped My Life,OBOB Practice-Question Coalition
