book_key,question_type,page,text,answer,author_name,book_title,source_name
leonard-my-life-as-a-cat,content,0,Leonard and Olive studied poetry books by which poets?,"Any Two: Walt Whitman, Emily Dickinson, Robert Frost, Langston Hughes, and William Carlos Williams",Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,0,what does Olive carry in the pocket of her overalls?,a picture (or photo) of her Dad,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,0,"How many things were on Leonard's ""Human List""?",5,Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,0,"Name one thing on Leonard's ""Human List""","Go to a real movie theater, creation and enjoyment of poetry, bowling and recreational board games, preparation and consumption of a cheese sandwich, or host a dinner party",Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,0,"What do gentoo penguins give to their intended mates, something that Leonard intends to give to Olive?",Perfect pebble (or stone),Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,1,What is the name of the girl Leonard got to know on Earth?,Olive,Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,2,Leonard thinks Olive smells like what two things?,Cinnamon toast and Rasberry Shampoo,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,2,What two things does Leonard say Olive smells like?,cinnamon toast and raspberry shampoo,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,3,what flavor are the crunchies first fed to Leonard?,Trout flavored,Carlie Sorosiak,Leonard (My Life as a Cat),Lake Oswego Library
leonard-my-life-as-a-cat,content,3,"what flavor are Leonard's ""Crunchies""?",Trout Flavored,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,3,What is Leonard's last meal as a cat?,trout-flavored crunchies,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,6,What Earth creature did Leonard hope to be?,national park ranger,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,6,How many years of thought did Leonard give it before deciding on being a human?,50 years,Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,6,How long does he get to stay on Earth?,30 days/month,Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,7,"according to Leonard’s joke, how many park rangers does it take to change a light bulb?",Twenty-two,Carlie Sorosiak,Leonard (My Life as a Cat),Lake Oswego Library
leonard-my-life-as-a-cat,content,7,What form was Leonard before being a cat on Earth?,Pure energy,Carlie Sorosiak,Leonard (My Life as a Cat),Beaverton City Library
leonard-my-life-as-a-cat,content,9,what does Leonard say is the first rule of space travel?,Never get distracted,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,9,What words had Leonard dreamed of saying as a human?,"tangerine, Yellowstone, soul",Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,9,What is the first rule of space travel?,never get distracted,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,18,how big does Leonard say the largest flower on earth is?,9 feet,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,18,How does Leonard's species communicate?,telepathically,Carlie Sorosiak,Leonard (My Life as a Cat),OBOB Practice-Question Coalition
leonard-my-life-as-a-cat,content,21,how tall is Earth’s largest flower?,Over nine feet tall,Carlie Sorosiak,Leonard (My Life as a Cat),Lake Oswego Library
