book_key,question_type,page,text,answer,author_name,book_title,source_name
solimar,content,0,what is the name of the sacred forest where the monarchs return?,Oyamel Fir Forest,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,0,What is the only food that caterpillars eat in the wild?,Milkweed,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Beaverton City Library
solimar,content,1,What color is Solimar's rebozo?,Red,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Cedar Mill Library
solimar,content,1,how many provincial kingdoms are there?,12,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,1,what is the name of the kingdom where Solimar lives?,San Gregario,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,1,what color is Solimar's silk rebozo?,Red,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,2,what type of bird is Lázaro?,Quetzal (or resplendent quetzal),Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,2,the ancestors of what creature inhabit the oyamel forest?,Monarch butterflies,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,2,What type of bird is Lazaro?,a Quetzal,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Cedar Mill Library
solimar,content,2,what is the name of the quetzal that flies with Solimar,Lazaro,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,2,What type of bird is Lázaro?,Quetzal,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Beaverton City Library
solimar,content,8,what is Solimar’s Abuela’s full name?,Doña Ana Socorro,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,8,what is the name of Solimar's abuela?,Dona Ana Socorro,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,9,What is one reason why doesn't Solimar wear her hair long?,She likes it short and/or it gets tangled when it's long and/or she can't endure braids or buns,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Beaverton City Library
solimar,content,11,what are the first names of Solimar’s parents?,Sebastián and Rosalinda,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,11,"what is Solimar’s brother’s given first name, and what is the nickname everyone has called him since he was a toddler?","Constantino, Campeón",Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,11,what is Solimar's older brothers first name?,Constantino,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,11,what is Solimar's older brothers nickname?,Campeon,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,12,what is the name of the massive fair in Puerto Rivera?,El Gran Mercado,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,12,What is the outdoor fair called?,El Gran Mercado,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Cedar Mill Library
solimar,content,12,what is the name of the village that King Sebastian and Campeon must lead the caravan of men down the mountain to?,Puerto Rivera,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,12,what is the name of the place where the kingdoms all sell their items at?,El Gran Mercado,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,13,which herb does Abuela need for a medicinal tea that treats headaches and stomach ailments?,Mentha spicata (or spearmint),Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,13,What is the Spanish name for spearment?,Mentha spicata,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Cedar Mill Library
solimar,content,13,what herb does Solimar's abuela ask her to help her find?,Spearmint (Mentha Spicata),Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,13,What are the first 2 questions Solimar answers without knowing how she knew the answers?,Where to find an herb (Mentha spicata or spearmint) and that her Abuela would slip on the rocks/ the rocks are not safe,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Beaverton City Library
solimar,content,15,what river did Solimar and Berto have to navigate?,Rio Diablo,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,20,what is the name of Solimar's best friend?,Maria Batista,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,21,what item is abuela's cat affectionately attached to?,a green woolen sock,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,21,what is the name of abuelas cat?,Serafina,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,OBOB Practice-Question Coalition
solimar,content,25,Who is the best horse rider and jumper in the kingdom?,María,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Beaverton City Library
solimar,content,26,"María’s mother was planning on making a pineapple cake for dessert, but changed her mind. What does she decide to make instead?",Orange flan,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Lake Oswego Library
solimar,content,29,Where does Solimar find the rebozo after hiding it in the back of her closet?,On her bed,Pam Muñoz Ryan,Solimar: The Sword of the Monarchs,Beaverton City Library
