book_key,question_type,page,text,answer,author_name,book_title,source_name
the-name-of-this-book-is-secret,content,0,What is the  code for when a customer  arrives at the antique store?,Fire Drill,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,0,Who painted a mural in a town's city hall?,Benjamin Blake,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,0,what letter covers the first two pages of the book?,X,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,0,What is the name of Chapter One?,XXXXXX,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,4,What is an apologia?,An apology,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,5,why couldn't they let you read chapter 1?,you would have learned the names of characters,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,6,what part of the body is very useful when detectives are identifying?,Teeth,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,7,"the author wants the real location of the story to remain a mystery, so where does he ask the reader to imagine the story takes place?","“Your Hometown,” or the place that you live in.",Pseudonymous Bosch,The Name of This Book Is Secret,Lake Oswego Library
the-name-of-this-book-is-secret,content,7,What do you call where the story takes place?,Your Hometown,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,10,On which day of the week does the story begin?,Wednesday,Pseudonymous Bosch,The Name of This Book Is Secret,Cedar Mill Library
the-name-of-this-book-is-secret,content,10,"Who fell in the love with the original, Cassandra?",Apollo OR God of the Sun,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,10,what day does this story begin?,Wednesday,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,10,What day of the week does the story begin?,Wednesday,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,10,Who is Cassandra the princess according to the Greek myth?,Ancient Troy,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,11,Cass has a distinguishing physical feature. What is it?,"She has rather large, pointy ears.",Pseudonymous Bosch,The Name of This Book Is Secret,Lake Oswego Library
the-name-of-this-book-is-secret,content,11,how old is Cass?,Eleven Years Old,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,11,How old is Cass?,Eleven,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,11,what is Cass' large distinguishing feature?,large pointy ears,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,11,What is Cass' major distinguishing feature?,Large pointy ears,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,12,while Cass is being introduced we learn her two word motto. What is it?,Be Prepared,Pseudonymous Bosch,The Name of This Book Is Secret,Lake Oswego Library
the-name-of-this-book-is-secret,content,12,what is Cass' motto?,Be Prepared,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,12,What is Cass's motto?,Be prepared,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,12,What is Cass' motto?,Be Prepared,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,14,Who are the two people in the world that paid attention to Cass's predictions?,Grandpa Larry and Grandpa Wayne,Pseudonymous Bosch,The Name of This Book Is Secret,OBOB Practice-Question Coalition
the-name-of-this-book-is-secret,content,14,What are the names of Cass' substitute grandfathers?,Larry and Wayne,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,14,What did Cass's substitute grandfathers convert their abandoned fire station into?,An Antique Store,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
the-name-of-this-book-is-secret,content,15,Sebastion was known as what kind of dog?,The Seeing-Nose Dog,Pseudonymous Bosch,The Name of This Book Is Secret,Beaverton City Library
