book_key,question_type,page,text,answer,author_name,book_title,source_name
time-travelers,content,0,What is Finn's father's occupation?,history professor,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,0,How many sisters does Gran have?,two,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,2,What's the name of the mail carrier?,Mr Booth,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,4,Finn is getting ready to celebrate which birthday?,13th,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,4,"How old was Finn's sister, Faith, when she died in the quarry?",Three,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,4,What is Finn's twin sister's name?,Faith,Nicole Valentine,A Time Traveler's Theory of Relativity,Beaverton City Library
time-travelers,content,5,How many books does Finn take to Gran's?,5,Nicole Valentine,A Time Traveler's Theory of Relativity,Cedar Mill Library
time-travelers,content,5,What month is Finn's birthday?,October,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,5,How many books does Finn take to his Gran's house?,Five,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,6,what are the names of Finn's two great-aunts? (two part question),Aunt Ev and Aunt Billie,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,7,how old does Finn turn on his birthday?,thirteen (13),Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,7,How old is Finn turning on his birthday?,Thirteen,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,10,what is the name of the trailhead behind Finn's Gran's house?,Dorset Peak,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,13,Who has Gran been dating for over 2 years?,Doc Lovell (Will),Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,15,Which insect can turn its head 180 degrees?,Praying mantis,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,18,why was Finn reluctant to go swimming with his good friend Gabi at the quarry?,It was where his twin sister had drowned.,Nicole Valentine,A Time Traveler's Theory of Relativity,Lake Oswego Library
time-travelers,content,19,What's the derogatory term used for outsiders or newcomers to Vermont?,Flatlander,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,20,What grade was Finn in when he met Gabi?,third,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,20,Where did Gabi live before she moved to Dorset?,New York,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,21,What does Finn call outsiders to Dorset?,Flatlanders,Nicole Valentine,A Time Traveler's Theory of Relativity,Cedar Mill Library
time-travelers,content,21,what do they call outsiders to Dorset?,flatlanders,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,21,Gabi's brother served in which branch of military when he was killed overseas?,Marines,Nicole Valentine,A Time Traveler's Theory of Relativity,OBOB Practice-Question Coalition
time-travelers,content,22,Gabi and Finn became friends when she dreamt that he was in trouble and couldn’t get back home. What did she send him?,A ball of sunlight,Nicole Valentine,A Time Traveler's Theory of Relativity,Lake Oswego Library
time-travelers,content,22,Who has Finn been friends with since the 3rd grade?,Gabi,Nicole Valentine,A Time Traveler's Theory of Relativity,Beaverton City Library
time-travelers,content,22,What did Gabi send to Finn in a dream in the 3rd grade that also helps him later in the book when he is in trouble and can't see to find his way home?,A big ball of sunlight,Nicole Valentine,A Time Traveler's Theory of Relativity,Beaverton City Library
