book_key,question_type,page,text,answer,author_name,book_title,source_name
twins,content,0,What is the name of the store in the mall that Maureen and her friends are treated badly?,Mercy Danger,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,0,Who told Fran that Maureen was also running for student council president?,Mr. Wilson (6th grade student council advisor),Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,0,Who does Maureen ask to dance at the first school dance of the year?,Francine (her sister),Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,0,what are the names of the twin sisters?,Maureen and Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,1,what is the name of the twins’ new middle school?,O’Connor Middle School,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,1,What is the name of the middle school Francine and Maureen go to?,O'Connor Middle School,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,1,What is the name of the middle school they attend?,O'Connor Middle School,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,2,What grade are Francine and Maureen in?,6th grade,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,2,What grade are they entering on the first day of school?,Sixth grade,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,3,Which character rides in the front of the car on the first day of school?,Francine,Varian Johnson and Shannon Wright,Twins,Cedar Mill Library
twins,content,6,Which lunch does Maureen have?,First (lunch),Varian Johnson and Shannon Wright,Twins,Cedar Mill Library
twins,content,6,Which twin is in Cadet Corps?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,6,"which character is disappointed to be ""stuck in Cadet Corps and first lunch""?",Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,6,What class is Maureen not looking forward to?,Cadet Corps,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,7,What item does Maureen tell her sister is from the 80's?,Her hat,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,8,"which twin is the talker, and which twin is the thinker?","Francine is the talker, Maureen is the thinker",Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,8,Dad said that Francine was the talker and Maureen was the 'What'?,Thinker,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,8,"who says she loves Francine's ""throwback"" hat?",Amber,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,8,Which twin is the talker?,Francine,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,9,name two of the three classes the twins have together.,"(Any two:) Advisory, science, language arts",Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,9,What is the twins' last name?,Carter,Varian Johnson and Shannon Wright,Twins,Cedar Mill Library
twins,content,9,What does Maureen think caused the class scheduling mishap for her and her sister?,Computer glitch,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,9,what is the twins' last name?,Carter,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,9,"Which twin was pulling away, according to the other twin?",Francine,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,10,which twin is ¼ inch shorter?,Maureen,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,10,"Which twin is ¼"" shorter?",Maureen,Varian Johnson and Shannon Wright,Twins,Cedar Mill Library
twins,content,10,Which twin is 1/4 inch shorter?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,10,What type of twins are Francine and Maureen?,Identical,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,10,Which twin has a slight overbite?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,10,Which twin has ragged fingernails?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,10,Which twin has scars from chicken pox?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,10,which twin has a slight overbite and scars from chicken pox?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,10,Name one difference between the twins?,"Maureen: shorter, ragged fingernails, slight overbite, chicken pox scars. Francine: one pound heavier, two beauty marks, small burn scar, pierced ears",Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,11,Which twin has pierced ears?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,11,Which twin weighs one pound heavier?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,11,Which twin has two beauty marks?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,11,Which twin has a small burn scar?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,11,which twin has pierced ears and is one pound heavier?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,12,what color are the Cadet Corps uniforms? (Be specific.),olive green,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,13,Which twin did not wear a hat on the first day of school?,Maureen,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,13,Name two of the three friends who all wore hats on the first day of school?,"Nikki, Tasha, Monique",Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,13,What color hat does Francine wear on the first day of school?,Green,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,13,name two of the three friends who dressed alike for the first day of school.,"Nikki, Tasha, Monique",Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,13,Why wasn't Maureen wearing a hat on the first day of school?,Francine said they weren't dressing the same this year,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,14,Which friend tells Maureen she's lucky to be dressed different?,Monique,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,15,Who are the only two types of people who dress alike?,Babies and twins,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,17,who is the twins’ advisory teacher?,Mrs. Barbosa,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,17,What is the name of Francine's and Maureen's advisory teacher?,Mrs. Barbosa,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,17,What name does Francine want to be called now?,Fran,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,17,what is the name of the twins' advisory teacher?,Ms. Barbosa,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,17,What name does Francine suddenly start going by?,Fran,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,18,When does Maureen report to lunch?,Between fourth and fifth period,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,25,Where does Maureen go during lunch on the first day of school?,Library,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,25,"where is the ""No-Man's-Land"" where Maureen eats lunch on the first day of school?",the library,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,25,Where did Maureen eat lunch?,The library,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,26,What branch of the military did Master Lucienda Fields serve?,United States Army,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,26,"What does Master Sergeant Field want from the cadet when she says, ""Cadet, give me ten!?",Push ups,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,26,what is the name of the Cadet Corp instructor?,Master Sergeant Lucinda Fields,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,27,what is the name and rank of Maureen’s Youth Cadet Corps instructor?,Master Sergeant Lucinda Fields,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,27,What does Y.C.C. stand for?,Youth Cadet Corps,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,27,what is the full name of Maureen's Cadet Corp class leader?,Bryce Jackson,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,28,What is Private Jackson's first name?,Bryce,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,30,what is Francine’s favorite class after the first day of sixth grade?,Chorus,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,30,What is Francine's favorite class on the first day of school?,Chorus,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,30,what was Francine's favorite class after the first day?,chorus,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,31,What is Maureen's campaign platform?,6th grade and 7th grade buddy system,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,32,Who is Francine named after?,Her Great Grandmother,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,35,Two-Part Question: What are the colors of Maureen's and Francines's bedspreads?,Maureen's is purple and Francine's is blue,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,36,Francine is how much older than Maureen?,Two minutes,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,36,Two-Part Question: Which twin is older and by how much?,Francine & Two minutes,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,36,how much older is Francine than Maureen?,2 minutes,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,37,Who does Francine suggest Maureen try sitting by at lunch?,The Cadet Corps Kids,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,37,Where does Francine recommend Maureen eat at lunch time?,With some of the cadet kids,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,39,What is the name of the librarian at the Middle School?,Mrs. Colbert,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,39,"What does the school librarian, Mrs. Colbert, let Maureen do in the library that you aren't supposed to do?",Eat lunch,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,40,What is Maureen and Francine's brothers name?,Curtis,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,40,what is the name of Francine and Maureen's half brother?,Curtis,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,41,what is Francine and Maureen's brother's job?,first grade teacher,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,49,In what grade did Maureen and Francine meet Nikki and Tasha?,Kindergarten,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,49,In what grade did Monique start going to the same school as Maureen and Francine?,Third Grade,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,50,"according to Francine and Maureen’s dad, who is the “fifth gear” in their group of friends?",Monique,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,50,"What does Maureen and Francine""s dad call Monique?",The fifth gear,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,50,what does Dad call Monique?,"""the fifth gear""",Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,56,What does Private Jackson tell Maureen she is bad at in Y.C.C. (Youth Cadet Corp)?,Drill,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,56,Who only hates Nazis?,Master Sargeant Fields,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,60,Who tells Maureen that her parents inquired about Y.C.C.?,Master Sergeant Fields,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,60,"what does Master Seargent Fields tell Maureen she is ""sorely lacking"" in?",self-confidence,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,60,What did Master Sargeant say that Maureen was lacking?,Self-confidence,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,67,Why do Maureen's' parents want her to be in Cadet Corps?,They don't think she has high self-confidence,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,69,Who asked mom and dad to put the sisters in different classes?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,69,who asked Mom and Dad to put them in separate classes?,Francine,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,75,what student council position does Francine suggest Maureen run for?,Treasurer,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
twins,content,78,Who is planning to run for treasurer?,Maureen,Varian Johnson and Shannon Wright,Twins,Beaverton City Library
twins,content,81,what student council position do Maureen and Francine both run for?,President,Varian Johnson and Shannon Wright,Twins,Lake Oswego Library
twins,content,87,What position does Maureen run for on Student Council?,President,Varian Johnson and Shannon Wright,Twins,OBOB Practice-Question Coalition
