book_key,question_type,page,text,answer,author_name,book_title,source_name
every-falling-star,content,0,to whom is the book dedicated?,To those [the author] left behind in North Korea,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,0,What two toys did Sung Ju like to play with when he was six?,Toy soldiers and a gun made out of wood and painted,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,0,"when Sung Ju and his father played toy soldiers, what role did Sung Ju's mother playact?",Army nurse,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,0,what was Sung Ju taught to use if there were no phones or walkie talkies?,"Stones, number of stones at a location was the code",Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,0,how old was Sung Ju at the beginning of the book?,Six years old,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,1,what is the name North Korea's capitol city?,Pyogyang,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,3,what is the name of Sungjus dog?,Bo-Cho,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,3,what is Sungju's favorite cartoon?,Boy General,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,3,: name the two songs Sungju's mother plays on the piano.,Arirang and So-nian-jang-soo,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,6,propaganda said that the eternal leader could turn sand into what?,Rice,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,6,propaganda said that the eternal leader could turn pinecones into what?,Grenades,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,8,what two foods were usually prepared for a boys birthday?,Pork and eggs,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
every-falling-star,content,10,how does the main character realize his home had been invaded?,He came home from school to find his family’s apartment empty,Sungju Lee,Every Falling Star,Lake Oswego Public Library
every-falling-star,content,11,what University Program is best for a future general?,Engineering,Sungju Lee,Every Falling Star,OBOB Practice-Question Coalition
