book_key,question_type,page,text,answer,author_name,book_title,source_name
losers-at-the-center-of-the-galaxy,content,0,Name two of the protestors that Louise talks with,Carlyle and Gwen,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,1,Where is the center of the galaxy? Be specific,The fifty-yard line,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,3,how many points are the Chicago Terribles losing by at halftime to open the book?,59 points,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,4,what position did Winston and Louise’s dad play for the Chicago Terribles?,Quarterback,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,5,how many days has it been since Winston and Louise’s dad disappeared when the press conference happens to start the book?,3 weeks or 21 days,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,8,what is the name of Winston and Louise’s dad?,Lenny,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,,what names do Winston and Frenchie give to their tubas?,"Lonesome (Winston’s tuba, p. 16) and Canary (Frenchie’s tuba, p. 20",Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,1,Where was the center of the galaxy?,At the fifty-yard line,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,9,Who gave the owner of Chicago Horribles a nosebleed for making a terrible joke?,Louise,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,11,What first song did Winston play when he was assigned the tuba?,Darth Vader's theme song,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,12,How many years passed since Winston and Louise's dad disappeared?,Two,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,16,What did Winston name his tuba?,The Lonesome,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,19,Who was the only other person that knew Winston named his Tuba?,Frenchie,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,21,What suspicious thing did Frenchie think the teachers were involved with?,Being in a criminal ring,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,25,which teacher accepts an envelope full of money from a mysterious woman?,Mr. Manning,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,31,What was Tib's favorite joke of Louise?,The Mad Scientist,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,35,What was Louise working on a cure for?,Brain injuries,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,40,Louise believes humans need to be more like which animal so that they could heal their own brains?,Jellyfish,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,40,what does G.L.O.P. stand for?,Greater Levels of Oxygen Project,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,44,How long was the walk to school from Winston and Louise's house?,A five-block walk,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,55,what is the name of the student who pulls a prank that means his face is printed on everything that comes out of the school copy machine?,Brian Dolph,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,55,Who's face was on all the school papers as a prank?,Brian Dolph,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,61,What lake was the Chicago Horribles stadium right next to?,Lake Michigan,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,65,what equipment for the Chicago Horribles does Louise throw into Lake Michigan?,Their helmets,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,71,Who was head of security for the Chicago Horribles?,Tybalt Rawls,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,95,What game did Frenchie associate with the teachers?,Sardines,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,106,what is the name of the title track on Kittentown Dynamo’s latest album?,Good Kittizenship,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,110,What fruit did Winston compare mysteries to?,Pineapples,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,115,What was the inscription that was written on the side of the truck that carried the bear?,Mr. Elegant's Exotic Animals,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,120,What terrible thing happened to Winston and Frenchie's tubas?,They were pushed off the roof,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,121,what was thrown off the roof of the school?,Two tubas,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,132,what club makes a plan to do a fundraiser to replace music instruments that were destroyed?,The Science Club,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,136,Kittentown Dynamo’s signature emblem is a kitten with a capital 'I' on it. What does the 'I' stand for?,'I voted',Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,145,what does the 'V' stand for that Louise spray paints at the Chicago Horribles stadium?,"Volpe, her last name",Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,163,What did Frenchie do for the destroyed tubas?,Throw a funeral,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,183,who is the mannequin that Frenchie finds in the warehouse room full of old items for the Chicago Horribles?,Winston and Louise’s dad,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,187,How old was Louise when her dad left?,Nine,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,190,What was a marching tuba called?,A Sousaphone,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,content,216,who is Dr. Omanid’s niece?,Kittentown Dynamo,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,216,what is Kittentown Dynamo’s real name?,Katherine Omanid,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,250,Louise knows that - on average - a human brain can process information at around how many miles an hour?,268 miles an hour,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,258,why does Darth Vader remind Winston of his dad?,They both wore helmets,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,262,the bear chases Winston because it wanted what of his?,His bologna sandwich,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,276,who secretly sent coffee to the security team at the stadium?,Lenny Vulpe - Winston and Louise’s dad,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,content,,what does Frenchie name her tuba?,Canary,Mary Winn Heider,The Losers at the Center of the Galaxy,Cedar Mill Library
losers-at-the-center-of-the-galaxy,content,,what does the Yo-Yo Ma quote say in the band and orchestra room?,"'When music called, I said ""CELLO!""'",Mary Winn Heider,The Losers at the Center of the Galaxy,Cedar Mill Library
losers-at-the-center-of-the-galaxy,content,,what does G.L.O.P stand for?,Greater Levels of Oxygen Project,Mary Winn Heider,The Losers at the Center of the Galaxy,Cedar Mill Library
losers-at-the-center-of-the-galaxy,content,4,What position does Louise and Winston's dad play on the Chicago Horribles?,Quarterback,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,4,"How much older is Winston than his sister, Louise?",1 year,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,5,"At the press conference, how long has it been since Louise and Winston's dad disappeared?",3 weeks (or 21 days),Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,6,What team does Lenny Volpe play for?,Chicago Horribles,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,8,What is Louise and Winston's dad's name?,Lenny Volpe,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,30,Where does Louise hide to avoid other members of science club?,The supply closet,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,35,What color are the boxes for science club supplies? Be specific,Bright green,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,45,"Who does Frenchie describe as ""used to being the top of the food chain""?",The teachers,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,52,"How much cash is paid for ""tails"" as noted in the notebook on Mr. Manning's desk?",$300,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,65,What body of water does Louise throw helmets into?,Lake Michigan,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,72,What does Louise draw on the top of each page of her science notebook?,a jellyfish,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,76,What is Lenny Volpe's number on the football team?,Five (5),Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,89,What does Winston find in Brian Dolph's gym bag?,sweaty gym clothes,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,93,Where does the security guard tell Winston & Frankie to go when he sees them with tubas?,The holding pen,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,95,"What is the name for the game Frenchie describes as ""backward hide-and-seek""?",Sardines,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,96,"Who does Frenchie refer to as ""the original sardine""?",Mr. Manning,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,96,What instrument does Mr. Manning resemble?,Bassoon,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,109,What is Dr. Omanid's first name?,Beth,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,114,What animal is brought in for Chicago Horribles football games?,a bear,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,115,What does it say on the side of the truck that delivers the bear?,Mr. Elegant's Exotic Animals,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,118,What does the protestor's brochure advertise?,A wildlife refuge,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,122,Which character's leg is in a cast?,Mr. Manning,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,125,Who is the first chair tuba player?,Frenchie,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,132,What does science club decide to fundraise for?,Tubas,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,163,Who has a Tuba Greats playlist on their phone?,Frenchie,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,186,Where was Winston when his dad left?,the park,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,187,How old was Louise when her dad left?,Nine (9),Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,190,"What kind of instrument does Frenchie describe as a ""marching tuba""?",Sousaphone,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,203,What do Winston and Frenchie see in the cage on the 50-yart line?,A bear,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,213,Where did the tubas fall before being dropped off the roof?,the stage,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,222,"what two things do Winston, Frenchie, and Louise add to their black outfits for the Kittentown show?",Cat ears and tails,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,224,Which Kittentown Dynamo song involves tail choreography?,Step Off (My Tail),Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,226,Which song do Winston and Frenchie play on the sousaphone for the Kittentown show?,Good Kittizenship,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,229,"What expression does Mr. Manning say is ""too soon""?","""Break a leg""",Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,237,What nickname does Winston call his sister?,Lou,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,256,What does the bear take from Winston?,A bologna sandwich,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,269,What makes Kittentown's body guards start crying as they carry the bear?,Pepper spray,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,content,282,What does Winston put on his head when he's waiting for Frenchie for Aquarium Night?,A piece of bologna,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,,does a character come up with lyrics to a song from Star Wars?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Cedar Mill Library
losers-at-the-center-of-the-galaxy,in-which-book,,does a pop star named Kittentown Dynamo perform?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Cedar Mill Library
losers-at-the-center-of-the-galaxy,in-which-book,1,does a character think cheerleaders are on fire?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,4,does two characters' dad go missing?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,5,does it say that a brother and sister 'looked like they were built to stop things?',,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,6,"does a character imagine ""someone gently pouring water on his head"" to help him calm down?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,6,does a character find themselves in a series of rooms resembling a bear paw?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,9,does a girl headbutt the owner of a football team?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,12,does a character come up with lyrics to go with The Imperial March?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,12,do characters attend subito school?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,12,does a character invents a song to the tune of the Imperial March?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,15,is the main characters' mother a real estate agent?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,16,"does a character tell her brother he sounds ""like whale farts""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,16,do characters give their instruments names?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,19,does a character lose their skin pigment in the sun without pattern or reason?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,20,does a character has an instrument named The Canary?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,21,does a character think the teachers make up a criminal ring?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,24,"does a school room feature a mural with the quote, 'when music called, i said, cello!'?",,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,38,"does a character call himself ""Pac-Man""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,40,does a character make G.L.O.P.?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,40,does a character invent a mysterious glowing substance called G.L.O.P?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,44,does a character tell their brother they are finding a cure for brain damage?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,55,does a student get detention for reprogramming a copy machine with his face smushed on it?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,55,does a student become a legend for pulling a prank that meant their smushed face was printed on everything that came out of the school copy machine?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,65,does a character vandalize a football team's helmets?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,68,do characters listen to a pop star named Kittentown Dyanmo?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,74,does a character believe there is a ghost problem?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,77,"does a character tell others ""There's no such thing as ghosts""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,86,does a character always know which way the lake is if they are outside?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,97,do two characters sneak in on a teacher's meeting?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,98,"is there a character with the nickname of ""Moss""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,101,does a character eat bologna on top of mac and cheese?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,105,"does a character receive a note that says ""Sorry, I can't be there. XO""",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,110,"does a character say that ""mysteries are like pineapples. From the outside, it's hard to imagine the inside.""",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,113,do protestors protest the bondage of a bear?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,115,"do characters chant ""Bears don't deserve bars! Bears don't deserve bars!""",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,115,is there a truck that reads mr. elegant’s exotic animals across the side of it?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,125,does a character hum the darth vader song from star wars?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,132,does a character bake cookies attempting to raise money?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,139,do characters mistakenly try to bake cookies in a drying oven used for sterilizing science equipment?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,140,"do characters bake 50 pounds of ""disgusting but sterile cookies"" in a drying oven?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,152,"does a character describe herself as the ""queen of the morning""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,153,does a character wish they had 32 brains like leeches?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,162,does a character attempt to take a dance class instead of music?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,167,"does a ""burial at river"" take place?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,169,does a bear remind a character of their dad?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,171,is there a character named mr. elegant?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,176,"does a character imagine their dad saying ""Bummeroo""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,178,does a character try to rescue a bear?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,181,"does a character describe themselves as a ""football archaeologist""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,181,"do characters find a box labeled ""Defective Fireworks, Dispose of Properly""?",,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,187,does a character put out a fire that started in the kitchen?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,190,do characters find a sousaphone?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
losers-at-the-center-of-the-galaxy,in-which-book,196,do characters find themselves with their teacher dressed as a kitten?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,199,does a woman wear a gold-sequined dress that makes her look like a calico cat?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,199,does two characters meet a celebrity singer accidentally?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,205,do characters use sousaphones as a disguise?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,208,do teachers get involved with a singer's choreography?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Beaverton City Library
losers-at-the-center-of-the-galaxy,in-which-book,210,does a character say that a crime ring and an artists collective are pretty much the same thing?,,Mary Winn Heider,The Losers at the Center of the Galaxy,OBOB Practice-Question Coalition
losers-at-the-center-of-the-galaxy,in-which-book,213,does a teacher break his leg rehearsing for a performance?,,Mary Winn Heider,The Losers at the Center of the Galaxy,Lake Oswego Public Library
