book_key,question_type,page,text,answer,author_name,book_title,source_name
scary-stories-for-young-foxes,content,1,where does the main family of foxes live?,Antler Wood,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,2,"In Scary Stories for Young Foxes by Christian McKay Heidicker, where does the old storyteller live?",Bog Cavern,Christian McKay-Heidicker,Scary Stories for Young Foxes,Lake Oswego Public Library
scary-stories-for-young-foxes,content,2,What is the name of the cave where the foxes find the storyteller?,bog cavern,Christian McKay-Heidicker,Scary Stories for Young Foxes,Beaverton City Library
scary-stories-for-young-foxes,content,3,"What is the name of the story that can be forgotten with ""a shiver and some milk and a lick on the cheek?""",Willoughby Wallaby,Christian McKay-Heidicker,Scary Stories for Young Foxes,Beaverton City Library
scary-stories-for-young-foxes,content,11,"what is the name of Roa, Marley, and Mia's teacher?",Miss Vix,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,11,what is the name of the tree where the Miss Vix kits learned their lessons?,Learning Tree,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,11,"What is the name of Roa, Marley, and Mia's teacher?",Miss Vix,Christian McKay-Heidicker,Scary Stories for Young Foxes,Beaverton City Library
scary-stories-for-young-foxes,content,17,who disappears for hours at a time and returns smelling of orange mud?,Alfie,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,17,"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the kit who was the runt of the litter and bit his teacher’s paw when she went to lick his wounds?",Alfie,Christian McKay-Heidicker,Scary Stories for Young Foxes,Lake Oswego Public Library
scary-stories-for-young-foxes,content,17,What is the name of the runt of Roa's litter?,Alfie,Christian McKay-Heidicker,Scary Stories for Young Foxes,Beaverton City Library
scary-stories-for-young-foxes,content,23,what color do fox eyes grow fuzzy with when facing north?,Purple,Christian McKay-Heidicker,Scary Stories for Young Foxes,Cedar Mill Library
scary-stories-for-young-foxes,content,24,which fox kit is especially good at remembering bird songs?,Bizy,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,25,name the two items Roa has for breakfast? (2 Part Question),"Mouse, Blackberry",Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,28,what is the name of the kit that enters the burrow where Roa is hiding?,Alfie,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,29,"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the only kit who makes it back to her den after avoiding her teacher biting her skin?",Mia,Christian McKay-Heidicker,Scary Stories for Young Foxes,Lake Oswego Public Library
scary-stories-for-young-foxes,content,30,what does Mama fox ask Mia to do to make sure she isn't sick after she returns from the Learning Tree?,drink from the river,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,33,which kit goes home after the first scary story?,Bozy or The 6th Kit,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
scary-stories-for-young-foxes,content,33,What is the name of the first kit to leave Bog Cavern?,Bozy,Christian McKay-Heidicker,Scary Stories for Young Foxes,Beaverton City Library
scary-stories-for-young-foxes,content,39,"according to his sisters, what two things does Uly's fur taste like? (2 Part Question)",Shrew Guts and Owl Pellets,Christian McKay-Heidicker,Scary Stories for Young Foxes,OBOB Practice-Question Coalition
