book_key,question_type,page,text,answer,author_name,book_title,source_name
seventh-grade-lizard-boy,content,0,"after Tommy throws out his lunch at school, what does he eat instead?",A bug,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,0,what does the principal say is a big problem at EVMS?,Bullying,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,0,whose face does Tommy change into to make fun of him?,"Caleb (or, Caleb Russell)",Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,0,in which class does Tommy reveal that he is a lizard person?,Social Studies,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,0,name two of the three people that meet Tommy and tell him they are also not human?,"Any two: Greg, Allie, and Sara",Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,0,"who does the author base the character, Dung, on?",His uncle Phuc,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,0,what is Vietnamese beef noodle soup called?,Pho bo,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,1,what is the name of the location that a sinkhole has opened under?,Eagle Valley town square,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,2,what is the name of the video game that involves conquering an island of lizard people?,Conqueror of Rept Isle,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,3,What was the new game that you play as a viking?,Conqueror of Rept Isle,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,5,who are the friends that a character thinks will really love the video game?,Trevor and Ricky,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,5,what are the names of Caleb’s two friends who he tells Tommy are the coolest?,Ricky and Trevor,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,6,What nickname does Tommy's sister like to call him?,Squirt,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,10,what is Tommy's real full name?,Booger Lizk't,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,10,what is Tommy’s real first name?,Booger,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,11,where did Tommy's family move from?,Elberon,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,11,what is the name of the place Tommy used to live that his family had to leave as they were in danger of dying there?,Elberon,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,11,Where did Tommy used to live before they moved?,Elberon,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,15,what does Tommy's mom give him the night before school starts? Be specific.,A Yus Yus beetle,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,15,What two color shirts did Tommy's sister was deciding to wear?,Green and pink,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,19,what does Tommy's sister change about her face?,Her nose,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,22,what school does Tommy attend?,Eagle Valley Middle School,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,23,what is the room number of Miss Sachs’s classroom?,No. 201,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,23,Who did Tommy bump into before class?,Miss Sache,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,25,who calls Tommy a dweeb?,Caleb,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,26,what are the first names of the hosts of EVMS Live?,Annie and Brandy,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,26,What was the school announcements and news called?,EVMS Live,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,28,What book did Tommy's English teacher cried herself to sleep reading?,Where the Red Ferns grow by Wilson Rawls,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,32,what does a classmate catch Tommy eating on the playground on the first day of school?,A bug,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,34,what is the name of the PE teacher?,Coach Betts,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,34,What sport was Tommy really good at in physical education?,Basketball,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,36,how many laps does a student have to run after calling Tommy a bug eater during PE?,Ten laps,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,43,what is the name of the TV show that was basically about the lives of Tommy's family?,Victory X,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,43,what is the name of the hit TV show about alien lizard people?,Victory X,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,43,What popular show was about lizard aliens from another planet?,Victory X,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,44,what name do the cool girls at Tiffany's school all share?,Rebecca,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,47,what is the name of the head of maintenance at EVMS?,Mr. Callahan,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,51,there are official reports that the sinkhole is how deep?,15 miles,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,52,what did Tommy's family use to reach the surface?,Teleporters,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,53,what is the full name of the student whose father is taking over as the head of maintenance?,Scarlett Roberts,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,53,what is the first and last name of the new student whose dad was recently hired as head of maintenance at school?,Scarlett Roberts,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,53,Which country did Dung transfer from?,Vietnam,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,53,What color hair does Scarlett Roberts have?,"Yellow, pink, and blue",Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,58,what did Dung eat at the lunch table?,Kimchi,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,58,what food is in Dung’s lunch at school that smells so good to Tommy?,Kimchi,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,61,name two of the jobs that Tommy lists in his brainstorm?,"Doctor, Mail Person, Grocery Person, Police, Lawyer, Firefighter",Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Cedar Mill Library
seventh-grade-lizard-boy,content,68,who takes Trevor's starting position on the basketball team?,Dung (Tran),Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,70,What color hair does Principal Kuroski have?,Purple,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,72,"what is the Vietnamese meaning of ""Dung""?",Bravery,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,72,what does Dung’s name mean in Vietnamese?,Bravery,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,72,What does Dung's name mean in Vietnamese?,Bravery,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,81,what country is kimchi from?,Korea,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,91,"when Tommy returns late from Dung's house, how late is he?",Half an hour,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,101,what is the name of the rock the FBI shows Tommy (in Tommy's imagination)?,Elberonium,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,106,what does the nurse think happened to Tommy during his Home Economics class?,A panic attack,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,111,"even though Dung missed school, he still attended what?",Basketball practice,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,,What time did Tommy's alarm clock ring after the weekend of hanging out with Dung?,7:00 am,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,116,Who was the first person that Tommy showed his lizard face to?,Dung,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,120,what place is Thomas originally from?,Elberon,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Cedar Mill Library
seventh-grade-lizard-boy,content,122,"in the place Tommy comes from, what powers everything?",The Molten Heart of Elberon (O'ska Y'us),Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,122,What was the source of power in Elberon?,O'ska Y'us Elber'n; The Molten Heart of Elbern,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,131,why does Tommy say his people change the skin on their faces?,To let each other know how they are feeling.,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,139,Tommy says if they become friends with Scarlett they would be like what?,The triangle of weirdos,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,143,"Where were Tommy, Dung, and Scarlett when they first talked about Halloween?",The library,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
seventh-grade-lizard-boy,content,144,who says Halloween is the best?,Scarlett,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,147,what does Tommy dress up as for Halloween?,"Himself, a lizard person.",Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,155,on Halloween what time was it when Tommy says his mom will be so mad?,9:21,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,155,what time is it on Halloween night when Tommy says he has to get home because his mom is going to get mad?,9:21 pm,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,168,who invites Tommy to play Samurai and Sorcerers at lunch?,Greg,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,173,"when Tommy pretends to be Caleb at school, name two of the things he does to try and embarrass Caleb and make him look bad in front of other kids?","1) he says he likes smelling farts, (2) he says that he’s a dummy just like his friends Trevor and Ricky, and (3) he pees his pants",Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Lake Oswego Public Library
seventh-grade-lizard-boy,content,175,why did Caleb go to the Nurse's office?,To pick up his inhaler (that his dad dropped off for him),Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,182,whose face does Tommy change into and then break up with someone?,Scarlett,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,192,when and where does Dung tell Tommy they will fight?,Four o'clock by Old Creek,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,OBOB Practice-Question Coalition
seventh-grade-lizard-boy,content,192,When and where did Dung say he wanted to fight Tommy?,Four o'clock by Old Creek,Jonathan Hill,Tales of a Seventh-Grade Lizard Boy,Beaverton City Library
