book_key,question_type,page,text,answer,author_name,book_title,source_name
the-story-that-cannot-be-told,content,1,what is the name of the country the story takes place in?,Romania,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,2,what had the leader been before he became leader?,A shoemakers's apprentice,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,2,what are two of the three things the leader took control over?,"Any two: Newspapers, television and radio",J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,2,"what is the name of the city where 40,000 people were forced from their home?",Bucharest,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,2,what is the other name for the secret police? Be specific.,The Securitate,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,2,name two of the three things that have to be rationed?,"Any two: Gasoline, water and electricity",J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,4,what is the name of the magazine that Ileana's mother read?,Femeia magazine,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,4,in what year did the story take place?,1989,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,4,what magazine was Ileana's mother reading when her husband came home from work?,Femeia,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,6,how old is Ileana?,Ten,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,7,what is the name of Ileana's book she kept her stories in?,The Great Tome,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,7,how many hours a day during the week do they get to watch TV?,Two,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,8,what is the name of the movie that Gala Animation played that summer?,The Aristocats,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
the-story-that-cannot-be-told,content,8,on which day of the week would Romanians get to watch 5 minutes of a cartoon?,Sunday,J. Kasper Kramer,The Story that Cannot be Told,OBOB Practice-Question Coalition
