book_key,question_type,page,text,answer,author_name,book_title,source_name
city-of-ember,content,1,who did the city's builders intend to have access to the secret instructions?,The Mayor,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,2,What did the seventh mayor of Ember use in his attempt to open the box?,hammer,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,2,"which numbered mayor was responsible for the city's instructions going missing, and what was his name?","The seventh mayor, Podd Morethwart",Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,5,How many students were set to graduate on Assignment Day in the year 241?,24,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,5,What is Lina's last name?,Mayfleet,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,5,What is Doon's last name?,Harrow,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,5,what is the name of the day that children are given jobs to do when they're 12 years old?,Assignment Day,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,5,in what year of The City of Ember does the story take place?,241,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,6,"Name two of the books that Lina says ""goodbye"" to as she gazes around the classroom on Assignment Day.","accept any 2: The Book of Numbers, The Book of Letters, The Book of the City of Ember",Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,6,what was the name of Lina's last teacher at the School of Ember?,Miss Thorn,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,8,how long are children meant to keep their assigned jobs before evaluation?,3 years,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,11,What two words are written on the paper that Lina picks on Assignment Day?,Pipeworks Laborer,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,11,what job does Lina draw from the bag?,Pipeworks laborer.,Jeanne DuPrau,City of Ember,Cedar Mill Public Library
city-of-ember,content,12,who is the greenhouse manager?,Clary,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,15,Which student wishes to trade assignments with Lina?,Doon,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,15,who trades job assignments with Lina?,Doon Harrow,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,21,what sort of shop does Lina's grandmother run?,A yarn shop,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,23,What is the name of Lina's younger sister?,Poppy,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,25,what do people call the darkness beyond the city?,The Unknown Regions,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,27,On which street is the messengers' headquarters?,Cloving Street,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,27,What is the full name of the Messenger Captain?,Allis Fleery,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,27,what is the name of the Messenger Captain?,Allis Fleery,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,27,name two of the four rules of being a Messenger,"(Any two) 1. When a customer gives you a message, repeat it back to make sure you have it right. 2. Always wear your red jacket so people can identify you. 3. Go as fast as possible. 4. Deliver a message only to the person it's meant for, no one else.",Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,28,Who is Lina's first customer after she became a messenger?,Natty Prine,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,28,who gives Lina her first message to deliver?,Natty Prine,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,31,What is the name of the city's central plaza?,Harken Square,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,33,What colors are the walls in the Reception Room of the Gathering Hall?,dark red,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,36,How many stories does the Gathering Hall have?,3,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,40,What color are the slickers workers were in the Pipeworks?,Yellow,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,40,"When Doon first enters the Pipeworks, what does the air smell of?",accept either of these: dampness or moldy rubber,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,40,what does the Pipeworks smell like?,Dampness and moldy rubber,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
city-of-ember,content,41,What is the name of the Pipeworks expert who shows Doon what to do his first day?,Arlin Froll,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,41,What is the first name of the person who is assigned to train Doon on his first day in the Pipeworks?,Arlin,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,46,How tall is the generator?,2 stories high,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,49,What is the name of Doon's father's shop?,the Small Items shop,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,49,Name three specific things that Doon's father sells at the Small Items Shop.,"accept any 3: nails, pins, tacks, clips, springs, jar lids, doorknobs, wire, glass, wood,",Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,52,What does Doon title his book for bug observations?,Crawling and Flying Things,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,52,What is the exact title of the book that Doon uses to write down observations about bugs?,Crawling and Flying Things,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,56,What is the full name (first and last) of Lina's neighbor who later becomes her guardian?,Evaleen Murdo,Jeanne DuPrau,City of Ember,OBOB Parent Group
city-of-ember,content,71,what day of the week do all 12-15 year-olds have off from work?,Thursday,Jeanne DuPrau,City of Ember,Lake Oswego Public Library
