book_key,question_type,page,text,answer,author_name,book_title,source_name
finding-langston,content,1,What junior high school does Langston attend?,Haines Junior High School,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is the name of Langston's middle school?,Haines Junior High,Lesa Cline-Ransome,Finding Langston,Lake Oswego Public Library
finding-langston,content,2,What is the nickname for the area of Chicago Langston lives in?,"Black Ghetto, Black Belt, Bronzeville",Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,The area of Chicago in which Langston lives has several nicknames - name one of the nicknames.,"Bronzeville, Black Ghetto, or Black Belt",Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,4,On what floor of the building does Langston live?,4th Floor,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,5,Where does Langston keep his apartment key?,in his shoe,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,5,"After losing the key to his apartment twice, where does Langston start to store his key?",In his shoe,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,7,Where did Langston live before Chicago?,Alabama,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,8,What nickname do school mates call Langston?,Country Boy,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,9,Name two of the three boys that bully Langston at school.,"Erroll, Clem, Lymon",Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,12,What is a nickname Langston's dad used to call his mama?,Teena,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,15,What do Langston and his dad eat every morning for breakfast?,oatmeal and toast,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,19,Where does Langston end up when he gets lost walking home from school in the rain?,library,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,24,"Before Langston and his dad move to Chicago, who squeezed Langston so hard he thought they'd never let go?",his grandma,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,26,What is the name of the avenue (street) the library is located on?,Michigan Avenue,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,29,What is the name of the children's librarian?,Miss Cook,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,30,What day of the week does Langston's dad get groceries?,Friday,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,31,How many books can Langston check out from the library at one time?,five,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,31,How long does Langston check to check out a book from the library?,two weeks,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,33,What would Langston's name be if his dad had named him?,Henry Junior,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,,Name one errand Langston and his dad do on Saturdays.,"cash dad's paycheck at the bank, wash clothes, go to the fish market, sweep the floor",Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,What color are the dirt roads in Alabama described as?,Red,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what state has red dirt roads?,Alabama,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what racket seems like no sound at all?,cicadas,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is another word for backpack that is used?,satchel,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is lined up at Saul's Butcher shop like a curtain?,baloney,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is the name of the State Bank?,Binga,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is the name of the Funeral Home?,Jackson,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is the name of the Butcher Shop?,Saul's,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is the name of the Junior High?,Haines Junior High School,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,1,what is the name of the Beauty Parlor?,Luxe,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,What are the walls of Langstons apartment covered with?,(old) newspaper,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,"what part of Chicago does Langston like best for it's nickname, or what is the nickname name called?",Bronzeville,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,what is the address and street name of Langston's building (2-part),4501 Wabash Avenue,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,what two things do the hallways in Langston's apartment building smell like? (2-part),two-day-old garbage and fried onions,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,what is plastered to the wall in Langston's apartment?,(old) newspaper,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,what year does Langston see on the wall of the newspaper that is plastered to it in his apartment?,1945,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,what are the two dates that Langston sees on the wall of the newspaper that is plastered to his apartment wall? (2-part),July 12 and November 7,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,2,what two songs does Langston miss his mother humming? (2-part),"His eye is on the sparrow, I know he watches me",Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,3,who lives in the top floor across from Langston?,Miss Fulton,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,3,what state did Langston previously live in?,Alabama,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,3,what does Langston say folks back home would call Miss Fulton?,uppity,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,4,what is spread out on the small table in Miss Fulton's apartment?,(Flowery) oilcloth,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,4,what does Miss Fulton's apartment smell like from the flowery oilcloth?,lavender,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,5,how many keys did Langston lose from the hole in is pocket?,two,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,7,Why does Langston pretend to need to go to the bathroom when he first moves to Chicago?,To flush the toilet and watch the water spin in circles.,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,8,What nickname do the Langston's classmates call him?,Country Boy,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,8,What is the name of Langston's teacher?,Mrs. Robbins,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,12,What nickname did Langston's dad have for Langston's mom?,Teena,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,12,"What animal does Langston say he has seen as ""big as possums running in the halls""?",Rats,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,15,Since leaving Alabama what do Langston and his father eat for breakfast?,Oatmeal and (burnt) toast,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,17,What type of car does Mrs. Robbins have?,Buick,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,25,What day of the week does Langston say seems like the longest day?,Friday,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,31,How many books is Langston allowed to check out from the library at one time?,Five,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,32,Where does Langston hide his first library book so his dad doesn't see it?,Between the bed frame and the wall,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,34,What day of the week does Langston run errands with his father?,Saturday,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,39,Where do Langston and his dad go every Sunday?,church,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,40,Where does Langston's dad keep all of his letters?,in a box under his bed,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,45,Langston gets a book about trees because what kind of tree reminds him of Alabama?,magnolia,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,45,"When Langston gets a book about trees, what specific type of tree does he look for in the book?",Magnolia Tree,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,52,"What is the name of Langston's aunt, who stayed in Alabama to take care of Langston's grandmother?",Aunt Lena,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,53,What does Langston's dad tell him to do if he gets in a fight?,turn the other cheek,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,54,What kind of pie does Pearl (Miss Fulton) bring over when Langston gets a fat lip from a fight?,apple,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,54,What is the first name of Langston's neighbor Mrs. Fulton?,Pearl,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,55,What does Langston's dad do the morning after the fight where Langston gets a fat lip?,walks Langston to school/talks to the principal,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,58,Langston's dad goes to Alabama for a funeral. Who died?,Langston's grandma/his dad's mom,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,58,When Langston's grandmother dies how much time does his father's boss allow him to take off work to settle his affairs?,week,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,61,What is the name of Langston's favorite author?,Langston Hughes,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,64,Who does Langston run into at the library that goes to his school?,Clem,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,68,What is Mrs. Fulton's job?,Teacher (high school),Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,69,What is Miss Fulton's job?,teacher,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,74,In what neighborhood does Clem's mother work for a white family?,Hyde Park,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,80,What is the name of the anthology of negro poets that Langston reads?,Caroling Dusk,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,80,What is the name of the poem Langston's mama wrote to his dad?,Poem 4: To The Black Beloved,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,85,Langston says he likes the library because it is quiet like where?,Alabama,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,85,Where does Langston tell his father is the only place he wants to be?,library,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,90,What kind of candy does Langston buy at the corner store with his pennies?,Lifesavers,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,90,How long does detention last after school?,One Hour,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,90,What sport does Langston say that everyone in Chicago is a fan of?,Baseball,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,90,What type of candy does Langston buy at the corner store with a few pennies?,LifeSavers,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,93,What is the name of the poet Langston is named after?,Langston Hughes,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,95,What did Clem collect to help Langston with his ripped up book?,all the books ripped out pages,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,98,How did Clem's dad die?,Navy ship explosion/Chicago disaster,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,99,Who ends up being Langston's first friend in Chicago?,Clem,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
finding-langston,content,99,Who does Langston say is his first friend in Chicago?,Clem,Lesa Cline-Ransome,Finding Langston,OBOB Parent Group
