book_key,question_type,page,text,answer,author_name,book_title,source_name
just-like-click,content,2,What is the name of the comic book series that Nick and his Great Gramp create?,The Adventures of Click,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,2,What is the name of Nick's younger cousin who stays with his family two days a week?,Anna,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,2,How old is Nick's cousin Anna?,Seven,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,4,What is the name of the movie franchise that Nick watches with Mr. Telly at least once per month?,Star Wars,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,5,Nick reads to which of his neighbors each week?,Mr. Mason,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,5,What is the name of the book that Nick reads to Mr. Mason?,Texas Ranger,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,5,"How old is Nick's neighbor, Mrs. Baxter?",Ninety-five,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,6,What is the name of the book that Mrs. Baxter is reading on her e-reader?,A Tale of Two Cities,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,8,What is the name of Mrs. Baxter's great-grandson?,Patrick,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,9,What type of tree do Nick and Patrick climb on the first day they meet?,(Ponderosa) Pine,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,,Two Part Question: Who is Nick's favorite superhero? Who is Patrick's favorite superhero?,Superman; Spiderman,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,11,What does Patrick call his great-grandmother? Be specific.,Nana Baxter,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,11,What sport does Nick's dad sign him up for this year?,Soccer,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,12,What is the name of Nick's uncle?,Clyde,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,12,Nick's Uncle Clyde offers Nick's dad a job at what type of store?,Pet store,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,14,How much money does Nick have hidden under his bed?,237000,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,17,What is the name of Mr. Flossen's parrot who escapes?,Fletcher,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,23,What gift does Nick's Great Gramp give him for his eighth brithday?,(Antique) Superman figure,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,31,What is the online newspaper that lists the incident reports homeowners and tourists submit at the Black Butte Ranch?,The Ranch Daily,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,,What is the name of the raccoon who Nick rescues from a trap at the Townley house?,Ratchet,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,38,What is the name of Anna's mom?,(Aunt) Ellen,Sandy Grubb,Just Like Click,OBOB Parent Group
just-like-click,content,39,What color hair do Nick and Anna have?,Blonde,Sandy Grubb,Just Like Click,OBOB Parent Group
