book_key,question_type,page,text,answer,author_name,book_title,source_name
number-the-stars,content,3,"At the beginning of the book, how long have the German soldiers been in Denmark?",Three years,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,3,What do Annemarie and Ellen secretly call the tall German soldier with the long neck?,Giraffe,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,,Two-part question: What are the names of Annemarie's two sisters?,Kirsti (or Kirsten) and Lise,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,5,Who reminds one of the soldiers of his own daughter back home?,Kirsti,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,8,What does Annemarie's mother always do with the illegal newspaper after she and her husband have read it?,Burn it,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,8,What do they call the group of Danish people who secretly fight back against the Nazi's?,Resistance,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,,Who tells Annemarie it is important to blend in so the soldiers won't have a reason to remember her face?,Mrs. Rosen,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,11,What did Annemarie say had always been her favorite story?,The Little Mermaid,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,,What is the name of the beloved king of Denmark?,King Christian (Christian X or Christian the Tenth is also acceptable),Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,14,What is the first and last name of the person Lise was going to marry?,Peter Neilsen,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,,What country could Annemarie see from her uncle's farm?,Sweden,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,16,What person died two weeks before a wedding?,Lise,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,18,What does Ellen's father do for a living?,Teacher,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,22,"What does Annemarie's family have for dinner most nights, since there is very little other food?",Potatoes,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,22,"Because of the curfew, citizens are not allowed to be out after what time of night?",08:00:00,Lois Lowry,Number the Stars,OBOB Parent Group
number-the-stars,content,27,Who is a talented performer and often had the lead role in school plays?,Ellen,Lois Lowry,Number the Stars,OBOB Parent Group
