book_key,question_type,page,text,answer,author_name,book_title,source_name
squished,content,5,What is Avery's middle name?,Annie,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,6,How many children do Avery's parents have?,Seven,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,8,Where does Avery find the missing rainbow shoe?,In the toy bin/basket,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,9,"Why does Avery say ""Don't ever crawl"" to Bea?",Because she'll start getting into her stuff,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,13,What does Avery's dad do for work?,High school teacher,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,14,What does Avery dream of having one day?,her own room,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,15,What is Avery's older brother's name? How old is he?,"Theo, 13",Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,15,How old is the youngest member of the Lee family?,9 months,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,15,What's the name of the family dog?,Watson,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,16,What grade is Avery in? / What grade is Avery graduating from?,5th grade,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,18,Who begged Avery to enter her painting in the fair?,Ms Anthony,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,19,What school does Avery attend?,Hickory Valley Elementary,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,21,What is the principal's child's name?,Cameron,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,22,How does Cameron's mom embarass him during her graduation speech?,by showing his baby pictures,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,33,Who is getting their own room instead of Avery?,Theo,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,42,What does Max do over and over during his first night rooming with Pearl and Avery?,throw his stuffed dinosaur out of his crib,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,53,When is the Hickory Valley Fair?,last weekend in August,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,56,What does Dad do in the summer?,write books,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,61,Why is a construction van in the driveway of Cameron's house?,to make a basement apartment for his Grandma,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
squished,content,76,Which neighbor is first to ask for dog walking help from Avery?,Miss Patty,Megan Wagner Lloyd and Michelle Mee Nutter,Squished,OBOB Parent Group
