book_key,question_type,page,text,answer,author_name,book_title,source_name
the-million-dollar-race,content,1,What was the world record time set by Usain Bolt in 2009 for the 100-meter?,9.58 seconds,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,1,what year did Usain Bolt set the 100-meter world record?,2009,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,2,"According to Grant Falloon, what is the number one rule of sprinting?",keep your eyes on the prize,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,2,What does Grant do while racing at Penn Relays that causes him to trip?,he glances at his family,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,2,What lane was Grant Falloon in at the Penn Relays?,Lane 4,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,2,Where are the Penn Relays held?,Franklin Field,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,2,what is the boy’s record (U-13) speed that they are trying to beat?,10.73 seconds,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,3,"What track meet was Grant Falloon running in when ""Suddenly I'm stumbling. Flailing, Arms wheeling.""?",Penn Relays,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,3,What section was Grants family in during the Penn Relays?,Section 102,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,5,"The producers of what show invited Grant to New York following the ""epic spill"" at the Penn Relays?",The Midnight Show! with Jaime Freeman,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,5,what is the name of the talk show that wanted Grant on?,The Midnight Show! with Jaime Freeman,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,6,What exercises does Jay's mom do in their aboveground pool?,pool-lates,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,7,What is Jay's idea for a summer project?,to make a reality show about Grant's family,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,9,What is Mrs. Fa'atasi obsessed with?,seashells,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,9,What is the name of Jay's older brother?,Tua,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,9,What branch of the military is Tua enlisted in?,Marines,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,9,who is obsessed with seashells?,Mrs. Fa’atasi OR Jay’s mom.,Matthew Ross Smith,The Million Dollar Race,Cedar Mill Public Library
the-million-dollar-race,content,10,What name does Jay suggest for the hypothetical confessional documentary of Grant's family?,Last Family On Earth,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,12,What is the name of the grocery store where Grant's family shops?,Food Palace,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,12,What is Grant's younger sibling's name?,Franny or Francis (pg 22),Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,13,What does Grant's famiy do on Sundays instead of going to church?,ride their bikes to Food Palace to shop,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,13,"Who said the books are just ""really long twitter threads u scroll sideways instead of down""?",Jay,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,14,What is Grant's mom's job?,public defender,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,14,what year was Grant’s dad born?,1986,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,17,How old can kids be to enter the Million Dollar Race?,11-13 years old,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,18,What is Esther Babblemoney's nickname?,Sneaker Queen,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,18,Who is sponsoring the Million Dollar Race?,Babblemoney Sneaker Company,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,18,"Who is the ""so-called Sneaker Queen worth over $50 billion.""?",Esther Babblemoney,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,18,on what date would the local qualifier be held?,July 7,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,20,What is the name of Franny's YouTube channel?,The Franny Files,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,23,"What does the Falloon family motto ""Skepsis"" mean?",question everything,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,23,What is the Falloon family motto?,Skepsis,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,27,Where do Jay and Grant train together?,Middle School Track,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,28,What is the name of Jay and Grant's unofficial sponsor?,Frank's Pizza,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,28,Where do Jay and Grant go for lunch after they stop training?,Frank's Pizza,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,28,What year was Frank's Pizza opened?,1979,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,30,"according to Grant’s dad, what is the number of chews per bite to ensure maximum nutrient absorption?",Twenty,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,32,What are the names of Grant's parents?,Dave and Diane Falloon,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,33,Which network is making a documentary about the Million Dollar Race?,ESPN,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,34,What word does Grant use to describe a group of security guards?,a flex,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,35,What does Esther Babblemoney wear to the track meets?,red tracksuit and pearls,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,37,What is the width in inches of one lane on a track?,42 inches,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,37,"In Grant's first heat at the Regional qualifiers, what did the kid in the next lane wear?",a turtle costume,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,37,"when Grant gets in the zone, his vision shrinks to exactly how many inches?",Forty-two,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,39,Whose protest delayed the Grant's heat of the regional qualifier ?,Franny,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,44,How did Grant manage to beat Jay in the regional qualifying race?,by leaning,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,48,Who does Jay have a recurring dream about?,his brother (Tua),Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,49,What word does Grant use at family dinner to sum up the day he won the regional qualifier?,Relieved,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,49,What single word does Grant's mom use to sum up the day Grant won the regional championship?,Proud,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,51,what is the midway point between Jay and Grant’s houses?,The fenced-in walking bridge,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,52,What is Jay wearing when he meets Grant at the track the morning after the regional championship?,all-white running gear with neon-yellow sneakers,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,53,what is Grant’s favorite movie made by Franny?,Small Bladder Bill,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,55,What age is Jay's mom celebrating at her birthday party?,40 years old,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,56,What kind of car does Mrs. Fa'atasi drive?,Camry,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,57,How fast did Jay run at regionals?,10.77 seconds,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,57,How much did Grant beat Jay by at regionals?,a hundredth of a second,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,57,where did Jay move from in fourth grade?,Hawaii,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,59,"What is ""pisupo""",corned beef,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,59,"at the party, Grant’s mom, dad and Franny were on the dance floor gyrating awkwardly to a song by what band?",Black Eyed Peas,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,60,What is the big surprise at Mrs. Fa'atasi's birthday party?,Tua comes home (from Afghanistan),Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,62,What kind of dolls does Mr. Falloon make?,Dracula,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,65,When was Grant born?,2008-09-14,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,65,when is Grant’s birthday?,"September 14, 2008",Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,66,what reason does Grant’s mom give for leaving the compound?,They were tired of pooping in the woods,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,68,What document does Grant need to find in order to enter the National qualifier?,birth certificate,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,68,What is Grant's dad's favorite question?,Why?,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,71,What does Grant want for his birthday when he's 6 years old?,Captain America action figure,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,73,What was the name of the superhero Grant's dad made for Grant for his 6th birthday?,Non-Violent Man,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,75,What was the bus called that Grant and his family took to New York for Nationals?,Discount Rider,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,77,What form does Jay forge his parents' signature on?,image release form,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,82,Who tells Grant that his birth certificate isn't a legally certified document?,lawyer,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,83,Why did Grant get disqualified from competing at Nationals?,He didn't have a valid birth certificate,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,83,What was the name of the witness on Grant's birth certificate?,Karl,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,87,What does Grant do with his race spot when Esther Babblemoney doesn't let him compete?,gives it to Jay,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,90,What country does Grant joke he can compete for after being disqualified from Nationals?,Honor-slovakia,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,92,Where does Jay's brother take him for celebratory pizza after he gets a spot at Nationals?,Lorenzo's on South Street,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,92,what street is Lorenzo’s located on?,South Street,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,105,Where in the house is Grant when he is inspired to name his new country Grantsylvania?,his dad's studio,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,106,Where is Grant when he comes up with the name of his country?,Dad's Dracula production studio,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,108,What is the inspiration for the design on the Grantsylvania flag?,Dracula's fangs,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,110,Why are there black umbrellas at the track when Grant arrives?,Jay is in a photo shoot for ESPN,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,110,what name does the ESPN photographer accidentally call Grant?,Greg,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,121,"at what race did Grant fall at the finish line, with the video later going viral?",Penn Relays,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,122,What is the name of the show Grant's family appears on with the host Jaime Freeman?,The Midnight Show,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,129,how many subscribers/citizens did Grantsylvania have the first morning?,Seventy-five Thousand,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,131,what is the name of the late-night talk show Grant appears on?,The Midnight Show.,Matthew Ross Smith,The Million Dollar Race,Cedar Mill Public Library
the-million-dollar-race,content,133,What does Franny duct tape the GoPro camera to so Grant can broadcast around the clock?,a plastic crown,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,133,what is the one natural resource that Grantsylvania has?,Grant,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,136,What does it say above a picture of Jay on the cover of a magazine?,The Next Usain Bolt?,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,137,What does Karl from the commune do now for work?,Uber driver,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,142,What is the Babblemoney Company's weakest performing demographic?,"youth sales, age 11-13",Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
the-million-dollar-race,content,142,what demographic is the weakest performing for the Babblemoney Company?,Youth sales,Matthew Ross Smith,The Million Dollar Race,Lake Oswego Public Library
the-million-dollar-race,content,145,What sport did Grandpa Falloon play?,football,Matthew Ross Smith,The Million Dollar Race,OBOB Parent Group
