book_key,question_type,page,text,answer,author_name,book_title,source_name
the-secret-garden-on-81st-street,content,1,What is the first and last name of the character who moves in with their uncle?,Mary Lennox,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,1,What part of California was Mary born and raised in?,Silicon Valley,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,2,What flavor of smoothie does Mary make for breakfast?,Strawberry Banana,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,5,In which city is Mary sent to live with her uncle?,New York City,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,What is the first and last name of Mr. Craven's assistant?,Constance Medlock,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,7,What kind of food is the rat carrying in the subway when Mary arrives in New York?,Pizza,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,12,What is the shape of the keychain attached to the key that unlocks Mr. Craven's house?,Owl,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,18,What is the name of the character who is charged with watching Mary while her uncle is away?,Martha,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,What breakfast food does Martha teach Mary how to make?,Oatmeal,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,21,What is the name of Martha's little brother?,Dickon,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,22,Central Park starts at 59th street.  Where does it end?,110th,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,22,What was the name of Uncle Archie's husband?,Masahiro,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,23,"How does Uncle Archie's husband, Masahiro, die?",A heart attack,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,23,Where did Masahiro die?,In the garden (on the roof),Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,24,Name 2 items of clothing that Martha puts on Mary to go to Central Park.,"Sweater, coat, scarf, hat, gloves",Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,What is the name of the character who owns the bodega?,Ben (Cordova),Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,29,What is the name of the cat who lives at Ben's bodega?,Robin,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,32,What is the name of the air plant that Ben gifts to Mary in his bodega?  Be specific.,Tillandsia,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,32,How often does the Tillandsia that Ben gifts to Mary need to be watered?,Twice a week,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,34,What two things does Ben tell Mary she needs to see at the Museum of Natural History?,The squid and the whale,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,Name two things Mary sees at the Museum of Natural History?,"Dinosaur bones, mountain sheep painting, squirrel, trees, jellyfish, leaves, tiger, fish, whale, squid",Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,What is the title of the book Mary takes out of her uncle's library?,Octopus and Squid,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,56,Mary's nanny took her to an art museum once.  In which city was it located?,San Francisco,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,56,What does Ben suggest Mary see at the Met?,The Temple of Dendur,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,59,What is the title of the art exhibit that Mary sees at the Met?,In Bloom: The Garden in Impressionist Art,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,60,What is the name of the painting by Monet that Mary sees at the Met?,Bridge Over a Pond of Water Lilies,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,60,How many paintings did Monet complete of the bridge over the pond?,Twelve,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,63,What is the name of the restaurant Mary smells food coming from after she leaves the Met?,Halal for You,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,64,What is the house number of Uncle Archie's townhouse in New York?,1911,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,76,What food does Martha tell Mary is life changing at the Ramen restaurant?,Soy Sauce Egg,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,81,What is the name of the treats that Robin wants in the drawer in Uncle Archie's kitchen?,Kitty Nummies,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,What is the shape of the keychain attached to the key that unlocks the door to the townhouse roof?,Leaf,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,95,How many fingers does Dickon hold up when he promises Mary he won't tell her secret?,Three,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,105,How is Uncle Archie related to Mary's mother?,They are siblings (he is her brother),Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,What is the denomination of the bill that Uncle Archie takes out his wallet to give to Mary to buy plants?,50,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,111,How many people live in Dickon's apartment?,Five,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,112,"What is the instagram handle of the person below Mary's post stating ""Doesn't look like much yet...but just you wait!""",The Cultured Cat,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,,Name 2 plants that Mary and Dickon plant in the secret garden.,"Daylilies, Morning Glories, strawberries, Irises, catnip, mint, thyme, rosemary, Don Juan Climbing Rose",Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,1,Where do Mary's parents work?,tech start-ups,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,4,How many people show up at the door to tell Mary that her parents have been in an accident?,two,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,6,Who is Mary's uncle's assistant?,Mrs. Medlock,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
the-secret-garden-on-81st-street,content,25,What is especially brutal to get caught in during early March?,wind tunnels,Ivy Noelle Weir and Amber Padilla,The Secret Garden on 81st Street,OBOB Parent Group
