book_key,question_type,page,text,answer,author_name,book_title,source_name
the-tail-of-emily-windsnap,content,1,what grade does Emily start swim lessons at her new school?,7th grade,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,9,where does Emily’s Mom work?,A secondhand bookstore,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,11,what is the name of the lighthouse keeper?,Mr. Beeston,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,17,what does Emily become when she is fully submerged in water?,mermaid,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,18,what is the brand of Emily’s swimsuit?,Speedo,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,19,what two colors are Emily’s tail?,Purple and Green,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,,why does Emily's mom take her to a hypnotist?,She says is afraid of water,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,33,what does Shona do the first time Emily approaches her?,swims away,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,34,what does Emily do to prove to Shona that she is a Mermaid?,jumps in the water,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,34,how old does Emily tell Shona she is?,Twelve,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,37,what school does Shona go to?,Shiprock School,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,37,what does Shona want to be when she grows up?,siren,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,47,where does Emily’s class go when the pool is closed due to budget cuts?,Macefin Wood,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,49,what does Shona use to know how far she has swum?,Splishometer,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,52,what day does Shona invite Emily to come to school with her?,Saturday,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,57,what were the mermaid’s bags made out of?,Fish Nets,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,58,what is the name of Shona’s history teacher?,Mrs.Tailspin,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,59,what two things decorate the walls of Shona’s school?,Seaweed and Seashells,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,60,what is the name of the king of the merpeople?,Neptune,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,72,where had Shona seen Emily’s name before they met?,A school history book,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
the-tail-of-emily-windsnap,content,72,what two groups make an illegal marriage?,Merpeople and Humans,Liz Kessler,The Tail of Emily Windsnap,OBOB Parent Group
