book_key,question_type,page,text,answer,author_name,book_title,source_name
aru-shah-and-the-end-of-time,content,,Name 2 of the 3 divine astras.,"Maces, Swords, Bows and nets woven from lightning",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,1,What is the highly dangerous thing Aru is growing up around?,Lamp of Destruction,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,1,What color vest did Aru wear when she worked at the museum? be specific,scarlet,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,3,Two Part: What were two of Aru's favorite statues in the museum?,"Lord Indra, the king of Heavens; Lord Krishna, playing his flutes; Buddha, sitting with his spine straight and legs folded in meditation",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,4,Two Part: what was the breed of Dog Aru wished to get and what would she name the dog?,Great Pyrenees & she would name it Beowoof,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,4,In what city does Aru live?,"Atlanta, Georgia",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,5,What is the name of the head of museum Security?,Sherilynn,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,6,Name the kids who visited Aru at the Museum?,Poppy Lopez; Burton Prater; Arielle Reddy,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,12,"According to legend, who will awaken if someone lights the Lamp of Bharata?",the Sleeper,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,12,"According to legend, who will ""bring an end to Time"" if the lamp is lit?",Lord Shiva or the Lord of Destruction,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,14,What was the security code to turn off the lasers around the diya of bharata?,Aru's birthday,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,17,What happened to the kids who visited Aru in the museum after she lit the lamp?,They became suspended in time,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,19,What flew out of the elephants mouth after Aru touched the lamp?,a pigeon,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,20,What was the sacred duty of the pigeon?,To guide the Pandava brother who lit the diya of baratha,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,22,Name two of the Pandava brothers?,"Yudhistira, Bhima, Arjuna, Nakula and Sahadeva",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,25,What is the name of the pigeon as he refers to himself?,Subala,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,26,What nickname does Aru give the pigeon?,Boo,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,29,How does Aru leave the museum after lighting the lamp?,Through the mouth of the elephant statue,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,31,"Where could they purchase dreams on a string, rice pudding dusted with moonlight during its glory days?",The night bazaar,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,37,Where would Aru go to receive her Quest and who would Aru ask about the details of the quest?,Court of the Sky; Council of Guardians,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,42,What is the key to get to the other world?,You have to reach out and grab ahold of something invisible,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,49,On what days of the week does the council meet?,Tuesdays and Thursdays,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,53,What did Urvashi's laugh sound like?,(Gunghroo) bells,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,55,What type of animal does the elephant-headed god Ganesh ride?,a mouse,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,55,"What type of animal does the goddess of luck, Lakshmi ride?",an owl,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,55,"Which Hindu god rode a ""majestic seven-headed horse""?","Indra, the king of gods",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,57,Who was the secret Pandava and who was his divine father?,Karna; Son of the sun god,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,63,Which Hindu god was the father of Aru?,"Indra, the king of gods",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,65,Aru is the reincarnation of which Pandava brother?,Arjuna; the greatest warrior,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,66,What is the name of the Princess who married the five pandava brothers?,Princess Draupadi,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,67,Which Hindu god was the father of Mini?,Dharma raja; lord of Death,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,70,What color is Mini's compact?,purple,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,72,How would Aru and Mini acquire the three keys to enter the kingdom of death?,Use the mehndi map - touching the keys would transport them close to the keys,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,73,How many days does Aru have before the Sleeper reaches Lord Shiva?,nine,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,,Two Part: Name two of the three keys Aru and Mini must find to stop the Sleeper?,"a sprig of youth, a bite of adulthood, and a sip of old age",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,1,What is the name of the institution where Aru's mother works? Answer must be exact.,Museum of Ancient Indian Art and Culture,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,1,"for as long as she could remember, Aru has lived where?",The Museum of Ancient Indian Art and Culture,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,1,what is not to be touched in the Hall of the Gods?,"the lamp, on p 12 ""the Lamp of Bharata""",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,2,what does Aru think is arguably as cursed as the lamp of destruction?,a visit to the dentist,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,2,how old is the sea dragon statue?,400 years old,Roshani Chokshi,Aru Shah and the End of Time,Lake Oswego Public Library
aru-shah-and-the-end-of-time,content,12,"What ancient Indric language is the ancient poem, The Mahabharata, written in?",Sanskrit,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,23,Name two of the Pandava brothers.,"(any two of this list): Arjuna, Yudhistira, Bhima, Bakula, Sahadeva, Karna",Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,25,what does questing require?,families,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,25,what is the name of the person embodied in the pigeon?,Subala,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,26,how long had it been before Aru that a Pandava had been awoken to a quest?,800 years,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,32,what is the one thing Aru has never invented stories about?,having a father,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,35,why does Boo face plant into the grass upon meeting the other Pandava?,the other Pandava is also a young girl,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,39,what event was described as wading through the steam of post recess middle school body odor?,the middle school homecoming dance,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,40,where are all Pandavas supposed to be taken once they show signs of being demigods?,the Otherworld,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,41,TWO PARTS what does the Sleeper want from Aru and Mini and why?,their weapons because the celestial sphere around the Lord of Destruction can only be shattered by an immortal device,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
aru-shah-and-the-end-of-time,content,43,where does Boo perch while Mini and Aru walk to the Otherworld?,on Aru's head,Roshani Chokshi,Aru Shah and the End of Time,OBOB Parent Group
