book_key,question_type,page,text,answer,author_name,book_title,source_name
mexikid-a-graphic-memoir,content,1,What is Peter's real name?,Pedro,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,1,How many kids are in the Martin family?,9,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,3,whose Mexican and American names are pronounced the same?,Leon,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,5,What year does the memoir begin?,1977,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,10,What is Pedro's favorite show?,Happy Days,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,11,Where does the Martin family live?,California,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,11,What historical event did Abuelito live through?,Mexican Revolution,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,,How does Pedro's father gather all the kids when it's time to leave the store?,He whistles,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,25,What action figure does Pedro buy at Kmart?,Green Arrow,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,25,What toy collection does Pedro cherish?,His action figures,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,36,How many of Pedro's siblings were born in Mexico?,Five,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,44,What did Apa install in the two vehicles so they could talk to one another instantly?,CB radios,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,48,"what is a made-up word the main character used to describe motorhomes, which are like giant apartment-sized pinball machines?",Fungerous,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,50,What fruit did Ama have stashed all around the RV?,Bananas,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,63,What breakfast does the family share with friends after they stay the night in Los Angeles?,Chilaquiles,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,72,"How much do the guards at the border want as a ""fee""?",200,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,91,What does the drink Pedro buys in Mexico contain that he can't drink?,Raw milk,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,104,What was on Apa's menu in the restaurant in Mexico?,A cockroach,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,108,Why is Pedro upset when he goes to read the comic books he got at the Marcado?,They are written in Spanish,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,109,What does Pedro make about Abuelito's life?,A comic book,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,112,Where does the family travel to in the book?,"Pegueros, Mexico",Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,112,What is across the street from Pedro's house in Mexico?,A big church,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,113,Who is the first kid Pedro sees when he visits Pegueros?,Simon,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,,What color is the scarf around the barber's neck?,red,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,4,what movie did Sal take Pedro to see?,Star Wars,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,63,[Two Part] name 2 ingredients of a famous Mexican breakfast dish that uses leftovers from the party the night before.,"(any two): Fried eggs, Frijoles, chips, salsa, onion, queso, avocado",Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,65,which place does Peter think is the greatest roadside attraction on Earth?,Disneyland,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,73,"what is the name that Apa uses for the “Mexican Jedi Mind Trick”, in which he pretends to know the guard at the Mexican border?",Jose Luis,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,89,what substance generates incredible heat when you spit on a piece of tinfoil and scrape off bits of the horn into it?,Quicklime or Calcium Oxide,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,90,what color is the licuado that Pedro buys?,Banana yellow (yellow accepted),Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,90,what flavor of jelly is in Pedro’s Licuado?,Strawberry,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,99,[Two Part] why does the helpful ghost in Pedro’s house in Mexico not tell them exactly where he hid his gambling treasure?,Tax purposes and not remembering exactly where,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,124,where was Abuelito traveling from while suffering a bloody head injury?,Tepatitlan,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,130,[Two Part] what is Abuelito’s first and last name?,Don and Alejandro,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,145,where does Luis live?,Michoacan,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,156,What is the name of the girl Pedro wants to buy candy for?,Margarita,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,157,What does Pedro buy instead of candy to impress the girl?,A pig shaped cookie,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
mexikid-a-graphic-memoir,content,170,What type of candy did Pedro and his brother want to buy when they were in Tepatitlan?,Pop Rocks,Pedro Martin,Mexikid: A Graphic Memoir,OBOB Parent Group
