book_key,question_type,page,text,answer,author_name,book_title,source_name
projekt-1065-a-novel-of-world-war-ii,content,1,What type of officers were the Nazi soldiers?,SS Officers,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,1,What was the main character's name?,Michael O'Shaunessey,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,How long had the O'Shaunessey family been in Germany?,6 years,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,Where do the O'Shaunessey family live in Germany?,Berlin,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,"In which year, did Michael's father become the Irish ambassador?",1937,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,"What eye color is considered the ""Aryan ideal""?",Blue,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,"What hair color is considered the ""Aryan ideal""?",Blond,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,What color are Michael's eyes?,Brown,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,2,How long has Michael's family been living in Germany at the begninning of the book?,6 years,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,3,How old is Michael?,13 years,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,4,Who was the man that offered Michael a piece of cake?,SS- Obersterinfurere Trumbauer,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,4,What type of juice does Michael purposely spill on himself while having dinner with the Nazis?,Grape juice,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,5,What does Kristallnacht mean?,Night of broken glass,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,5,How old was Michael on the night of Kristallinacht?,8,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,5,How old is Michael when his family moves to Germany?,Eight,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,5,which movie did Michael want to see instead of the one about the Olympics?,The Adventures of Robin Hood,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,6,What does the German word JUDE translate to?,Jew,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,8,What is the name of Germany's secret police?,Gestapo,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,10,what are Michael's parents' first names?,Davin and Megan,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,13,What does Mein Kampf translate to?,My Struggle,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,18,What did Michael's mother use to make the butler pass out?,chloroform,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,19,What countries did the radio announce had fallen to Germany?,"Poland, France, Luxenbourg, Denmark, the Netherlands, Belguim",Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,24,"What does the word ""Deutscherblick"" mean?","""German Look""",Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,24,What do the characters call a quick glance over thier shoulder to make sure no one else is listening?,German Look,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,24,what does the term Deutsherblick mean?,The German Look,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,26,At what age are the German children originally supposed to move up from Junior Hitler Youth rank to senior Hitler Youth squads?,Fourteen years old,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,27,what is his classmate Fritz’s last name?,Brendler,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,30,How many German solidiers were lost in the Battle of Stalingrad?,285000,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,30,"What was the age of gradutaion from Jungvolk changed to after the war shifted in favor of the English, Americans, and Russians?",13,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,34,what year did Michael move to Germany?,1937,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,37,"What does the German word ""Dreikasehoch"" mean?",Three Cheeses Tall,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,37,"how many ""cheeses tall"" is Fritz described to be?",Three,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,37,what does Dreikasehoch mean?,Three cheeses tall,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,43,What did the Hitler Youth SRD do?,Patrol  Force,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,45,What does Fritz want to be in the Hitler Youth?,SS,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,45,"What is depicted on the hats of the SS ""Death Head Squad""?",skull and crossbones,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,46,Which character wanted to find the British pilot the most?,Michael,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,46,What two cities or countries did Michael live in before moving to Germany? Two part question.,Dublin (or Ireland) and London (or Britain/England),Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,47,What are gorgets?,"6 inch metal plate with ribbons that say ""Patrol Force"" and double lightning bolt and insignia of the SS.",Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,47,what is the name of the metal plates that hang down on your chest from a heavy chain?,Gorgets,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,49,"When searching for the downed pilot, where did Michael first decide to look?",The barn,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,66,what is the something that is described as worse than being shot?,Conentration Camps,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,68,what is the name of the pilot that Michael and his family rescue and hide?,Simon Cohen,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,69,what is the nickname Germans had for the hidden Jews?,U-boats,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,73,What the was British pilot doing before his plane crashed?,Taking pictures,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,73,What was the secret development of a new airplane with no propellers called?,Projekt 1065,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,73,Why does Michael's Ma believe that women and children make terrific spies?,Because people always underestimate them.,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,80,what is the penalty for stealing from homes while everyone is underground in bomb shelters?,death,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,83,What is the final test in the Hitler Youth initiations?,Jumping off a 2 story building,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,89,"According to the joke, what does the Irishman say while jumping off the buliding?","""Oh, crap!""",Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,95,"what is the name of the mountain flower with white petals in a star shape, around a fuzzy yellow center - which the resistance named their group after?",Edelweiss,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,95,what is the color of the fuzzy center of Edelweiss?,Yellow,Alan Gratz,Projekt 1065: A Novel of World War II,Lake Oswego Public Library
projekt-1065-a-novel-of-world-war-ii,content,96,What is the name of Fritz's little sister?,Lina,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
projekt-1065-a-novel-of-world-war-ii,content,96,"how old is Fritz's sister, Lina?",Ten years old,Alan Gratz,Projekt 1065: A Novel of World War II,OBOB Parent Group
