book_key,question_type,page,text,answer,author_name,book_title,source_name
remember-my-story,content,0,Which country is Alter from?,Poland,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,1,how old are Claire and Alter when they testify in front of the Oregon state senators?,"14, 92",Claire Sarnowski and Sarah Durand,Remember My Story,Lake Oswego Public Library
remember-my-story,content,104,Claire approaches which school board member about Holocaust education?,Bob Barman,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,,what are two ways Rachel Wutzel Wiender says you can stay warm?,"1) Put on a coat, 2)Light a fire (so that others can be warm too)",Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,1,how old was Claire when she met Alter?,9,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,2,who was Claire's best friend?,Alter or Alter Wiender,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,4,what is Claire’s hometown?,Lake Oswego,Claire Sarnowski and Sarah Durand,Remember My Story,Lake Oswego Public Library
remember-my-story,content,5,what is Claire's hometown?,Lake Oswego,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,9,what grade was Claire in when she first heard Alter speak?,4th grade,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,9,what’s the name of the school where Claire first saw Alter speak?,Crossler Middle School,Claire Sarnowski and Sarah Durand,Remember My Story,Lake Oswego Public Library
remember-my-story,content,10,what was next to Alter on the podium when he spoke at Crossler Middle School?,A water bottle,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,10,what city do they say is the 3rd largest in Germany?,Munich,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,11,The Nazi's invade Poland when Alter is how old?,Thirteen,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,11,how old was Alter when Claire first heard him speak?,87,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,12,Alter's father is shot by the Nazi's and thrown into a?,Mass grave,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,13,"After Blechhammer, Alter was moved to how many other labor camps?",Four,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,13,what was the name of the first labor camp Alter was deported to?,Blechhammer,Claire Sarnowski and Sarah Durand,Remember My Story,Lake Oswego Public Library
remember-my-story,content,14,Alter has nowhere to go after being released from the labor camp so he sleeps on?,His father's grave,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,14,which army liberated Alter's camp?,Russian,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,15,how old was Alter when he was deported to Blechhammer?,13,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,18,The author meets Holocaust survivor Alter Wiener who wrote a book called?,From a Name to a Number,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,18,what's the name of the book that Alter wrote?,From Name to Number,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,18,what is the name of the book Alter wrote which he signed for Claire when they first met?,From a Name to a Number,Claire Sarnowski and Sarah Durand,Remember My Story,Lake Oswego Public Library
remember-my-story,content,19,Alter says the one thing he will never take for granted is?,Nature,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,21,what color is Alter's door mat?,Pink,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,23,Claire's mother was diagnosed with?,Multiple Sclerosis,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,27,how much money did Claire rasie for MS her first year fundraising?,900,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,27,how much money in total has Claire raised for MS?,100000,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,32,The cover photo on Alter's book was taken after he was released from which labor camp?,Waldenburg,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,33,how far was it between Claire and Alter's homes?,20 miles,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,33,where did Alter live in New York City?,"Forest Hills or Queens or Forest Hills, Queens",Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,34,Alter often makes Claire smoothies or?,Matzo Ball Soup,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,35,The unleavened bread that's part of the Jewish tradition is called?,Matzo,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
remember-my-story,content,35,what kind of broth does Alter use in his special matzo ball soup?,Vegetable broth,Claire Sarnowski and Sarah Durand,Remember My Story,Lake Oswego Public Library
remember-my-story,content,36,which year did Alter move to Oregon?,2000,Claire Sarnowski and Sarah Durand,Remember My Story,OBOB Parent Group
