book_key,question_type,page,text,answer,author_name,book_title,source_name
soar,content,4,what is Jermiah's stuffed animal's name?,Baby,Joan Bauer,Soar,OBOB Parent Group
soar,content,6,what is the name of Walt's consulting group?,(The) Magellean Group,Joan Bauer,Soar,OBOB Parent Group
soar,content,8,"what is the population of Hillcrest, Ohio?",12761,Joan Bauer,Soar,OBOB Parent Group
soar,content,14,what color blood does the transplant nurse say Jeremiah has?,Red,Joan Bauer,Soar,OBOB Parent Group
soar,content,15,what age was Jeremiah when he had a heart transpalnt?,Ten,Joan Bauer,Soar,OBOB Parent Group
soar,content,16,what is the name of the doctor who performed Jeremiah's heart transplant?,Dr. Feinberg,Joan Bauer,Soar,OBOB Parent Group
soar,content,22,how many baseball and coaching books does Jeremiah have?,Forty-seven,Joan Bauer,Soar,OBOB Parent Group
soar,content,22,what color did Walt and Jeremiah paint the baseball so they could find it in the snow?,Neon red,Joan Bauer,Soar,OBOB Parent Group
soar,content,23,what is the name of Yaff's mother's extreme little white dog?,Powderpuff,Joan Bauer,Soar,OBOB Parent Group
soar,content,25,what type of animal stuffy does Yaff have?,King Cobra,Joan Bauer,Soar,OBOB Parent Group
soar,content,25,what nickname does Yaff have for Jeremiah?,Eagle Man,Joan Bauer,Soar,OBOB Parent Group
soar,content,26,how many times have Walt and Jeremiah been on top of the Gateway Arch?,Four,Joan Bauer,Soar,OBOB Parent Group
soar,content,33,what name does Jeremiah give his new heart?,Alice,Joan Bauer,Soar,OBOB Parent Group
soar,content,34,"what is the name of the sports store in Hillcrest, Ohio?",Chip Gunther's (Sports Store),Joan Bauer,Soar,OBOB Parent Group
soar,content,45,"what is the name of the pizza place in Hillcrest, Ohio?",Junk Ball (Pizza),Joan Bauer,Soar,OBOB Parent Group
soar,content,48,what is Jeremiah's first period class?,English,Joan Bauer,Soar,OBOB Parent Group
soar,content,52,who does Jeremiah ride the bus home with?,Franny,Joan Bauer,Soar,OBOB Parent Group
soar,content,53,how many times does Jeremiah whistle for Adler before he pads over?,Three,Joan Bauer,Soar,OBOB Parent Group
soar,content,53,what is the name of Adler's owner?,Bob Simon,Joan Bauer,Soar,OBOB Parent Group
soar,content,60,what does SARB stand for?,Search and Report Back,Joan Bauer,Soar,OBOB Parent Group
soar,content,83,what does Jeremiah name his heart monitor?,Baxter,Joan Bauer,Soar,OBOB Parent Group
soar,content,88,who tells Mrs. Prim that Hargie has died?,The sheriff's mother,Joan Bauer,Soar,OBOB Parent Group
soar,content,96,who is Jeremiah's favorite ballplayer?,Jackie Robinson,Joan Bauer,Soar,OBOB Parent Group
soar,content,102,what did Walt sing to Jeremiah when he was little and couldn't sleep?,The Michigan fight song,Joan Bauer,Soar,OBOB Parent Group
soar,content,123,what is the name of the triplets that play in the outfield?,The Oxley brothers,Joan Bauer,Soar,OBOB Parent Group
soar,content,124,Iwhat does Jeremiah say are the three Ws?,"Want, work, wow",Joan Bauer,Soar,OBOB Parent Group
soar,content,140,what does Jeremiah tell the team spitting means?,It means you're tough,Joan Bauer,Soar,OBOB Parent Group
soar,content,143,how many Hillcrest Hornets test positive for steroid use?,(6) 6 out of 15,Joan Bauer,Soar,OBOB Parent Group
soar,content,152,what award did Yaff win at the science fair?,A SCIENCE IS FUN ribbon,Joan Bauer,Soar,OBOB Parent Group
soar,content,186,"who writes the editorial in the Hillcrest Herald that goes viral-in Hillcrest, at least.?",Mark T. Inslow,Joan Bauer,Soar,OBOB Parent Group
soar,content,189,where does Jeremiah get the Nutella cookie recipe?,Benny's mom,Joan Bauer,Soar,OBOB Parent Group
soar,content,191,what is Jeremiah's favorite star fact?,Stars die but can keep on glowing,Joan Bauer,Soar,OBOB Parent Group
soar,content,,what is the new name/mascot for the Hillcrest Middle School baseball team?,The Eagles,Joan Bauer,Soar,OBOB Parent Group
soar,content,1,Where was Jeremiah probably born?,"Indianapolis, Indiana",Joan Bauer,Soar,OBOB.dog Community
soar,content,1,Where was Jeremiah found?,Computer Partners Ltd.,Joan Bauer,Soar,OBOB.dog Community
soar,content,1,What month and day was Jeremiah found?,October 3rd,Joan Bauer,Soar,OBOB.dog Community
soar,content,1,How does the girl who the heart transplant is from die?,A bike crash.,Joan Bauer,Soar,OBOB.dog Community
soar,content,1,how old is Jeramiah supposedly?,12 years old,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,2,About how old was Jeremiah when Walt found him?,9 months,Joan Bauer,Soar,OBOB Parent Group
soar,content,2,what job does Jer think his mother had?,Working nights cleaning office buildings,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,3,What was Dirk Dagwood's day to make coffee at Computer Partners Ltd?,Monday,Joan Bauer,Soar,OBOB.dog Community
soar,content,4,What is the name of Jeremiah's stuffed eagle?,Baby,Joan Bauer,Soar,OBOB Parent Group
soar,content,4,What is Jeremiah's estimated birth date?,January 10th,Joan Bauer,Soar,OBOB.dog Community
soar,content,7,What is the name of Jeremiah and Walt's robot?,Jerwal,Joan Bauer,Soar,OBOB Parent Group
soar,content,7,What is Jeremiah's third favorite baseball team?,The Cincinnati Reds,Joan Bauer,Soar,OBOB.dog Community
soar,content,9,How many times have the Hornets won the state championship?,Six,Joan Bauer,Soar,OBOB.dog Community
soar,content,15,What kind of transplant did Jeremiah receive?,heart,Joan Bauer,Soar,OBOB Parent Group
soar,content,15,How old was Jeremiah when he got his transplant?,10,Joan Bauer,Soar,OBOB Parent Group
soar,content,20,Who does DR Feinberg want to include in his book?,Jeremiah,Joan Bauer,Soar,OBOB Parent Group
soar,content,33,What happened to the character that donated their heart to Jeremiah?,Bike accident,Joan Bauer,Soar,OBOB Parent Group
soar,content,33,What did Jeremiah name his new heart?,Alice,Joan Bauer,Soar,OBOB Parent Group
soar,content,33,"According to Jeremiah, what does the name Alice mean?",Noble,Joan Bauer,Soar,OBOB Parent Group
soar,content,33,what is the name of Jer’s new heart?,Alice,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,34,How long do Jeremiah and Walt plan to be in Hillcrest?,60 days,Joan Bauer,Soar,OBOB Parent Group
soar,content,38,What does Jeremiah ask Franny for when he meets her for the first time?,a paperclip,Joan Bauer,Soar,OBOB Parent Group
soar,content,44,What two baseball positions did Jeremiah play when he was little?,Third base and short stop,Joan Bauer,Soar,OBOB Parent Group
soar,content,48,What is the name of the principal of Hillcrest Middle School?,Dr Selligman,Joan Bauer,Soar,OBOB.dog Community
soar,content,49,What is the name of Jeremiah's English teacher?,Mrs Ogletree,Joan Bauer,Soar,OBOB.dog Community
soar,content,50,What instrument is Jeremiah tired of playing?,Recorder,Joan Bauer,Soar,OBOB Parent Group
soar,content,51,Who is the music appreciation teacher?,Mrs Nimroy,Joan Bauer,Soar,OBOB.dog Community
soar,content,55,what is the name of his dog that he has in Hillcrest?,Alder,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,55,why can’t Jer play baseball?,Because of his heart,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,60,What color is the first SARB that Walt creates?,orange,Joan Bauer,Soar,OBOB Parent Group
soar,content,60,What does SARB stand for?,Search and Report Back,Joan Bauer,Soar,OBOB.dog Community
soar,content,66,What is the name of the science teacher?,Miss Mullner,Joan Bauer,Soar,OBOB.dog Community
soar,content,68,What is the name of the boy Franny babysits?,Benny,Joan Bauer,Soar,OBOB Parent Group
soar,content,93,"where do people light candles and put them, following Hargie’s death?",The Hornets’ Nest,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,102,How many blue pills does Jeremiah take?,2,Joan Bauer,Soar,OBOB.dog Community
soar,content,117,What does Walt always drop when he sees Dr. Dugan?,his phone,Joan Bauer,Soar,OBOB Parent Group
soar,content,119,What does Dr. Dugan say Jeremiah needs to carry around school?,baseball,Joan Bauer,Soar,OBOB Parent Group
soar,content,124,Two part question: Name two of the three w's Jeremiah teaches the team?,"want, work and wow",Joan Bauer,Soar,OBOB Parent Group
soar,content,137,What is the name of the civilization teacher?,Mr Aronson,Joan Bauer,Soar,OBOB.dog Community
soar,content,140,What is the name of the soccer coach?,Mr Darko,Joan Bauer,Soar,OBOB.dog Community
soar,content,140,why does Jer tell the boys on the baseball team to spit?,To make them look tough,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,143,how many players tested positive for steroid use out of 15 among the Hillcrest Hornets?,6,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,144,Hillcrest has a statue up on a hill what is it?,a baseball bat,Joan Bauer,Soar,OBOB Parent Group
soar,content,148,What is the original name of Jeremiah's team?,Muskrats,Joan Bauer,Soar,OBOB Parent Group
soar,content,165,what is the team who has unsportsmanlike conduct?,Myerson Middle School,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,169,what does the sign on Mr. Hazard’s door say?,Hazard,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,178,what is the name of Jer’s stuffed eagle?,Baby,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,182,What baseball position did Mr Hazard play in High School?,Catcher,Joan Bauer,Soar,OBOB Parent Group
soar,content,189,Who does Walt ask to dinner?,Jeremiah's cardiologist or Sarah or DR Dugan,Joan Bauer,Soar,OBOB Parent Group
soar,content,198,"what is the name of the coach who allegedly gave his team steroids, claiming they were vitamins?",Coach Perkins,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,206,Who gets hired to coach the middle school baseball team?,El Grande,Joan Bauer,Soar,OBOB Parent Group
soar,content,213,What does the team change the name muskrats to?,eagles,Joan Bauer,Soar,OBOB Parent Group
soar,content,216,what is Sky’s position in baseball?,Pitcher,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,221,what does the name Adler mean in German?,Eagle,Joan Bauer,Soar,OBOB Parent Group
soar,content,224,how long ago did Franny’s dad leave her and her family?,4 years ago,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,226,Who does Jeremiah ask to be his best friend?,Franny,Joan Bauer,Soar,OBOB Parent Group
soar,content,232,why can’t Danny play in the game against the Falcons?,He injured his throwing arm,Joan Bauer,Soar,Lake Oswego Public Library
soar,content,237,who gives out free samples to the Eagles baseball team?,The Brownie Bakery,Joan Bauer,Soar,OBOB Parent Group
soar,content,239,who does Jeremiah confront in Junk Ball Pizza?,Chip Gunther,Joan Bauer,Soar,OBOB Parent Group
soar,content,244,What position does Alvin play?,outfield,Joan Bauer,Soar,OBOB Parent Group
soar,content,244,Who plays shortstop?,Roy Nader,Joan Bauer,Soar,OBOB Parent Group
soar,content,244,Who is the pitcher?,Sky,Joan Bauer,Soar,OBOB Parent Group
soar,content,250,what is the final score in the baseball game the Eagles play against St. Peter's Middle School?,Three to two,Joan Bauer,Soar,OBOB Parent Group
soar,content,263,Which character keeps the stats of the game mentally?,Benny,Joan Bauer,Soar,OBOB Parent Group
soar,content,264,What does Jeremiah suggest could go down the aisle before the bride?,Robots,Joan Bauer,Soar,OBOB Parent Group
soar,content,280,what does Benny's mom ask the team after the last game?,If Benny can play catch with the team,Joan Bauer,Soar,OBOB Parent Group
soar,content,282,what is the unanimous decision the Magellan Group makes?,"To move (corporate headquarters) from St. Louis to Hillcrest, Ohio",Joan Bauer,Soar,OBOB Parent Group
