book_key,question_type,page,text,answer,author_name,book_title,source_name
tagging-freedom,content,1,In which city does Kareem's family live?,Damascus,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,1,How many white birds are supposed to be painted on Kareem's mural in Damascus?,15,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,1,what color spray paint does Kareem use for the first mural in the book?,Black,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,1,what city does Kareem live in with his family?,Damascus,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,1,how many white birds did Kareem and his friends need to paint on the wall in Damascus?,Fifteen,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,1,which of Kareem's friends uses an inhaler?,Hassan,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,1,Kareem uses what object to reach higher on the mural in Damascus?,Trash can,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,1,Name two of Kareem's friends in Damascus?,"Any two: Hassan, Ramy, George, Yusuf",Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,1,how many white birds were painted on the bbc wall compared to the 15 they needed?,14,Rhonda Roumani,Tagging Freedom,Lake Oswego Public Library
tagging-freedom,content,2,Name two items Kareen and friends paint on the mural in Damascus?,"Any two: white birds, black bird, a heart, words",Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,3,What is the name of Yusuf’s 16 year old brother?,Ramy,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,3,what is the full phrase Kareem and friends spray paint on the mural with the white birds?,We deserve to fly FREE,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,3,"on the mural with the fifteen white birds, who does the black bird represent?",Hamza,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,3,"how old is Ramy, Yusef's brother?",Sixteen,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,3,what is the first name of Yusufs sixteen-year old brother?,Ramy,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,4,"on the mural with the black bird and the fifteen white birds, who do the white birds represent?",The (grafitti) boys from Dara'a,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,5,where does Kareem go after the mural with the white birds is finished?,The mosque,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,6,what direction was Dara'a from Damascus?,South,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,6,what color are Hamza's eyes?,Brown,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,8,What state does Samira live in?,Massachusetts,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,8,what is the name of the town where Sam lives?,Allansdale,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,8,who did Sam need to find before the spirit squad arrived?,Eleanora or Ellie,Rhonda Roumani,Tagging Freedom,Lake Oswego Public Library
tagging-freedom,content,9,What color are Eleanora's bangs?,blue,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,9,What club was Sam invited to join?,Spirit Squad,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,9,What is Samira’s last name?,Sukkari,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,9,"what type of eyes do not typically work on Sam's friend, Ellie?",Doe (eyes),Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,9,what is Sam's full name?,Samira Sukkari,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,9,what grade are Sam and Ellie in?,Seventh,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,9,what character invited Sam to join Spirit Squad?,Lucy,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,9,what color bangs does Ellie have?,Blue,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,9,what color bangs did Ellie have?,Blue,Rhonda Roumani,Tagging Freedom,Lake Oswego Public Library
tagging-freedom,content,9,What club does Samira join?,Spirit Squad,Rhonda Roumani,Tagging Freedom,Cedar Mill Community Library
tagging-freedom,content,10,what is the number of the Art Room?,Room 245,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,10,what is Ellie's full name?,Eleanora Gold,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,10,what is Ellie's last name?,Gold,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,11,What is the room number of the art room?,245,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,11,what is the name of Sam and Ellie's school?,Allansdale,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,12,What school does Sam attend?,AMS (Allensdale Middle School),Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,12,what grade was Ellie in when she watched a show about people with synesthesia?,Third,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,13,who was the art yin to Sam's yang?,Ellie,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,13,Name two of the Spirit Squad members besides Sam?,"Any two: Cat, Avery, Lucy",Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,14,what color are the sugar coated chickpeas that Sam brings to her first Spirit Squad meeting in the art room? Be specific.,Pastel pink and blue.,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,14,what did Cat say Sam forgot on the banner?,The 2011 and ‘spirit squad’,Rhonda Roumani,Tagging Freedom,Lake Oswego Public Library
tagging-freedom,content,15,What two colors are the garbanzo beans Lucy eats?,pastel pink and blue,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,15,Where are the sugar coated chickpeas from?,Syria,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,17,"At the protest in Syria that Kareem and his friends attend, which friend locks arms with Kareem on his left side?",George,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,17,name one friend that Kareem goes to the protest with?,"Hassan, George, or Yusuf.",Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,17,what words are on the banner that floats above the crowd at the protest Kareem attends in Damascus?,WE WANT FREEDOM FOR ALL,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,17,who is the president of Syria?,(President) Bashar al-Assad,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,18,how tall is Ramy?,Six-feet,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,18,who does Hassan say will kill them if they go to the protests?,(Their) parents,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,18,What is Yusuf's brother's name?,Ramy,Rhonda Roumani,Tagging Freedom,Cedar Mill Community Library
tagging-freedom,content,19,what do Kareem and friends tell their parents they were doing the Friday afternoon they attend the protests?,Play a pickup game of soccer (followed by shawarma sandwiches),Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,20,what words do 15 boys from Dara'a graffiti on their school walls?,"It's your turn, Doctor.",Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,20,What is the name of the boy who dies in custody?,Hamza,Rhonda Roumani,Tagging Freedom,OBOB Parent Group
tagging-freedom,content,20,what phrase did the grafitti boys of Dara'a paint on their school's wall? Be specific.,"It's your turn, Doctor.",Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,20,what type of doctor was President Bashar al-Assad? Be specific.,An ophthalmologist.,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,20,what is the age range of the grafitti boys of Dara'a?,Ten to fifteen years old.,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,21,what is the word freedom in Arabic?,Houriyeh,Rhonda Roumani,Tagging Freedom,OBOB.dog Community
tagging-freedom,content,22,what emotion was Hassan always?,Scared,Rhonda Roumani,Tagging Freedom,Lake Oswego Public Library
