book_key,question_type,page,text,answer,author_name,book_title,source_name
tumble,content,1,what food does Adelita only eat if cooked by Alex?,Eggs,Celia C. Peréz,Tumble,Lake Oswego Public Library
tumble,content,2,"what is a ""jobber""?",Their job is to loose the wrestling match,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,3,What is Apollo's signature closing move called?,The Sunset,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,5,what in the name of the Wrestling League in the neighboring town?,Cactus Wrestling League,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,5,where do people go to watch cactus wrestling?,Esperanza,Celia C. Peréz,Tumble,Lake Oswego Public Library
tumble,content,6,what are the two sections on the menu nicknamed?,The Undercard and The Main Event,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,6,Two-part question:  What are the names of the two sections of the menu at the diner?,The Undercard and The Main Event,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,6,Which two towns are known as Dos Pueblos?,Thorne and Esperanza,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,6,What is the name of the town where Adela lives?,Thorne,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,6,Alex's most prized possession is a signed photo of who?,Andre the Giant,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,6,How tall is Andre the Giant?,7 foot 4,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,7,What is the name of the family diner ?,Four Sisters Diner,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,7,What is the name of the person closest to a grandmother for Adie,Marlene Rosado,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,7,What is the name of the diner that Alex's grandfather opened in 1963?,The Four Sisters Diner,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,7,What is Marlene's full name?,Marlene Rosado,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,7,In what year did Four Sisters diner open?,1963,Celia C. Peréz,Tumble,OBOB.dog Community
tumble,content,7,what’s one thing about the diner that hasn’t changed since Alex’s grandfather opened it?,Marlene Rosado,Celia C. Peréz,Tumble,Lake Oswego Public Library
tumble,content,8,"""Hope"" is diner lingo for what breakfast food?",Oatmeal,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,8,where are the two places that Adelita's mom works?,[1] The diner [2] The museum,Celia C. Peréz,Tumble,Lake Oswego Public Library
tumble,content,10,"what does Addie consider ""glass ornaments""?",The topics of adoption and biological father,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,12,Which road is the tumbleweed snowman on where Adela and her mom take a photo every year?,Route 13,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,12,"where do Adelita and her mom take a picture every year, and what do they wear?",[1] In front of the tumbleweed snowman on route 13 [2] Funky Christmas sweaters,Celia C. Peréz,Tumble,Lake Oswego Public Library
tumble,content,14,What grade is Adela in?,Seventh,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,15,who is Addies best friend? Two part question,Cyaandi Fernandez Cy nickname,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,15,what grade in Addie in,seventh grade,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,15,What is Cy's full name?,Cyaandi Fernandez,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,22,What is Cy and Adela's favorite telenovela?,Mundo Raro,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,25,where is the missing photo found?,In a shoebox in a trunk,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,25,What size are Adela's feet?,size 8,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,26,How old is Adela's mom when Adela is born?,Twenty,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,29,instead of putting the photo she found back in the trunk what did Addie do with it?,she put it in her hoodie pocket and then her closet,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,30,What does Adela's mom do for a living?,Fossil Preparator,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,33,the study on mice brains said a childs brain is more like their mother or father?,fathers,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,39,what is the main charatcers name and nickname?,Adela and Addie,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,39,What is the name of the drama teacher?,Mrs. Gonzalez,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,39,What is the name of Adela's school?,Thorne Middle School,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,39,What is the mascot of Thorne Middle School?,Fighting Long-Nosed Bats,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,43,who is the quiet new boy in school?,Gus Gutierrez,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,43,Who is Addie's home room teacher?,Mr Tanaka,Celia C. Peréz,Tumble,OBOB.dog Community
tumble,content,44,Who is Addie's science teacher?,Miss Guadet,Celia C. Peréz,Tumble,OBOB.dog Community
tumble,content,45,what is the seal Addie and Cy find on the sweatpants in the special photo?,Esperanza High School,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,46,What is the name of the school librarian at Thorne Middle School?,Ms. Baig,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,48,What is the name of Cy's brother?,Kobie,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,48,where does Adelita find the yearbook of her biological father?,The historical society,Celia C. Peréz,Tumble,Lake Oswego Public Library
tumble,content,50,where does Addie find the yearbook she's looking for?,The Dos Pueblos Historical Society,Celia C. Peréz,Tumble,OBOB Parent Group
tumble,content,50,What is the name of the adobe building that looks like it has been draped in burnt orange fondant?,Dos Pueblos Hostorical Society,Celia C. Peréz,Tumble,OBOB Parent Group
