book_key,question_type,page,text,answer,author_name,book_title,source_name
uprooted,content,7,In what year did Ruth and her family move from Toronto to Hong Kong?,1993,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,7,What is the roller coaster in Toronto called?,The Mighty Canadian Minebuster,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,11,"What can Ruth say she can eat for breakfast, lunch, and dinner?",ice cream,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,17,"What is Ruth's nickname which also means ""little sister"" in Cantonese?",Mui,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,20,"What does Ruth call the brother that also means ""big brother"" in Catonese?",Goh,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,21,What is the name of Ruth's cat?,Kitty,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,21,What is the name of Ruth's dog?,Hannibal,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,22,Ruth collects a lot of things. Name at least two of her collections.,"(at least two of these)rock, eraser, keychain, baseball, pig",Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,32,What is the name of Ruth's friend who hit their head on a table and started bleeding?,Jordan,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,40,What does Ruth call her dad's older sister?,Gooma,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,40,What is the job of Ruth's grandfather on her father's side?,customs officer,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,53,What is the nickname that Ruth's friends from Toronto call her?,Babe Ruth,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,60,What is a taxi line called in Hong Kong?,queue,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,65,What is the apartment number where Ruth and her family moved to in Hong Kong?,Apt 1547,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,69,What does Ruth's family call their grandma on her mom's side?,Poh Poh,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,69,What does Ruth's family call their grandpa on her mom's side?,Gong gong,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
uprooted,content,70,How is Ruth instructed to greet her family members in Hong Kong?,by their names in order of seniority,Ruth Chan,Uprooted: A Memoir About What Happens When Your Family Moves Back,OBOB Parent Group
