book_key,question_type,page,text,answer,author_name,book_title,source_name
an-appetite-for-miracles,content,4,who does not like parsley?,Grandpa,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,,whose souls does Danna offer God in exchange for helping Grandpa?,Her own and her cousin Victoria's,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,10,how many years has Raul's mom been away?,Two,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,15,what is the name of Raul's Sunday school teacher?,Senora de Souza,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,30,how long does Raul talk to his mom on the phone each week when she's in prison?,5 minutes,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,,where does Raul get his first guitar?,The flea market,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,2,Two-Part: Identify two of the three flavors Danna uses to describe the memory of eating alphabet soup with her grandpa?,"Salty, sour bittersweet",Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,4,"what meal does Danna's mom say has to have parsley because it ""has to look like the Mexican flag""?",chiles en nogada,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,10,how many days does Raul say it's been since his mom has seen the moon?,seven hundred and twenty nine days,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,14,what band does Raul say he and Manny listen to while hiding in the back at Sunday School?,The Mars Volta,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,15,what is the name of the Sunday school teacher where Raul goes to church?,Senora de Souza,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,17,what is the name of Danna's aunt?,Veronica,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,17,what is the name of Danna's uncle?,Moises,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,17,what is the name of Danna's cousin?,Victoria,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,18,"after picking up the Sunday paper, from where would Grandpa always bring a Styrofoam cup home?",Gloria's Cafe,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,24,"who says, ""a second on the lips for a lifetime on the hips""?",Mami,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,25,Two-Part: list two things grandpa says the Key lime pie Victoria made tastes like.,"summer rain, his mother's hugs, fireworks on the Fourth of July",Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,41,what is the name of the man who gave Raul his first guitar?,Señor Velasco,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,45,"what is the first and last name of the captain of the basketball team, who Danna calls ""the only boy I have ever loved""?",Yeong Kim,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,52,"what is the first and last name of Victoria's latest crush, who they see as the pass the soccer field?",Javi Montoya,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,53,what is the name of the restaurant that Grandpa put on the map with a five-hundred-word article in The New York Times?,Luchas,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,54,Two-Part: list two of the three ingredients that come with Danna and Victoria's el pastor tacos.,"cilantro, extra onions, and tomatillo salsa",Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,65,"how much do Raul and his Uncle charge an hour for ""music therapy""?",Fifty dollars an hour,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,65,What is Mr. Villarreal's wife's favorite song?,"""Amor de Mis Amores""",Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,69,what song did Danna and her grandpa dance to at Danna's quinces?,"""Es Mi Niña Bonita""",Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,81,how many days apart were Danna and Victoria born?,six days,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,88,Two-Part: list two out of the three languages that Raul says Mr. Lim's school stole from him.,"English, Vietnamese, Mandarin",Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,96,what is the first and last name of Raul's mother?,Danna Mendoza,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,103,who does Danna say has a two-year-old and a part-time job at Burger King?,Andrea Meyer,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,110,what was in the package that Raul's mother's boyfriend asked him to deliver for him?,drugs,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,121,what shirt does Danna say she always wears when it's her turn to clean the bathroom? Be specific.,Adventure Time t-shirt,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,128,what time on Saturday morning does part-two of the attic renovation at Danna's house supposed to start?,09:00:00,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,134,"what cookies are considered to be engagement cookies, according to Victoria?",chorreadas de piloncillo,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,,what is Danna's last name?,Mendoza Villareal,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,148,which character asks if Danna has a sister?,Manny,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,,for how many minutes does grandpa remember his wife while he is eating chorreadas de piloncillo?,37 minutes,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,169,what is Danna's grandfather's first and last name?,Marcelino Villarreal,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,174,what is Raul's favorite color?,green,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,192,how long does it take Danna to put together a map of grandpa's memories of his heart?,six hours,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,207,what Shakespeare play is on the big screen is Mrs. Choi's room that Raul starts to fall asleep watching?,Othello,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,211,"according to Mr. Rodriguez, what helps with increasing memory, lowering stress, and fighting fatigue?",peppermints,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
an-appetite-for-miracles,content,228,what kind of cookies does Danna make Raul's mom?,sugar-free banana split cookies,Laekan Zea Kemp,An Appetite for Miracles,OBOB Parent Group
