book_key,question_type,page,text,answer,author_name,book_title,source_name
promise-boys,content,1,what is the full name of the principal and founder of Urban Promise Prep?,Kenneth Moore,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,1,what is the number for the District of Columbia Police Department's Homicide Unit?,202-555-4925,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,1,how much is the reward money for anyone who provides information leading to an arrest and indictment in the case?,65000,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,8,what high school does Keyana Glenn attend?,Anacostia High School,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,8,"which character ""swore he was different.  Not like other guys.  Better than them.""?",J.B. Williams,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,10,what did Nurse Robin's friends warn her about working at Urban Promise Prep?,"It's ""all male""",Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,13,which character tutors at Urban Promise Prep?,Becca Buckingham,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,,Two Part: list the first and last names of two out of the three students suspected of shooting Principal Moore.,"Ramón Zambrano, Trey Jackson, J.B. Williamson",Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,15,what three-word phrase does J.B. allegedly mumble after his confrontation with Principal Moore? Direct quote needed.,"""I'mma see you.""",Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,17,who found Principal Moore dead?,Wilson Hicks,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,20,"Two-Part: List two out of three things that aren't allowed at Urban Promise Prep, according to Mr. Reggie.","no talking, no laughing, no girls",Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,21,what is the name of Urban Promise Prep School's resource officer?,Mr. Reggie,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,22,which student does Mr. Reggie say is ALWAYS in detention?,Trey,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,23,what does Mr. Reggie say he saw under Principal Moore's desk after Moore's body was removed?,Ramón's hairbrush,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,24,what are the names of the two detectives interrogating J.B.?,Detective Bo and Detective Ash,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,29,what is Urban Promise Prep School's school motto?,"""We Promise""",Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,29,how many times did the Urban Promise Prep School students have to recite the school anthem in order to memorize it when they were in the 6th grade?,3x a day,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,32,how tall is Principal Moore?,"6'3""",Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,33,what student does Principal Moore give a detention to for not wearing a tie at school?,Soloman,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,35,What is the last name of the teacher J.B. sees at the grocery store the day before the murder?,Hall,Nick Brooks,Promise Boys,OBOB Parent Group
promise-boys,content,38,what type of handgun does Bando show J.B.?,0.38,Nick Brooks,Promise Boys,OBOB Parent Group
