book_key,question_type,page,text,answer,author_name,book_title,source_name
when-we-make-it,content,5,What are the names of Sarai's siblings?,Danny and Estrella,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,9,what does Sarai's mother use as a curtain and where did she get it?,A fuzzy blanket with a lion print that she ordered from Fingerhut,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,15,What neighborhood is full of people who lived somewhere else first?,Bushwick,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,15,name three things that Sarai says Bushwick is full of,"Hip-hop, salsa, cuchifritos, soul food, nail salons, hair salons, bootleg CD vendors, tamale ladies on the corner",Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,18,what is a Nuyorican,A Puerto Rican born in New York,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,19,where does Mami get money orders to pay rent?,Check Cashing,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,19,what street does the family move from when they move to Knickerbocker Avenue?,Gates Avenue,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,21,what does everyone call Knickerbocker Avenue?,Hookerbocker Ave,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,25,What is the first name of Sarai's best friend?,Lauricia,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,27,"who is the ""cool Puerto Rican English teacher""?",Ms. Rivera,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,32,Where does Lala's father work?,A bank,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,34,In When We Make It by Elisabet Velasquez what is the name of the fancy super make that they shop at when Mami gets paid?,Scaturro,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,38,what does Sarai ask Senor Mavi permission for?,To be Puerto Rican,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,44,"what do Boricuas say instead of ""that sucks""?",Ay bendito,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,45,The pronounciation of what street signals whether someone is from the neighborhood or not?,Graham Avenue,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,50,what's Sarai and Estrella's favorite magazine?,Seventeen,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,53,What role does Sarai have in the church?,Devotional lead,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,53,what is Sarai's role at church?,Devotional lead,Elisabet Velasquez,When We Make It,OBOB Parent Group
when-we-make-it,content,54,what denomination of church does Sarai's family attend?,Pentecostal,Elisabet Velasquez,When We Make It,OBOB Parent Group
