In Which Book Questions,Page #,Title,Author
,,,
In which book does a character forget to put in their fake teeth?,3,Circus Mirandus,Cassie Beasley
In which book does a character keep fourteen kooky cats?,3,Circus Mirandus,Cassie Beasley
In which book  does a character make black tea every day in a bright steel kettle?,4,Circus Mirandus,Cassie Beasley
In which book does a character drag an old sleeping bag out of the hall closet?,58,Circus Mirandus,Cassie Beasley
In which book are there large round tents with pointed tops?,65,Circus Mirandus,Cassie Beasley
In which book does a character give a spool of yellow thread to the ticket taker?,68,Circus Mirandus,Cassie Beasley
In which book  does a character wear a costume made of long white feathers?,71,Circus Mirandus,Cassie Beasley
"In which book  is there a tent with a ""NO ADMITTANCE"" board across the entrance?",73,Circus Mirandus,Cassie Beasley
"In which book  does a character say ""interruptions could be lethal""?",73,Circus Mirandus,Cassie Beasley
In which book  is there a treehouse with its floor covered in peanut butter cracker crumbs?,88,Circus Mirandus,Cassie Beasley
In which book  does a character say it's traditional to offer travelers a snack?,89,Circus Mirandus,Cassie Beasley
"In which book  does a character have to say nothing but ""thank you for your attention""?",100,Circus Mirandus,Cassie Beasley
In which book  is there a chariot pulled by four horses?,109,Circus Mirandus,Cassie Beasley
In which book  are there butterflies the size of swallows?,111,Circus Mirandus,Cassie Beasley
In which book  does a character cling to their seat like a stubborn barnacle?,116-117,Circus Mirandus,Cassie Beasley
In which book  does a character plan to become a train robber or an archaeologist or a jungle explorer?,118,Circus Mirandus,Cassie Beasley
In which book does a character wrap a bootlace around their wrist?,129,Circus Mirandus,Cassie Beasley
In which book  does a character say human children don't hatch out of eggs?,136,Circus Mirandus,Cassie Beasley
In which book  does a character move their family to the Untamed Wilds of Canada?,138,Circus Mirandus,Cassie Beasley
"In which book  does a character have gowns, chocolates and porcelain dolls shipped in by the truckload?",138,Circus Mirandus,Cassie Beasley
In which book  is a character as graceful in the air as a swallow?,142,Circus Mirandus,Cassie Beasley
"In which book  are characters arguing about the definition of the words ""legal tender for all debts""?",153,Circus Mirandus,Cassie Beasley
"In which book  does the air smell of grass, smoke and chocolate cake?",156,Circus Mirandus,Cassie Beasley
In which book  is there a person in green striped overalls handing out different kinds of candy?,157,Circus Mirandus,Cassie Beasley
In which book  does a character's candy taste like rose-petals?,157,Circus Mirandus,Cassie Beasley
In which book  is there a giant aquarium with a single silverfish?,165,Circus Mirandus,Cassie Beasley
In which book  does a character conclude that children are abominably foolish creatures?,183,Circus Mirandus,Cassie Beasley
In which book does a phoenix bird hit the ground and burst into flames?,192,Circus Mirandus,Cassie Beasley
In which book  does a character tell knock-knock jokes while they wait in line?,219,Circus Mirandus,Cassie Beasley
In which book  does a character find a job as a shoe salesman?,230,Circus Mirandus,Cassie Beasley
In which book  is a character forced to dress in a suit that itches?,274,Circus Mirandus,Cassie Beasley
In which book  does a character feel like a piece of furniture?,282,Circus Mirandus,Cassie Beasley
In which book  is there a chasm torn across the interstate?,285,Circus Mirandus,Cassie Beasley
In which book  does a character try to convince their dad that desert will be more educational than Florida?,290,Circus Mirandus,Cassie Beasley
In which book  does a character say they have always wanted a pen pal?,279,Circus Mirandus,Cassie Beasley
In which book  does a character try to feed a whole plate full of cucumber sandwiches?,274,Circus Mirandus,Cassie Beasley
In Which Book is there a room filled with the sweet stink of medicine?,1,Circus Mirandus,Cassie Beasley
In Which Book does a pen glint in the yellow lamplight?,2,Circus Mirandus,Cassie Beasley
In Which Book does someone say old ladies play old fashioned card games at the town social hall?,3,Circus Mirandus,Cassie Beasley
In Which Book does bad teeth run in the family?,4,Circus Mirandus,Cassie Beasley
In Which Book does someone's parents die in a boating accident?,13,Circus Mirandus,Cassie Beasley
"In Which Book are someone's eyes described as ""bright with secrets""?",13,Circus Mirandus,Cassie Beasley
In Which Book does someone wrinkle their nose at the thought of inky tea?,14,Circus Mirandus,Cassie Beasley
In Which Book does a messenger prefer to take phone calls?,18,Circus Mirandus,Cassie Beasley
"In Which Book does a character stare at a door, wishing it would burst into a thousand splinters?",20,Circus Mirandus,Cassie Beasley
"In Which Book is a character's hair described as a ""tangled nest""?",23,Circus Mirandus,Cassie Beasley
In Which Book does someone stand as still as a petrified stump?,26,Circus Mirandus,Cassie Beasley
In Which Book does a character consider becoming a train robber?,31,Circus Mirandus,Cassie Beasley
In Which Book does a fish get stuck in someone's left boot?,34,Circus Mirandus,Cassie Beasley
In Which Book does a character say they do not own a hairbrush?,38,Circus Mirandus,Cassie Beasley
In Which Book does a person sit on a miniature cardboard chariot?,45,Circus Mirandus,Cassie Beasley
In Which Book do two characters have a conversation in a supply closet?,49,Circus Mirandus,Cassie Beasley
In Which Book does someone sell their house and travel back to their hometown in Mexico?,52,Circus Mirandus,Cassie Beasley
In Which Book does a character yank a phone line out of the wall?,56,Circus Mirandus,Cassie Beasley
In Which Book does a marker fall and hit someone's cheek?,60,Circus Mirandus,Cassie Beasley
In Which Book is there a misty green meadow resting between dunes and run-down buildings?,65,Circus Mirandus,Cassie Beasley
In Which Book does someone have a spool of yellow thread in the pocket of their overalls?,68,Circus Mirandus,Cassie Beasley
In Which Book does a character trip over their backpack and fall flat on their stomach?,86,Circus Mirandus,Cassie Beasley
In Which Book does a zipper get caught in someone's braids?,86,Circus Mirandus,Cassie Beasley
In Which Book is there a failed indoor boomerang demonstration?,99,Circus Mirandus,Cassie Beasley
In Which Book does a character draw a small spoon on the top of a piece of paper?,101,Circus Mirandus,Cassie Beasley
In Which Book are there giant spiderwebs stretched from tree to tree?,110,Circus Mirandus,Cassie Beasley
In Which Book do leaves the size of umbrellas slap someone's face?,110,Circus Mirandus,Cassie Beasley
In Which Book does someone cling to their seat like a stubborn barnacle?,117,Circus Mirandus,Cassie Beasley
"In Which Book does a character say ""They must be teaching you how to be a giant at school.""?",128,Circus Mirandus,Cassie Beasley
"In Which Book does someone pick up a latern, look at it with a vacant expression, then set it back down?",134,Circus Mirandus,Cassie Beasley
In Which Book does a character pinch the inside of their elbow until their skin bruised?,140,Circus Mirandus,Cassie Beasley
In Which Book does someone's bicycle have tires that are half flat?,146,Circus Mirandus,Cassie Beasley
In Which Book do giant balloon creatures loom eerily in the moonlight?,148,Circus Mirandus,Cassie Beasley
In Which Book is a character so excited that they are bouncing on the balls of their feet?,153,Circus Mirandus,Cassie Beasley
In Which Book does the air smell of grass and smoke and chocolate cake?,157,Circus Mirandus,Cassie Beasley
In Which Book is someone's shoulders as wide as an old buick?,159,Circus Mirandus,Cassie Beasley
In Which Book does a character say the have never been to a zoo before?,164,Circus Mirandus,Cassie Beasley
In Which Book does someone look like Santa Claus with a buzz cut?,169,Circus Mirandus,Cassie Beasley
In Which Book do characters like glass soda bottles better than plastic ones?,177,Circus Mirandus,Cassie Beasley
In Which Book does someone conclude that children are abominably foolish creatures?,183,Circus Mirandus,Cassie Beasley
"In Which Book does a character feel like a kite with a cut string, tumbling through the air?",200,Circus Mirandus,Cassie Beasley
In Which Book does someone make a special tea using a mortar and pestle?,206,Circus Mirandus,Cassie Beasley
In Which Book does a character pick all of the pepperonis off of their slice of pizza?,212,Circus Mirandus,Cassie Beasley
In Which Book do characters never keep score when they play games together?,219,Circus Mirandus,Cassie Beasley
In Which Book is there a daisy patterned tablecloth on a kitchen table?,238,Circus Mirandus,Cassie Beasley
In Which Book is someone wearing a sweatshirt with a needle and thread logo on the back?,270,Circus Mirandus,Cassie Beasley
In Which Book is a character forced to wear a suit that itches?,274,Circus Mirandus,Cassie Beasley
In Which Book is someone given a present wrapped in newspaper?,280,Circus Mirandus,Cassie Beasley
In which book does the story begin with a letter to the lightbender?,1-2,Circus Mirandus,Cassie Beasley
In which book does a great aunt from Arizona come to stay with them when his grandpa medical condition worsened?,4,Circus Mirandus,Cassie Beasley
In which book does a 10 year old boy live with his Grandpa,6,Circus Mirandus,Cassie Beasley
"In which book was knot tying a family specialty, passed down from generation to generation?",11,Circus Mirandus,Cassie Beasley
In which book does a character's parents die in a boating accident when he was 4.,13,Circus Mirandus,Cassie Beasley
In which book was there a messenger bird that felt messages that needed delivering in the twitches of her tail?,24,Circus Mirandus,Cassie Beasley
"In which book was there a man named Porter who opened doors that led from one place to another, but to travel great distances?",28,Circus Mirandus,Cassie Beasley
"In which book does a boy write to his father, who is in the war, and tell him that soon he will have to become a train robber unless his father comes home from the war?",31-32,Circus Mirandus,Cassie Beasley
"In which book did a boy attempt to walk across the sea that looked so very flat, to Europe and to the war and to his father?",34,Circus Mirandus,Cassie Beasley
In which book did a boy get a fish stuck in his boot when it filled up with sea water and then immediately heard music of pipes and drums?,35,Circus Mirandus,Cassie Beasley
In which book did a boy get in a fight with his aunt and then go out to sleep out in his treehouse?,58,Circus Mirandus,Cassie Beasley
In which book did a boy trade a fish for a week long admission ticket?,68,Circus Mirandus,Cassie Beasley
In which book was there a very peculiar parrot who could talk an unusual amount.,93,Circus Mirandus,Cassie Beasley
"In which book does the main character and his best friend do a presentation together, creating an example of an Incan quipu?",100,Circus Mirandus,Cassie Beasley
"In which book did a boy get to see his father, although not real, come home from the war?",114,Circus Mirandus,Cassie Beasley
In which book does a boy save a miracle offered to him?,121,Circus Mirandus,Cassie Beasley
In which book does a boy and his best friend meet up just after 11:00 pm and ride bikes to follow the wind?,146,Circus Mirandus,Cassie Beasley
In which book did a boy teach Big Jean something she didn't know?,168,Circus Mirandus,Cassie Beasley
"In which book did a girl offend Mr. Head by insinuating they used ""clever tricks""?",170,Circus Mirandus,Cassie Beasley
