In Which Book Questions,Page #,Title,Author
,,,
"In which book is someone called ""Cupcake"" by their mother?",1, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
"In which book does someone sleep in a lofted bed above their desk, fish tank and pet hamster?",1-3, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone always need to be tucked in tighter?,2-3, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone read their IEP educational assessment  over and over again?,3-4, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
"In which book does someone have the comment "" above average intelligence, but not so much as to be exceptional? written on a list?",7, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone say they will behave because they heard their mom?,8, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone say they are a splinter-heart kid?,10, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone always wear their hair in two tight french braids?,12-13, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book do people's brains crack?,16, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book do they do swing-jumping?,21, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does anger live in someone's right two ribs?,25, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone want to go to horse camp more than they want a phone as a reward for good behavior?,35-36, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone always forget to bring their pencil to Mr Olsen's class?,46, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book did a fourth grader get the classification of inconclusive?,66, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book is described of having a social ineptitude and having only one friend?,68, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book did a therapist say that a mother and daughter shouldn't talk between 8:00pm and 10:00am because they were codependent?,71, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone attend Alcoholics Anonymous meetings?,74-75, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone take a tiny blue pill for ADHD?,91, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book is there a Dr. Nessa Anderson?,114, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book are the number of girls diagnosed with ADHD underestimated in all races?,120, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone say they know the Serenity Prayer?,123, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone use a map to find buried Happy Meal toys from McDonald's?,128-1290, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone say that confidence is a good higher power?,150, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone buy a teal and black sleeping bag from Target?,166-167, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone give a foot bath and massager as a birthday present?,171, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone suggest playing the game Sardines?A,173, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book do friends call each number friends?,181-182, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book is someone prescribed Adderall?,204, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book does someone work on a Rubik's cube instead of having fun with their friends?,210, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book do they play Ballet HORSE?,220, Fifty-Four Things  Wrong with Gwendolyn Rogers,Caela Carter
In which book is the main character described as an unflexible thinker?,0,Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter
In which book does a character use a corny book about middle schoolers to hide what they really read at night?,1,Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter
In which book is there a hamster named Mr. Jojo,2,Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter
In which book does a character need to be tucked in tightly in order to sleep?,3,Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter
In which book is there an after-school program called PowerKids?,7,Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter
In which book does a character describe themselves as a splinter-heart kid?,10,Fifty-Four Things Wrong with Gwendolyn Rogers,Caela Carter
