In Which Book Questions,Page #,Title,Author
,,,
In Which Book is no one in the family allowed to get a haircut before age 9?,7,J.D. and the Great Barber Battle,J. Dillard
In which book does a characters mom first go to school to become a nurse?,11,J.D. and the Great Barber Battle,J. Dillard
In which book does a character’s granddad have a heart attack?,12,J.D. and the Great Barber Battle,J. Dillard
In which book does a character attend Douglas Elementary?,14,J.D. and the Great Barber Battle,J. Dillard
"In which book does a character call breakfast, “Fuel for the Day”?",15,J.D. and the Great Barber Battle,J. Dillard
In which book does a character wear a Mississippi Bulldogs baseball cap?,17,J.D. and the Great Barber Battle,J. Dillard
In which book is middle school 5th – 8th grades?,18,J.D. and the Great Barber Battle,J. Dillard
"In which book is a grandma’s favorite thing to say, “oh, Lord”?",18,J.D. and the Great Barber Battle,J. Dillard
In which book does someone have a Baldwin piano in their living room?,19,J.D. and the Great Barber Battle,J. Dillard
In which book is the dirt red?,20,J.D. and the Great Barber Battle,J. Dillard
In which book does a character draw Lego Batman because it is complicated?,21,J.D. and the Great Barber Battle,J. Dillard
In which book does a girl play on a peewee football team?,22,J.D. and the Great Barber Battle,J. Dillard
In which book does a character qualify for free lunch at school?,24,J.D. and the Great Barber Battle,J. Dillard
n which book does a lunch lady make someone take off their hat?,24,J.D. and the Great Barber Battle,J. Dillard
In which book does a character dress up as Gwen Stacy for Halloween?,26,J.D. and the Great Barber Battle,J. Dillard
In which book does a mom own a cleaning business?,29,J.D. and the Great Barber Battle,J. Dillard
In which book does someone take their sketch book to take their mind off their hair?,36,J.D. and the Great Barber Battle,J. Dillard
In which book does someone teach a private ceramics class?,38,J.D. and the Great Barber Battle,J. Dillard
In which book does someone have a bowling ball with their initials on it?,39,J.D. and the Great Barber Battle,J. Dillard
In which book does someone display a drawing of Pink Panther in their living room?,41,J.D. and the Great Barber Battle,J. Dillard
In which book does a character watch Jeopardy,43,J.D. and the Great Barber Battle,J. Dillard
In which book does someone’s grandparents complain that they are using too much toilet paper?,56,J.D. and the Great Barber Battle,J. Dillard
In which book does someone play on the Meridian Mighty Mice peewee football team?,60,J.D. and the Great Barber Battle,J. Dillard
In which book does a child play with a Lightning McQueen toy?,64,J.D. and the Great Barber Battle,J. Dillard
"In which book does the family eat steak, rice, collard greens and cornbread for dinner?",72,J.D. and the Great Barber Battle,J. Dillard
In which book does someone consider putting superglue on another character’s scissors?,76,J.D. and the Great Barber Battle,J. Dillard
In which book does a character consider a tent in the backyard the best place for thinking?,77,J.D. and the Great Barber Battle,J. Dillard
In which book does someone get a note to another character by slipping it under a door?,80,J.D. and the Great Barber Battle,J. Dillard
In which book does someone play Joseph in a school Christmas play and drop a fake baby Jesus?,97,J.D. and the Great Barber Battle,J. Dillard
In which book does someone have bright blue nails?,99,J.D. and the Great Barber Battle,J. Dillard
In which book did someone have their picture taken for the Meredian City Times newspaper?,99,J.D. and the Great Barber Battle,J. Dillard
In which book did hair blow into a characters backyard and attract birds?,109,J.D. and the Great Barber Battle,J. Dillard
