In Which Book Questions,Page #,Title,Author
,,,
In which book does the main character live on East Earlham Street?,4,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone get struck across the palm of their hand by their arithmetic teacher?,6,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone pretend to be lassoed and fall?,8,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone draw a picture of their sister sleeping on the couch?,12,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is someone teased for having no middle name?,13,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone's grandfather work at a pencil factory?,16,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book is someone's dad ""fussy"" about his tools?",20,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone imagine tools as circus performers?,25,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do people come in and out of a house all day because they don't lock the doors?,29,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does the MC's older brother dream of becoming a pilot?,32,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book are Life magazines hidden with bed linens inside a wardrobe?,34,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does the MC worry that his room was painted because his dad is angry?,39,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone's pencil feel like a sword in their hand?,40,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a family have one bathroom with a tub but no sink?,44,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book does a mom hum a spiritual called ""Blessed Assurance?""",44,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a neighborhood block feel like a beehive?,46,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book does reading, writing, and spelling make the MC tired?",50-51,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone learn about Henry O. Tanner from a teacher?,55,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is there a curfew for kids under 18 due to gang activity?,59-60,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do kids buy sodas in their neighborhood because they don't know which stores they're allowed into in other neighborhoods?,62,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone quickly sketch a tugboat as it passes under a bridge?,70,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book does someone shout ""red car!"" as a warning?",72,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book does someone eat ham, string beans, mashed potatoes, and corn bread?",74,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a pier separate a beach for white people from a beach for black people? ,81,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does New Jersey seem like another country to the MC?,90,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do kids swim in a quarry?,94,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does the MC's mother wear a yellow sunbonnet?,98,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does the electricity go out on Labor Day?,101,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone attend Theodore Roosevelt Junior High?,104,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a newspaper cost a nickel?,109,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do kids in a family give half of what they earn at their jobs to their parents?,114,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book are mannequins perfect models?,117,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does someone help paint hex signs?,125,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book do some students get a grade of an ""A with wings?""",132,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does an artist take his first trip to an art museum as a freshman in college?,140,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a group of kids dream of being cowboys?,4,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do kids jump double-dutch in the street?,4,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do horses pull wagons loaded with fruits and vegetables?,6,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a teacher strike his ruler across the palm of a childs hand?,7,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is a character's oldest sister named Joan?,12,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a mmother always insist her four youngest children eat together?,12,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is a character teased for having no middle name?,13,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a character have older brothers named Eddy and Billy?,14,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a character's grandfaher work at a pencil factory?,16,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do children shine shoes to earn pocket money?,19,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is a character's living room painted pink?,31,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a character take Tums before school?,46,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is a character asked to draw a firetruck for extra credit?,53,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book do elementary school students learn about how to protect themselves in the case of an atomic bomb?,55,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is there a curfew for kids under eighteen to be indoors before dark?,61,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book dis a character own a Ford Woodie station wagon?,73,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is a family the first on their street to own a car?,76,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book does someone almost bump into ""The Brown Bomber""- he boxer Joe Lewis?",79,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book is there a world famous diving horse?,81,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
"In which book does a character love dodgeball because they are ""fast, small, and hard to hit""?",82,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
In which book does a character take boxing lessons at a police athletic league?,93,Just Jerry: How Drawing Shaped My Life,Jerry Pinkney
