In Which Book Questions,Page #,Title,Author
,,,
In which book does an island city suffer from water shortages?,1,Thirst,Varsha Bajaj
In which book can characters sit on their rooftop and observe the Arabian Sea?,1,Thirst,Varsha Bajaj
"In which book does the main character live in ""slums""",2,Thirst,Varsha Bajaj
"In which book does the main character's street look like a rainbow, because all the hoses are painted different colors?",3,Thirst,Varsha Bajaj
"In which book does a father say ""if you invite trouble, it will come. It will stay for chai and dinner""?",5,Thirst,Varsha Bajaj
In which book does Ma make the best daal in the world?,6,Thirst,Varsha Bajaj
"In which book is it said ""Money rules everything""?",8,Thirst,Varsha Bajaj
In which book does the main character's father own a tea shop?,6,Thirst,Varsha Bajaj
In which book does the main character's mother have lots of stomach aches? ,8,Thirst,Varsha Bajaj
In which book is someone given a mango for combing a child's hair?,10,Thirst,Varsha Bajaj
In which book is someone hurt when a stone hit's them above their eye?,13,Thirst,Varsha Bajaj
In which book does the main character like to write poems?,14,Thirst,Varsha Bajaj
In which book is the main character's best friend a dancer?,19,Thirst,Varsha Bajaj
In which book do four kids get to ride in a brand new Mercedes?,21,Thirst,Varsha Bajaj
In which book  do two characters outrun a train to prevent being caught?,25,Thirst,Varsha Bajaj
In which book is the main character's brother sent away for protection from the mafia?,32,Thirst,Varsha Bajaj
In which book does the main character mother have to go live in a village for awhile for health reasons?,54,Thirst,Varsha Bajaj
In which book is the main character required to work as a servant?,56,Thirst,Varsha Bajaj
In which book is the main charcter afraid to climb a rust ladder?,58,Thirst,Varsha Bajaj
In which book is the family laundry done by beating wet clothing against a washing rock?,62,Thirst,Varsha Bajaj
In which book does a character find out a non family member pays their school fees?,10,Thirst,Varsha Bajaj
In which book does the school have a guard on duty?,76,Thirst,Varsha Bajaj
"In which book do two characters play the card game, Uno?",80,Thirst,Varsha Bajaj
In which book does a character win a scholarship in a raffle?,85,Thirst,Varsha Bajaj
In which book does a computer teacher share chocolates with her class?,92,Thirst,Varsha Bajaj
In which book do character stay up until after midnight studying for a test?,103,Thirst,Varsha Bajaj
"In which book does a teacher give their own sandwhich to a student, because the student's stomach was rumbling?",105,Thirst,Varsha Bajaj
"In which book does the principal tell a student, ""you will be here on time or not at all""?",113,Thirst,Varsha Bajaj
In which book does a character sell magazines at the side of the road?,117,Thirst,Varsha Bajaj
does a teacher offer to help a student study afterschool because of the student's job?,131,Thirst,Varsha Bajaj
In which book does a servant drop and break an expensive bowl?,136,Thirst,Varsha Bajaj
In which book does a character realize a friend's father is a criminal?,136,Thirst,Varsha Bajaj
In which book are some characters told a story about a foolish lion?,140,Thirst,Varsha Bajaj
In which book are students asked to think up computer apps to make life easier?,143,Thirst,Varsha Bajaj
In which book is a character warned one more mistake and they will be fired?,148,Thirst,Varsha Bajaj
"In which book does a character tell to report a crime to the police, but is hung up on by the police?",151,Thirst,Varsha Bajaj
In which book does a character steal from their employer?,153,Thirst,Varsha Bajaj
In which book does a dog provide a distraction to the police?,157,Thirst,Varsha Bajaj
In which book is a character diagnosis with Hepatitis A,160,Thirst,Varsha Bajaj
In which book do characters see a man handcuffed and arrested?,165,Thirst,Varsha Bajaj
In which book does a character lose their job because the family they work for is moving away?,168,Thirst,Varsha Bajaj
In which book does a character get their dream of becoming a chef?,169,Thirst,Varsha Bajaj
