Content Questions,Page #,Answer
"In Candidly Cline, which building is reported to be the tallest 3-story structure on Earth?",1,The Shinner Building
"In Candidly Cline, what city does does Cline live in?",1,"Paris, Kentucky"
"In Candidly Cline, where is the farthest from home that Cline has traveled?",1,The Cincinnati Zoo (in Ohio)
"In Candidly Cline, who is the owner of the Goldenrod Diner?",2,Luann
"In Candidly Cline, what main dish does Gram always get at the Goldenrod Diner?",2,The biscuits and gravy plate
"In Candidly Cline, what is the name of the restaurant that Cline’s mother works at?",2,The Goldenrod Diner
"In Candidly Cline, what does Gram always order from the Goldenrod Diner?",2,"The biscuits and gravy plate, (with one side of sweet baby carrots and another or turnip greens)"
"In Candidly Cline, what is Cline's mother's full name?",2,Judy Alden
"Two part question: In Candidly Cline, what two sides does Gram order to go with her biscuits and gravy?",2,(Sweet baby) carrots AND turnip greens (accept turnips or greens)
"In Candidly Cline, what does the term, ""stack of Vermont"" refer to?",3,Pancakes with syrup
"In Candidly Cline, what is Cline's favorite drink at the Goldenrod Diner?",3,An Arnold Palmer
"Two part question: In Candidly Cline, what two ingredients are in an Arnold Palmer drink?",3,Iced tea and lemonade
"In Candidly Cline, what color paper is the flyer for the singer/songwriter workshop printed on?",5,Orange
"In Candidly Cline, who gives Cline the flyer for the Young Singer-Songwriter Workshop?",5,Delia
"In Candidly Cline, what color is Delia's hair? Be specific.",5,Cotton candy pink
"In Candidly Cline, who is the instructor for the singer-songwriter course?",6,Mireille Johnson
"In Candidly Cline, in what city is the Young Singer Songwriter Workshop?",6,"Lexington, Kentucky"
"In Candidly Cline, what is the price of the Young Singer Songwriter Workshop? Be specific.",6,$300 plus a $15 application fee 
"In Candidly Cline, what is the postmark deadline for the workshop applications?",6,(On or before) September 16th
"In Candidly Cline, what color is the flyer for the Young Singer Songwriter Worskshop?",7,(Neon) orange
"In Candidly Cline, in what room does Cline always find Gram on Monday nights?",8,The den
"In Candidly Cline, what is the name of the doctor who first diagnoses Gram with Alzheimers?",9,Dr. Windisch
"In Candidly Cline, how long did 'The Porter Wagoner Show' run for?",10,21 years
"Two part question: In Candidly Cline, what city and state did Gram move to after her daughter graduated high school?",10,"Asheville, North Carolina"
"In Candidly Cline, how many years was The Porter Wagoner Show on the air?",10,21 years
"In Candidly Cline, what song did Mama sing as a lullaby when Cline was born?",11,Blue Moon of Kentucky
"In Candidly Cline, what famous musician is the main character named after?",11,Patsy Cline
"In Candidly Cline, what was the first song Cline's parents danced to at their wedding?",13,Angel from Montgomery
"In Candidly Cline, how did Cline's dad die?",13,In a car accident (before she was born)
"In Candidly Cline, how long is the drive from Paris, Kentucky to the Cleveland Clinic?",15,5 hours
"Two part question: In Candidly Cline, what is the name and age of Hollie's brother?",16,"Noah, age 9"
"In Candidly Cline, how old is Noah Kendall?",16,9
"In Candidly Cline, what is the name of the church that Hollie attends?",19,New Hope Church
"In Candidly Cline, what is the full name of Cline's school?",19,Dunbar Middle School
"In Candidly Cline, what does Edith Yune’s perfume smell like?",22,Honeysuckle
"In Candidly Cline, how much does Edith Yune offer to pay Cline to work in the church nursery on Wednesday nights?",22,$15 for two hours
"In Candidly Cline, which night of the week does the New Hope Church need help in the nursery?",22,Wednesday
"In Candidly Cline, what time does the Church nursery open on Wednesday nights?",24,6:30 p.m
"In Candidly Cline, which city ""has the special chili""?",27,Cinncinati
"In Candidly Cline, what is the name of the playlist Cline listens to when she's in a funk?",29,Cline Kicks the World's Butt
"In Candidly Cline, what singer did Cline have a crush on all through 7th grade?",30,Brandi Carlile
"In Candidly Cline, how much money does Cline have saved up from babysitting for Mrs. Nelson?",32,$17.26
"In Candidly Cline, what is the singer Wanda Jackson know as?",34,The Queen of Rockabilly
"In Candidly Cline, what is the name of the school that Cline attends?",34,Dunbar Middle School
"In Candidly Cline, what is the full name of the singer referred to as the Queen of Rockabilly?",34,Wanda Jackson
"In Candidly Cline, what item does Cline's friend, Kenzie Butler, collect from all over the world?",35,Watercolor sets (or watercolors)
"In Candidly Cline, what does Ava say GMO stands for?",37,Greatly Mysterious Origin
"In Candidly Cline, what character asks Cline if she's named after a movie star?",38,Trevor Larson
"In Candidly Cline, who is Cline named after?",38,"A singer, Patsy Cline."
"In Candidly Cline, what is the slow stretch between lunch and supper at the Goldenrod called?",43,Dead Hour
"In Candidly Cline, what do the Goldenrod employees call the time between lunch and dinner?",43,Dead Hour
"In Candidly Cline, why does Delia drive to Lexington on Monday nights?",44,To take classes
"In Candidly Cline, what was Cline's dad's favorite meal?",49,The Hot Brown (an open-faced sandwich smothered in cheese)
"In Candidly Cline, what words are on the blue tin box in Gram's closet?",51,Caramel Chews
"In Candidly Cline, what does the container look like that Gram keeps her “rainy day fund” in?",51,A blue tin (marked Caramel Chews)
"In Candidly Cline, what is stacked in the tin labelled Caramel Chews?",51,Photographs
