Content Questions,Page #,Answer
"In Counting by 7s, what color is the metal picnic table outside of Fosters Freeze? Be specific.",1,Sea-green
"In Counting by 7s, what ingredient is added to chocolate to make it harden into a crispy shell?",1,(Paraffin) wax
"In Counting by 7s, what is Mai's older brother's name?",2,Quang-ha
"In Counting by 7s, who drove Willow home the day of the accident?",4,Dell Duke
"In Counting by 7s, what color is the rolling luggage that carries Willow's schoolwork?",5,Red
"In Counting by 7s, what color is the female police officer's pony tail?",5,Orange
"In Counting by 7s, on adoption day, what Interstate exit do Willow's parents take on their way home?",11,17B
"In Counting by 7s, what number is Willow obsessed with?",12,Seven
"Two part question: In Counting by 7s, besides the number 7, what are Willow's two other obsessions?",12,Plants and Medical Conditions (or human disease)
"Two part question: In Counting by 7s, what are two of the three types of citrus trees that grow next to the year-round vegetable garden at Willow's house?",15,"Any two: Orange, Grapefruit, Lime"
"In Counting by 7s, what is the name of Willow's kindergarden teacher?",16,Mrs. King
"In Counting by 7s, what is Willow's favorite color?",20,Red
"In Counting by 7s, how old is Willow when a flock of wild, green-rumped parrots move into the fishtail palm tree?",21,Eight 
"In Counting by 7s, according to her own calculations, how long did Willow need to sleep every night? Be specific.",21,"Seven hours, 47 minutes"
"In Counting by 7s, what did Willow name the baby parrot that she rescued?",22,Fallen
"In Counting by 7s, what was the name of Willow's elementary school?",22,Rose (Elementary School)
"In Counting by 7s, what is the name of Willow's middle school?",23,Sequoia (Middle School)
"Two part question: In Counting by 7s, what are the two main ingredients of Willow's Healthy-Start meal?",26,(Beet) greens and flax (seeds)
"In Counting by 7s, how long did it take Dell to graduate from college?",39,Six and a half years
"Two part question: In Counting by 7s, name two of the four groups in Dell Duke's counseling system.",49,"Any two: Misfits, Oddballs, Lone Wolves, Weirdos"
"In Counting by 7s, what kind of candy does Mr. Dell Duke keep on his desk?",49,Jelly Beans
"In Counting by 7s, what is the first word Dell says when playing the Word Game with Willow?",52,Chocolate
"In Counting by 7s, what new category of strange does Dell Duke think Willow belonged to?",61,Genius
"In Counting by 7s, Willow's perfect test conditions are a room with decent ventilation and what beverage? Be specific.",65,Unsweetened green iced tea
