In Which Book Questions,Page #,Title,Author
In which book do characters eat soft serve ice cream at Fosters Freeze?,1,Counting by 7's,Holly Goldberg Sloan
In which book do characters speak Vietnamese?,2,Counting by 7s,Holly Goldberg Sloan
In which book do characters visit Hagen Oaks Park?,3,Counting by 7's,Holly Goldberg Sloan
In which book does a character arrive at home to find police parked in their driveway?,4,Counting by 7's,Holly Goldberg Sloan
In which book is there a police officer with a thick ponytail of orange-colored hair?,5,Counting by 7s,Holly Goldberg Sloan
In which book is a character named after a cold-climate tree?,11,Counting by 7's,Holly Goldberg Sloan
"In which book does a character weep when they are happy but are ""just quiet"" when they are sad?",11,Counting by 7's,Holly Goldberg Sloan
"In which book does a character have a major obsession with plants, amongst other things?",12,Counting by 7s,Holly Goldberg Sloan
"In which book is a character described as ""so white, they are almost blue""?",12,Counting by 7's,Holly Goldberg Sloan
In which book does a character assume a kindergardener has restless leg syndrome?,16,Counting by 7's,Holly Goldberg Sloan
In which book does a character cry behind the Dumpster in the play yard?,18,Counting by 7s,Holly Goldberg Sloan
In which book is there a parrot named Fallen?,22,Counting by 7s,Holly Goldberg Sloan
"In which book does someone give themselves the middle initial ""Z""?",22,Counting by 7's,Holly Goldberg Sloan
In which book does a school have a tree for a mascot?,23,Counting by 7's,Holly Goldberg Sloan
In which book is the school mascot a Sequoia Giant?,23,Counting by 7s,Holly Goldberg Sloan
In which book does a character review and memorize the floor plan before the first day of school?,30,Counting by 7's,Holly Goldberg Sloan
In which book is a middle school student mistaken for a maintenance worker?,32,Counting by 7's,Holly Goldberg Sloan
"In which book does a character observe that the older you get, the more you like the word cozy?",33,Counting by 7s,Holly Goldberg Sloan
"In which book does someone move from Walla Walla, Washington to Bakersfield, California?",40,Counting by 7's,Holly Goldberg Sloan
In which book does a character have a large jar of jelly beans on their desk?,49,Counting by 7s,Holly Goldberg Sloan
In which book does a character eat artichoke souffle?,55,Counting by 7s,Holly Goldberg Sloan
In which book does a character fall asleep to a wildlife documentary on the animals of Madagascar?,59,Counting by 7s,Holly Goldberg Sloan
In which book does a character watch a wildlife documentary to help them fall asleep?,59,Counting by 7's,Holly Goldberg Sloan
In which book is a character born in the year of the dragon?,69,Counting by 7s,Holly Goldberg Sloan
In which book does a character have a cat named Cheddar?,75,Counting by 7's,Holly Goldberg Sloan
In which book does a character make their own homemade vinegar?,79,Counting by 7s,Holly Goldberg Sloan
