Content Questions,Page #,Answer
"In Daughter of the Deep, in which state is Harding-Pencroft Academy?",5,California
"In Daughter of the Deep, what name does Dev use for Ana that she hates?",6,Ana Banana
"In Daughter of the Deep, how many stories do Ana and Dev free fall when they cliff dive?",7,Ten
"In Daughter of the Deep, which house is Ana in at academy?",8,Dolphin
"In Daughter of the Deep, what do Ana and Dev feed Socrates?",8,Squid
"In Daughter of the Deep, which school is the rival high school to Harding Pencroft?",9,Land Institute
"In Daughter of the Deep, what does Dev give Ana for her 15th birthday? Be specific.",10,Black pearl necklace
"In Daughter of the Deep, which house does Dev belong to?",10,Sharks
"In Daughter of the Deep, what color is the pearl that is on the necklace Dev gives to Ana?",10,Black
"In Daughter of the Deep, what does Dev give Ana as an early birthday gift?",10,black pearl necklace (the pearl belonged to their mother?
"In Daughter of the Deep, which grades attend Harding-Pencroft?",12,8th through 12th
"In Daughter of the Deep, what do characters call the Harding-Pencroft academy for short?",12,HP  
"In Daughter of the Deep, what does Ana eat for breakfast on the morning of her freshman trials?",12,Tofu (nori) scramble
"In Daughter of the Deep, what is the name of the school Ana and Dev attend?",12,HP or Harding Pencroft Academy
"In Daughter of the Deep, what ancestry is Ana ? Be specific",13,Bundeli Indian
"In Daughter of the Deep, what is the name of Ester's emotional support dog?",14,Top
"In Daughter of the Deep, what grade are students allowed entry into the Verne Hall?",15,11th or junior year
"Two parts: In Daughter of the Deep, what is the first and last name of Dev's girlfriend?",16,Amelia Leahy
"In Daughter of the Deep, what class does Dr. Hewett teach? Be specific.",17,Theoretical Marine Science or TMS
"In Daughter of the Deep, what do most of the students call Theoretical Marine Science class?",17,"TMS or ""too much stuff"""
"In Daughter of the Deep, what is the last name of the professor who is shaped like a diving bell?",18,Hewett
"Two part question: In Daughter of the Deep, what is the first and last name of the person who is speaking when Ana sees the line of wake split into three segments?",20,Gemini Twai
"In Daughter of the Deep, what traces down Nelinah's cheeks like dirty rain, after the attack on Harding-Pencroft Academy?",22,Mascara
"In Daughter of the Deep, Ana the freshman prefect of which house?",23,Dolphin
"In Daughter of the Deep, what skill do Cephalopods have?",24,Problem-solving
"In Daughter of the Deep, how many silver drones does Dr. Hewett use to run surveillance after the attack on Harding-Pencroft Academy?",25,A dozen (or twelve)
"In Daughter of the Deep, who does Dr Hewit tell Twain he must protect with his life?",26,Ana Dakkar
"Two part question: In Daughter of the Deep, what are the first names of Ana Dakar's parents?",28,Tarun and Sita
"In Daughter of the Deep, which student can tell what animals are thinking and feeling?",30,Ester
"In Daughter of the Deep, what language do the Dolphin House students use as their internal code?",33,Irish
"In Daughter of the Deep, which HP instructor used to teach at the rival high school, Land Institute?",34,Dr. Hewett
"In Daughter of the Deep, what is the name of the HP training vessel?",36,The Varuna
"Two part question: In Daughter of the Deep, name two of the four houses at Harding-Pencroft Academy?",36,"Any two: Shark, Dolphin, Cephalopod, and Orca"
"In Daughter of the Deep, how many feet long is the school's training yacht, the Varuna?",36,120
"In Daughter of the Deep, why won't Hewitt allow the students to contact their parents to let them know they are ok?",37,It is safer if their parents to believe they are dead
"In Daughter of the Deep, what kind of boat does HP use for training?",38,Yacht
"In Daughter of the Deep, what is the name of weapon in the gold case that opens with Ana's hand on the biometric pad?",41,Leyden gun
"In Daughter of the Deep, what  is the first thing the Leydon gun reminds Ana of?",44,Tampon
"In Daughter of the Deep, which character says, ""the impossible is merely the possible for which we don't yet know the science?""",46,Hewett
"In Daughter of the Deep, how long has Harding-Pencroft been rivals with the Land Institute?",48,150 years
"In Daughter of the Deep, what does Ana get injected with when Land Institute attacks the Varuna?",54,Sea-snake venom
"Two part question: In Daughter of the Deep, what is the first and last name of Ana's captor?",57,Caleb South
"In Daughter of the Deep, what is the name of the dolphin that rescues Ana from her captor, Caleb South?",59,Socrates
"In Daughter of the Deep, who body slams Caleb in the ocean and frees Ana from Caleb's grip?",60,Socrates
"In Daughter of the Deep, which House of students provide medical care?",61,Orca
"In Daughter of the Deep, which character is autistic?",64,Ester
"In Daughter of the Deep, which house is required to be present at all important negotiations?",67,Orca
"In Daughter of the Deep, what is the name of the Land Institute submarine?",68,Aronnax
"In Daughter of the Deep, what is on the entire starboard side of the captain's cabin on the Varuna?",72,Open saltwater tank
"In Daughter of the Deep, Socrates has an open saltwater tank located on which boat?",73,Varuna
"In Daughter of the Deep, what is the name of the Canadian master harpooner in Jules Vernes' novels?",75,Ned Land
"In Daughter of the Deep, after being lost at sea for over one year, off which country's coast were Ned Land, Pierre Arronax and Consiel found?",75,Norway
"In Daughter of the Deep, which generational great grandfather does Hewett tell Ana, Prince Dakkar/Captain Nemo is to her?",78,Fourth
"Two part question: In Daughter of the Deep, what are the full names of the two people that Captain Nemo helped survive and eventually escape?",80,Cyrus Harding and Bonaventure Pencroft
"In Daughter of the Deep, what was the name of the submarine aboard which Captain Nemo died?",81,Nautilus
"In Daughter of the Deep, what did Ana's parents discover?",85,The (wreck of the) Nautilus
"In Daughter of the Deep, what does Ana's father's clove-scented aftershave remind her of?",87,Pumpkin pie
"In Daughter of the Deep, what kind of cancer do characters suspect Hewitt has?",89,Pancreatic
