In Which Book Questions,Page #,Title,Author
"In which book is the first line, "" Here's the thing about life-shattering days?""",5,Daughter of the Deep,Rick Riordan
In which book is there a dolphin named Socrates?,6,Daughter of the deep,Rick Riordan
In which book are aquarium feeding supplies provided to a dolphin named Socrates?,6,Daughter of the Deep,Rick Riordan
In which book do characters free-fall ten stories into icy water?,7,Daughter of the Deep,Rick Riordan
In which book is there an electronic underwater barrier?,9,Daughter of the deep,Rick Riordan
"In which book does a diver notice that grid lights wink out, then flicker back on?",9,Daughter of the Deep,Rick Riordan
In which book is a character preparing for freshman trials?,10,Daughter of the deep,Rick Riordan
In which book is an academy split into four houses?,12,Daughter of the deep,Rick Riordan
In which book is there a five-year high school?,12,Daughter of the Deep,Rick Riordan
"In which book does a character call everyone ""babe?""",13,Daughter of the Deep,Rick Riordan
In which book does a character always need their note cards?,13,Daughter of the deep,Rick Riordan
In which book is an emotional-support animal named Top?,14,Daughter of the Deep,Rick Riordan
"In which book is an aquarium a private research facility and a rescue and rehabilitation unit for leatherback turtles, otters and sea lions? ",15,Daughter of the deep,Rick Riordan
In which book is a campus described as a dazzling collection of sugar-cube buildings perched on the cliff top?,17,Daughter of the Deep,Rick Riordan
In which book do the characters go to school in a cellular dead zone?,19,Daughter of the Deep,Rick Riordan
In which book is the school's campus a cellular dead zone?,19,Daughter of the Deep,Rick Riordan
In which book does an earthquake occur during a bus ride?,21,Daughter of the Deep,Rick Riordan
In which book does a character believe their brother died in an earthquake?,21,Daughter of the deep,Rick Riordan
In which book is there a bus driver named Bernie?,21,Daughter of the Deep,Rick Riordan
In which book does a character have the gift of reading lips?,23,Daughter of the deep,Rick Riordan
In which book are drones used to search for survivors?,25,Daughter of the deep,Rick Riordan
In which book is a character directed to protect another character with their dying breath?,26,Daughter of the Deep,Rick Riordan
In which book is a genius empath able to tell what animals are thinking and feeling?,30,Daughter of the Deep,Rick Riordan
In which book do students speak in Irish so that others can not understand?,33,Daughter of the Deep,Rick Riordan
In which book is the language of Irish used as an internal code?,33,Daughter of the deep,Rick Riordan
In which book is the main character stunned to learn that a teacher used to teach at a rival school?,34,Daughter of the Deep,Rick Riordan
In which book does a school's curriculum consist of Naval warfare and Marine biology?,36,Daughter of the deep,Rick Riordan
"In which book are boxes with biometric fingerprint pads labeled ""GOLD-LEVEL CLEARANCE""?",38,Daughter of the Deep,Rick Riordan
In which book does a character open a gold-level case?,40,Daughter of the Deep,Rick Riordan
In which book are graduates meant to become the custodian of the school's secrets?,40,Daughter of the deep,Rick Riordan
In which book are students referred to as prefects?,40,Daughter of the deep,Rick Riordan
In which book does the main character learn that Captain Nemo's real name was Prince Dakkar?,42,Daughter of the Deep,Rick Riordan
In which book does a teacher apologize before shooting a student with a gun?,43,Daughter of the Deep,Rick Riordan
In which book is the school mission to safegaurd the legacy and techology outlined in Jules Vernes' novels?,48,Daughter of the Deep,Rick Riordan
In which book is a character put into a choke hold and injected with a sea-snake venom?,53,Daughter of the deep,Rick Riordan
In which book is the main character threatened with a sea-snake venom-filled needle pointed at their neck?,54,Daughter of the Deep,Rick Riordan
In which book did a teacher teach at two rival schools?,57,Daughter of the Deep,Rick Riordan
"In which book does a character use their head as a weapon, snapping it back to break a captor's nose?",58,Daughter of the Deep,Rick Riordan
In which book are characters wounded from miniature harpoons?,62,Daughter of the deep,Rick Riordan
In which book is a character nicknamed Miles Morales?,63,Daughter of the deep,Rick Riordan
In which book does someone microwave a frozen squid for 65 seconds?,64,Daughter of the Deep,Rick Riordan
In which book are children's inflatable bright yellow water wings with pink duckies a trademark form of humiliation?,67,Daughter of the Deep,Rick Riordan
In which book is a form of humiliation wearing children's inflatable water wings?,68,Daughter of the Deep,Rick Riordan
In which book is there a submarine called the Aronnax?,68,Daughter of the deep,Rick Riordan
In which book is a prisoner thrown overboard?,70,Daughter of the Deep,Rick Riordan
In which book does a character suspect another character has diabetes?,74,Daughter of the Deep,Rick Riordan
In which book does a thumbprint scanner unlock a secret map of an island?,74,Daughter of the deep,Rick Riordan
In which book is an object that looks like a paperweight actually a genetic reader?,74,Daughter of the Deep,Rick Riordan
In which book is someone's DNA the key to a map?,76,Daughter of the Deep,Rick Riordan
In which book are only the descendants of Captain Nemo the only ones that can operate his greatest inventions?,76,Daughter of the Deep,Rick Riordan
In which book does somone learn they are the only living descendent of the prince of Bundelkhand?,77,Daughter of the Deep,Rick Riordan
In which book does a brilliant scientist have personal reasons to hate imperialism?,79,Daughter of the Deep,Rick Riordan
In which book is a character a descendant of Captain Nemo?,80,Daughter of the deep,Rick Riordan
In which book does a character use a submarine as their tomb?,81,Daughter of the deep,Rick Riordan
In which book is a treasure chest of pearls given?,81,Daughter of the deep,Rick Riordan
In which book is there a map that includes the island where Captain Nemo died?,82,Daughter of the Deep,Rick Riordan
In which book is a slumber party called for in the captain's cabin?,86,Daughter of the Deep,Rick Riordan
In which book does a map ripple when a thumb is pressed into the top of a robot-eyeball paperweight?,92,Daughter of the Deep,Rick Riordan
In which book is a character voted captain and given command?,100,Daughter of the deep,Rick Riordan
In which book is someone unanimously made acting captain of a ship with a crew of twenty freshmen?,100,Daughter of the Deep,Rick Riordan
In which book is a character's first language Portuguese?,104,Daughter of the Deep,Rick Riordan
In which book does a mother's black pearl feel like an anchor around a character's neck?,108,Daughter of the Deep,Rick Riordan
In which book is there a library with wooden crossbars on each shelf to keep the books from falling off?,112,Daughter of the Deep,Rick Riordan
In which book does someone have frizzy hair that makes them look like they recently stuck their finger in a light socket?,113,Daughter of the Deep,Rick Riordan
In which book does a character sneak an extra chocolate chip cookie after dinner?,117,Daughter of the Deep,Rick Riordan
In which book does a LOCUS allow a ship to electrolocate?,118,Daughter of the Deep,Rick Riordan
In which book does a character have lie-detector ears?,123,Daughter of the Deep,Rick Riordan
In which book do a character's ears turn red before they tell a lie?,123,Daughter of the Deep,Rick Riordan
In which book does a school use blue-whale song as a code?,131,Daughter of the Deep,Rick Riordan
In which book does a student have a simulator app on their phone that makes whale songs?,135,Daughter of the Deep,Rick Riordan
"In which book does a character say, ""Jupiter is baking lasagna.""?",141,Daughter of the Deep,Rick Riordan
In which book is a ship piloted by a dragonfly?,143,Daughter of the Deep,Rick Riordan
In which book does a character say in Italian that their next loaf of garlic bread is burning?,145,Daughter of the Deep,Rick Riordan
"In which book is a tire swing adjacent to the couch, coffee-table, and television?",147,Daughter of the Deep,Rick Riordan
"In which book does a character say, ""Theodosius, you idiot.""?",148,Daughter of the Deep,Rick Riordan
In which book does a orangutan wear an apron?,149,Daughter of the deep,Rick Riordan
In which book is the name Jupiter stitched onto a smiley-face daisy apron?,150,Daughter of the Deep,Rick Riordan
In which book is there an orange orangutan that speaks fluent American Sign Language?,152,Daughter of the Deep,Rick Riordan
In which book do mechanical dragonflies show the crew their facilities?,153,Daughter of the Deep,Rick Riordan
In which book are secrets like cold fusion held on an island in the Pacific Ocean?,159,Daughter of the Deep,Rick Riordan
In which book is the secret of cold fusion held?,160,Daughter of the deep,Rick Riordan
In which book are secrets keyed to a family's blood?,160,Daughter of the deep,Rick Riordan
"In which book is an emotional-support animal, also part con artist?",163,Daughter of the Deep,Rick Riordan
In which book does someone share a surname with a famous American author?,165,Daughter of the Deep,Rick Riordan
"In which book is a character's ancestor, Eugenio Barsanti, the creator of the first internal-combustion engine?",165,Daughter of the Deep,Rick Riordan
In which book does an orangutan bake pastries?,169,Daughter of the Deep,Rick Riordan
In which book do characters walk down a corridor that is perfectly round?,171,Daughter of the Deep,Rick Riordan
In which book does a charcter open a hatch made of nemonium?,172,Daughter of the Deep,Rick Riordan
