Content Questions,Page #,Answer
"In Every Falling Star, what is the name North Korea's capitol city?",1,Pyogyang
"In Every Falling Star, what is the name of Sungjus dog?",3,Bo-Cho
"In Every Falling Star, what is Sungju's favorite cartoon?",3,Boy General
Two part question: In Every Falling Star: name the two songs Sungju's mother plays on the piano.,3,Arirang and So-nian-jang-soo
"In Every Falling Star, propaganda said that the eternal leader could turn sand into what?",6,Rice
"In Every Falling Star, propaganda said that the eternal leader could turn pinecones into what?",6,Grenades
"Two part question: In Every Falling Star, what two foods were usually prepared for a boys birthday?",8,Pork and eggs
"In Every Falling Star, what University Program is best for a future general?",11,Engineering
"In Every Falling Star, who tells the Sung Ju that Kim Il-Sung has died?",12,His mother (or eomeoni)
"In Every Falling Star, in the story of two brothers, one poor, one greedy, what type of animal did the poor brother heal and was given a seed as a thank you?",17,A swallow
In Every Falling Star: who takes Bo-Cho when Sungju's family leaves?,21,His father's colleague (or abeoji's colleague)
"In Every Falling Star, what is Sungju's mother's wedding chest made out of?",22,Oak
"In Every Falling Star: how is the ""vacation home"" in Gyeong-seong lit?",28,By kerosene lamps
In Every Falling Star: what memory does the main character think of to warm him the first morning in Gyeong-seong?,32,Aunt Nampo's wedding or his aunt's wedding
"In Every Falling Star, what position was Sungju given at the school in Gyeong-seong?",34,Student Council President
"In Every Falling Star, who passes Sungju a note on his first day of school in Gyeong-seong?",40,Chulho
"In Every Falling Star, which Gyeong-san classmate loses a tooth in a fight?",43,Young-bum
"Two part question: In Every Falling Star, name the two decorations that were on Sungju's school armband.",44,Three (red) lines and three stars
"In Every Falling Star, at the first execution Sungju sees, what color skin did the first ""criminal"" have? Be specific.",47,Skin the color of rock
"Two part question: In Every Falling Star, name the two crimes of the first man that Sungju saw executed.",48,"Stealing copper and electrical wire, trying to cross into China with the goods"
"In Every Falling Star, when Sungju's family runs out of food, what cheap food do they first eat?",58,Corn rice
"In Every Falling Star, what do Young-bum and Sungju lift as weights?",59,Rocks
"In Every Falling Star, from what do Sungju and abeoji sew backpacks?",65,Old pairs of pants
"Two part question: In Every Falling Star, what are the two symptoms of malnutrition that Sungju experiences?",70,light headed and pins and needles in his hands and feet
"In Every Falling Star, what is in the potato helps Sungju recover from eating too much salt?",89,Potassium
"In Every Falling Star, what is the Korean word for jail?",94,Guhoso
"In Every Falling Star, what does Sungju realize is the only thing Young-bum believes in?",113,Survival
"In Every Falling Star, what animal guarded the realm of the spirits of ancestors, according to Sungju's father?",124,Owls
"In Every Falling Star, what did Young-bum's grandmother give to him before she left?",128,An envelope with photographs of his family
"In Every Falling Star, what is the Korean word for the person who steals by cutting open someone else's bag?",129,Srikoon
"In Every Falling Star, to which town does Young-bum and his grandmother?",134,Shang-gi-ryeong
"In Every Falling Star, what was in the small white envelope on the funeral table at Young-bum's grandmother's funeral?",137,Won (money)
"In Every Falling Star, what do Sungju and his friends drink after Young-bum's grandmother's funeral?",139,Sool
"Two part question: In Every Falling Star, what are the 2 rules about stealing in Sungju's gang?",142,Don't steal from children; don't steal from old people.
"In Every Falling Star, how does Sungju's gang leave Gyeong-seong?",159,They stow away on a coal train.
