In Which Book Questions,Page #,Title,Author
In which book is there a parade with people waving white magnolias and long cherry blossom stems?,1,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character live in an apartment with a baby grand piano?,3,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is the main character's dog a Pungsan?,3,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character learn taekwondo?,7,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character's mother dance a traditional fan dance?,8,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is April 15th an important date?,8,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
"In which book does the main character eat eggs and pork on birthdays for ""prosperity and good fortune?""",8,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character's mother pinch them hard to make them cry?,13,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character like to go in their dog's house when they are lonely?,16,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character like to catch snowflakes on their tongue?,19,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is a dead bird of prey on the sidewalk an omen for the main character?,19,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does the main character stand out in a crowd because he's clean and everyone else is dirty?,25,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
"In which book is a boy taught ""A good son trusts his parents""?",29,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
"In which book does the main character remind himself ""A good son trusts his parents?""",29,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is a principal's accent like a barking dog?,33,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book do characters eat squirrel meat?,38,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character eat squirrel meat as their only food for the day?,38,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character lose their tooth? ,42,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is electricity only turned on for special occasions?,42,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is there a willow tree in the school yard?,58,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does work involve self-criticism and (political) party meetings?,59,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
"In which book does a character say ""I need food, not knowledge""?",60,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book do characters catch chipmonks?,65,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character make a backpack out of old pants?,65,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book do people bury children at the foot of a mountain?,65,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character have a sheet of paper on the wall to mark off the days that have gone by?,74,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does someone pray near a bowl of fresh water?,75,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book is someone instructed to eat salt and drink water if there is no food?,81,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character's face swell up so bad they could not see and thought they were going blind?,82,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
In which book does a character's grandmother die of tuberculosis?,90,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
"In which book does a character say ""Maybe I died a long time ago, and this is just my nightmare""?",95,Every Falling Star,Sungju Lee and Susan Elizabeth McClelland
