Content Questions,Page #,Answer
"In Freewater, what is the name of Homer's younger sister?",2,Ada
"In Freewater, what is the name of the plantation that Homer's family tried to escape?",3,Southerland or Southerland Plantation
"In Freewater, what is the name of the man that Homer helps ""put into a coffin""?",5,Mingo
"In Freewater, how old is Ada when she and Homer run away from Southerland plantation?",6,seven years old
"In Freewater, how old is Ada?",6,seven years old
"In Freewater, according to Homer, what does the swamp smell like? (Be specific!)",7,old tea
"In Freewater, according to Homer, what's the most important rule at Southerland?",7,being invisible (or invisibility)
"In Freewater, who tells Ada that monsters would ""eat you alive""?",8,Mrs. Petunia
"In Freewater, what is the name of the person who told Ada stories about monsters who come out from the trees and eat people alive?",8,Mrs. Petunia
"(2-Part) In Freewater, what are the first names of Stokes' newly married brothers-in-law? ",11,Rick and Ron
"In Freewater, what is the name of the overseer of Southerland Plantation?",11,Stokes
"In Freewater, why did Stokes hire Rick and Ron as overseers in training even if he thought they were dim-witted?",11,He hired them as a favor to his two sisters.
"In Freewater, what was the name of Two-Shoes' son?",15,Desmond
"In Freewater, what is the name of Two-Shoes' wife?",15,Sally
"In Freewater,  what is the name of the ""flying man"" who rescued Homer & Ada as they ran away from Stokes and his dogs?",29,Suleman
"In Freewater, the first time Suleman answers one of Ada's questions, what is his one-word reply?",38,"""yes"""
"In Freewater, on Homer's list of the steps of his journey to Freewater, what comes right after ""green water"" and ""tree boat""?",39,lily pads
"In Freewater, who is the original owner of the shirt that Suleman is wearing when Homer and Ada meet him in the swamp?",42,Master Crumb
"In Freewater, how old is Nora?",44,eleven
"In Freewater, what kind of mark does Nora have on the left side of her face?",45,a red strawberry mark
"In Freewater, what is Homer and Ada's mother's first name?",46,Rose
"In Freewater, what does Nora wrap in socks and place in the packs of Stokes' brothers-in-law?",57,(raw) meat
"In Freewater, who tells Homer and Ada, ""Welcome to Freewater""?",75,Gus
"In Freewater, what special day is it when word spreads that ""Big Tree has blossomed""?",81,Remembering Day
"In Freewater, what is Sanzi's mother's name?",82,Mrs. Light
"In Freewater, how much older than Sanzi is Juna?",84,three years
"In Freewater, according to Sanzi, who were ""the last people"" that Billy ""wanted to see""?",87,the woodcutters
"In Freewater, what does Ferdinand possess that makes him unique?",90,a knife
"In Freewater, who has a laugh that Sanzi knows ""all too well""? ",90,Ferdinand
"In Freewater, when Sanzi practices her sling in the swamp with Billy, she points to and then hits a tree. What kind of tree is it?",97,a juniper
"In Freewater, what sound does Sanzi's mother make to call her, especially when they were chasing pigs?",103,"Swoooot, click, click, swoot."
"In Freewater, what vision does Anna see when she met Homer?",111,large black angel wings on his back
"In Freewater, who takes care of Rose when she fell sick after being beaten up?",113,Mrs. Petunia
"(2-Part) In Freewater, what are the names of the four-year-old twins in Freewater? ",119,Free and Hope
"In Freewater, what instrument does Billy play at the Remembering Day ceremonies?",119,drum
"In Freewater, what color are the berries on Big Tree?",121,blue
"(2-Part) In Freewater, what two items, left by Indians, do the founders of Freewater find under the big tree?",123,(small) stone knife and bowl
"In Freewater, how many children have been born in Freewater?",125,twenty one (21)
"In Freewater, from what animal does Sanzi choose her swamp sound?",131,osprey
"In Freewater, how do the people mark the number of days they've been in Freewater?",137,by making a notch or etch on the Big Tree
"In Freewater, who does Ada recognize on the day she and Homer arrive in Freewater?",138,Two-Shoes
"In Freewater, what do the initials for Crumb and his partners' business, DSSL, stand for?",142,Dismal Swamp Shingle and Lumber
"In Freewater, what does DSSL stand for?",142,Dismal Swamp Shingle and Lumber
"In Freewater, which character is described as an angel cut from dark polished mahogany with braids atop her head and small flowers strung through her hair?",149,Juna
"In Freewater, what name does Two-Shoes choose as his Freewater name?",150,Turner
"In Freewater, how old was Billy was he first met Juna?",159,seven years old
