Content Questions,Page #,Answer
In Lo & Behold When is the best time to plant a tree ,0,20 years ago
In Lo & Behold How did the protagonist win a tree,1,by identifying 5 skittle flavors while blindfolded
"In Lo & Behold how does Addie win a sapling?",1,She identifies five Skittles flavors while blinfolded
In Lo & Behold What animal enclosure at the  Zoo did the protaganists parents meet in front of,4,giant tortoise
In Lo & Behold At which age does the protagonists family take their last family picture ,5,11 3/4 (also acceptable 11)
"In the book Lo & Behold how old is Addie when her family takes their last family picture? ",5,11 3/4 (eleven and three-fourths)
"In the book Lo & Behold what kind of accident does Addie's mom have? ",5,bike (bicycle) accident; fell off a bike
"In Lo & Behold how old was Addie when she last took a family picture?",5,11 3/4
In Lo & Behold Why didn’t the protaganist want to visits puppies at the animal rescue center,9,didn't want to see anything trapped
In Lo & Behold What time did Dad and Addies Road Trip of Fun commence ,12,6:00 AM
"In Lo & Behold what is Addie's father's job?",12,A futurist
In Lo & Behold How many days was Addies mom nauseous after riding in a self driving car ,13,two days
In Lo & Behold What is Addie told not to fill her suitcase with ,13,Turtles
"In the book Lo & Behold Addie's dad tries to excite her about the summer gig by telling her that the college might have what two things? ",13,"ivy-covered buildings, a moat "
In Lo & Behold What was Addies tenth birthday present from their mom ,14,Charm Necklace
In Lo & Behold What is Shelly the Tortoises full name ,14,Shellyface Tortybutt
"In the book Lo & Behold what is the shape of the stapler Addie has on the shelf in her room? ",14,tortoise-shaped
"In the book Lo & Behold what is the full name of Addie's stuffed tortoise? ",14,Shellyface Tortybutt
"In the book Lo & Behold what is the name of the stuffed tortoise Shelly's ""twin""? ",14,Lightning 
"In Lo & Behold what are the names of Addie's twin stuffed tortoises?",14,Lightning and Shelly (full name Shellyface Tortybutt)
"In Lo & Behold which Teenage Mutant Ninja Turtle does Addie have a stuffy of?",14,Jennika (the first girl to join)
In Lo & Behold Who is Addie named after,15,Worlds longest living tortoise or (page 15)Adwaitya(name of the tortoise) *both answer acceptable)
In Lo & Behold The first astronauts to circle the moon were actually what?,15,Tortoises
In Lo & Behold How long did the worlds longest living tortoise live,15,250 years
In Lo & Behold What was Addie and her moms first love,15,Outerspace
In Lo & Behold Why couldn’t Addies mom be an astronaut,15,motion sickness
"In the book Lo & Behold what is Addie's mom's ""first love""? ",15,outer space
"In Lo & Behold what is Addie named after?",15,"Adwaiyita, the worlds longest living tortoise"
In Lo & Behold Which University was chosen to plant a moon tree,17,Spring Haven
 In Lo & Behold  In which grade did Addie get a A+ on a project about moon seeds,17,fifth grade
"In the book Lo & Behold what is the name of the university where Addie's dad is working for the summer? ",17,Spring Haven University
"In Lo & Behold what seeds are Addie obsessed with?",17,Moon seeds
In Lo & Behold Name two of the 3 types of tree seeds from Addies moon seed project ,18," Redwood, Loblolly, Sycamore"
In Lo & Behold What was Stuart Roosas job before he became an astronaut,18,Smoke jumper
"In Lo & Behold what is the name of the smoke jumper who is in Addie's school project?",18,Stuart Roosa
"In the book Lo & Behold what 7-word phrase did Addie's mom put on the very first pillow she made after her accident? ",21,love you to the moon and back
"In Lo & Behold what radio station do Addie and her dad listen to while driving to the college?",22,Stuck in the '80s (warning extremely hard)
"In the book Lo & Behold what motel do Addie and her dad stay at when they're traveling to the university? ",24,Quality Motel 
"In Lo & Behold what site does Addie visit while on the trip to Springhaven?",28,An impact crater (the nation's third largest)
"In the book Lo & Behold what is the name of the first person Addie and her dad meet when they arrive at the university? ",30,Shay
"In Lo & Behold When Addie and her dad are getting settled into their room at the university, what is drawn on the wall",32,Cat
In Lo & Behold What is the name of the grocery store they visit to get groceries,35,Spring Haven Super
In Lo & Behold What is the neighbors name who they run into at the grocery store ,38,Paula Vargas 
