In Which Book Questions,Page #,Title,Author
In Which Book Is the protagonist first allowed to dress themselves in Kindergarten,1,Lo and Behold,Wendy Mass and Gabi Mendez
"In which book ... is a character ""the only kindergartner able to identify five Skittles flavors while blindfolded""? ",1,Lo & Behold,Wendy Mass & Gabi Mendez
In which book does a character earn a sapling as a prize from school?,1,Lo & Behold,Wendy Mass and Gabi Mendez
"In which book ... does a character's mother say that her child ""inherited"" her sweet tooth?",2,Lo & Behold,Wendy Mass & Gabi Mendez
In Which Book does the protagonists family secretly plant a tree behind their apartment,3,Lo and Behold,Wendy Mass and Gabi Mendez
In which book does a family secretly plant a tree behind their apartment?,3,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Is the protagonist's father a futurist - one who helps businesses prepare for the future by predicting trends. ,4,Lo and Behold,Wendy Mass and Gabi Mendez
In which book does a character have a job as a futurist?,4,Lo & Behold,Wendy Mass & Gabi Mendez
In which book ... does a character's parents first meet at a zoo? ,4,Lo & Behold,Wendy Mass & Gabi Mendez
In which book do characters take yearly family photos next to their tree?,4,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Does the mother fall off a bike avoiding a bunny and has to have major surgery,5,Lo and Behold,Wendy Mass and Gabi Mendez
"In which book does a character's shirt read ""I need space""?",11,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Does the protagonist's father drag them a thousand miles away for his summer job,12,Lo and Behold,Wendy Mass and Gabi Mendez
In Which Book Has the protagonist gotten to  escort a robot-student to school,12,Lo and Behold,Wendy Mass and Gabi Mendez
In which book does a character have to drive to their dad's summer job?,12,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Has the protagonist ridden in the back of a self-driving car,13,Lo and Behold,Wendy Mass and Gabi Mendez
In which book is a character obsessed with tortoises?,13,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Has the protagonist got a staple in their finger and had to get a tetanus shot,14,Lo and Behold,Wendy Mass and Gabi Mendez
"In which book ... does a character win an award for the ""First Pee-Wee Soccer Hat Trick""? ",20,Lo & Behold,Wendy Mass & Gabi Mendez
"In which book does a character have a framed paper reading: "" Addie Brecker, first pee-wee soccer hat trick""?",20,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Are they unable to see stars to wish on because of the city lights,21,Lo and Behold,Wendy Mass and Gabi Mendez
In Which Book Does the protagonists mom make pillows to distract herself from pain,21,Lo and Behold,Wendy Mass and Gabi Mendez
In Which Book Is there a dog in the lobby of the Quality motel,24,Lo and Behold,Wendy Mass and Gabi Mendez
In Which Book Do the characters get pancakes for breakfast that have faces that look like them,26,Lo and Behold,Wendy Mass and Gabi Mendez
In which book ... do characters eat pancakes that are decorated to look like their faces? ,26,Lo & Behold,Wendy Mass & Gabi Mendez
In which book does a character eat pancake faces?,26,Lo & Behold,Wendy Mass and Gabi Mendez
In Which Book Do they visit the nations third largest impact crater ,28,Lo and Behold,Wendy Mass and Gabi Mendez
In which book ... does a character discover a stick-figure animal drawn on a bedroom wall? ,32,Lo & Behold,Wendy Mass & Gabi Mendez
In Which Book Do the characters find a fridge with rotten food in it,33,Lo and Behold,Wendy Mass and Gabi Mendez
In which book does a character play hackey sack?,34,Lo & Behold,Wendy Mass and Gabi Mendez
In which book ... does a character shop for groceries at a store called Spring Haven Super? ,35,Lo & Behold,Wendy Mass & Gabi Mendez
