Content Questions,Page #,Answer
"In The Mighty Heart of Sunny St. James, why does Sunny say she is going to die in opening pages of the story?",1,She is getting a heart transplant so technically she argues she'll be dead at least for a few minutes.
"In The Mighty Heart of Sunny St. James, what do the letters FBF stand for?",3,"FBF stands for ""former best friend."""
"In The Mighty Heart of Sunny St. James, who does Kate tell about Sunny's heart transplant, and what is their connection to Sunny?",3,"Kate called Suzette, who is the mother of Margot Banks, Sunny's former best friend."
"In The Mighty Heart of Sunny St. James, what game do Sunny and Margot play to test Kate's neat freak tendencies?",4,They move an object in the house to see how long it would take Kate to notice.
"In The Mighty Heart of Sunny St. James, what is the longest Kate ever went to notice an object that Sunny and Margot had moved in the house?",4,47 minutes
"In The Mighty Heart of Sunny St. James, what is Sunny St. James' heart condition called?",5,Cardiomyopathy
"In The Mighty Heart of Sunny St. James, how old is Sunny when she learns about her heart condtion, and how long has she been sick?",5,She was 10 when she got sick and she has been sick for two years.
"In The Mighty Heart of Sunny St. James, what two emotions is Sunny feeling right before she has her surgery?",6,She is scared and excited.
"In The Mighty Heart of Sunny St. James, name at least two reasons Sunny says she doesn't want to die?",6,"Possible answers include she wants to turn 13, or she wants to step inside Juniper Island Middle School, she wants to do amazing things such as bungee jumping or sky diving or water skiing, she wants a best friend again, and she really, really wants to kiss a boy."
"In The Mighty Heart of Sunny St. James, what physical ""ailment"" does Sunny say she has because she wants to kiss a boy so badly?",6,She said her lips itch all the time.
"In The Mighty Heart of Sunny St. James, who is Dave?",8,Dave is Kate's best friend since high school and a musician.
"In The Mighty Heart of Sunny St. James, name at least two ways Sunny describes Dave.",8,"Possible answers include Kate's best friend, a musician, everyone's favorite person ever, muscular arms, curly black hair, dark brown skin, wears plaid shirts and black framed glasses 365, cute even though he's about a million years old and she thinks he loves Kate."
"In The Mighty Heart of Sunny St. James, where was Sunny born?",9,Nashville
"In The Mighty Heart of Sunny St. James, what was Sunny's dad's name and what happened to him?",9,His name was Ethan and he died in a motorcycle accident right after Sunny was born.
"In The Mighty Heart of Sunny St. James, what is Kate's bookstore on Juniper Island called?",9,Cherry Picked Books
"In The Mighty Heart of Sunny St. James, what is Kate's relationship to Sunny, and why is she taking care of her?",9,"Kate was best friends with Sunny's mom, Lena, whom couldn't take care of Sunny anymore, and gave her to Kate when Sunny was 4 years old."
"In The Mighty Heart of Sunny St. James, what is Sunny's doctor's name?",10,Dr. Ahmed
"In The Mighty Heart of Sunny St. James, what was Sunny told the only thing that would save her a year and a half earlier?",10,She was told that the only thing that would help her is a heart transplant.
"In The Mighty Heart of Sunny St. James, what was Sunny eating when she received a call that a heart was available for her transplant?",10,She was eating a grilled cheese sandwich.
"In The Mighty Heart of Sunny St. James, what gesture does Sunny make toward Kate as she is being wheeled away fro surgery?",11,She holds up her pinky.
"In The Mighty Heart of Sunny St. James, who does Sunny ""see"" while she is under anesthesia during her heart transplant?",13,She envisions her mom as a mermaid.
"In The Mighty Heart of Sunny St. James, what does Sunny have in her nightstand at home that she looks at every night?",14,She has a picture of her mom in her nightstand.
"In The Mighty Heart of Sunny St. James, why has Sunny created a story in her mind that her birth mom is a mermaid?",14,"It is her child-like way of explaining why her mom had to leave her, that she didn't know what to do with a two-legged human girl who needed air, so she left her on land with Kate, which would be a better fit."
"In The Mighty Heart of Sunny St. James, what facial feature does Sunny notice about her mom when she ""sees"" her during her surgery?",15,She notices her mom's freckles for the first time.
"In The Mighty Heart of Sunny St. James, what situation adds to Sunny's confusion as she is waking up from her surgery?",16,"She thinks her ""mermaid"" is there, which means both Kate and Lena, her birth mother, are present."
"In The Mighty Heart of Sunny St. James, what does the nurse do to help calm Sunny down as she is awaking from surgery?",18,"She jabs a needle into the tube in her arm, presumably a medication, because she said it feels as if heat spreads across her chest."
"In The Mighty Heart of Sunny St. James, who had Kate allowed to visit Sunny in the hospital for 10 minutes as she was coming out of surgery?",18,"Her mother, Lena"
"In The Mighty Heart of Sunny St. James, about a week after receiving her hew heart, what does Sunny wonder about her heart donor?",21,She wonders what their name was and if they ever got to kiss anyone (she assumes her new heart belonged to a kid since she is a kid).
"In The Mighty Heart of Sunny St. James, what is the fear following an organ transplant, and what do actions do doctors take to try to combat it?",21,"The fear is organ rejection, which can result in death, so Sunny has to take a lot of medications and stay in the hospital."
"In The Mighty Heart of Sunny St. James, what flavor of pudding does Sunny enjoy in the hospital?",22,Butterscotch
"In The Mighty Heart of Sunny St. James, since her heart transplant, how has Sunny's view of Dave's music changed?",24,"She used to hate it (even calling it ""Whiny boy music""), but now she loves it."
"In The Mighty Heart of Sunny St. James, why does Sunny want to kiss someone so bad in relation to music?",24,She believes that love and kissing inspires the greatest songs and poems and books.
"TWO PARTS: In The Mighty Heart of Sunny St. James, three weeks after her surgery, Sunny has an unexpected visitor in the hospital. Who does she think is visiting, and who is actually there to visit?",25,"She thinks her former best friend, Margot, is going to be there, but it is her mother, Lena."
"TWO PARTS: In The Mighty Heart of Sunny St. James, name two ways Sunny describes Lena when she sees her for the first time in the hospital (while she is fully conscious).",28,"Possible answers include torn jeans, black stomping boots, slouch black band shirt, black hair, purple eye makeup and lipstick, and a bunch of tattoos."
"In The Mighty Heart of Sunny St. James, when Sunny was in 1st grade, what important question did she ask Kate, and what was Kate's response?",31,"She asked Kate if she could call her ""Mom,"" and Kate told her ""no"" because she has a mom."
"In The Mighty Heart of Sunny St. James, what ""illness"" does Kate reveal to Sunny that Sunny's mom, Lena, suffers from?",33,Lena is an alcoholic.
"In The Mighty Heart of Sunny St. James, though Sunny knows why her mom left her with Kate, what does she still want to know?",34,"She wants to know why her mom didn't call, write or visit for 8 years."
"In The Mighty Heart of Sunny St. James, how does Sunny physically respond to her mother, Lena, showing up in her hospital room?",35,Sunny turns her back to her.
"In The Mighty Heart of Sunny St. James, what does Sunny do with all the feelings she has upon seeing her mom for the first time in 8 years?",35,She writes her feelings in a song.
"In The Mighty Heart of Sunny St. James, what are the three steps to Sunny's new life plan?",39,"These are her exact responses, but paraphrasing is fine. 1. Do awesome amazing things I could never do before. 2. Find a new best friend. 3. Find a boy and kiss him."
"In The Mighty Heart of Sunny St. James, what does Sunny have wrapped up in her towel and hidden from Kate that she takes down to the water the first time she goes to the beach following her transplant?",45,She has a bottle containing a song she wrote to the person whose heart she received and intends to put it in the water.
"In The Mighty Heart of Sunny St. James, what color did Margot, Sunny's former best friend, dye her hair?",50,She dyed it a (natural looking) shade of red.
"In The Mighty Heart of Sunny St. James, what color does Quinn suggest that Sunny dyes her hair?",51,"Quinn suggests she dye it blue, or more specifically, aquamarine."
"In The Mighty Heart of Sunny St. James, what is Quinn concerned about with Sunny as they start to swim toward the shore during their first meeting?",52,She is concerned about how tired Sunny is from swimming.
"In The Mighty Heart of Sunny St. James, what does Sunny claim she'll be able to do in a week in relation to Quinn?",53,Beat her in a swimming race.
"In The Mighty Heart of Sunny St. James, what does Sunny like about meeting Quinn for the first time, in comparison to people in her hometown?",54,"She likes meeting and talking to someone who doesn't already know her (in her small town, she feels like she stands out because she is a motherless 12-year-old who needs a heart transplant)."
"In The Mighty Heart of Sunny St. James, what does Quinn ask Sunny to do with her later in the evening on the day they meet?",55,She asks her to go to the beach movie.
"In The Mighty Heart of Sunny St. James, what makes Sunny's heart flutter when she is talking to Quinn?",56,"When Sunny agreed to go to movie with her, Quinn smiled so big that Sunny's heart fluttered because she couldn't believe she could make someone smile instead of frown or fake-smile."
"TWO PARTS: In The Mighty Heart of Sunny St. James, what is the name of the shell Quinn asks Sunny to help her find, and what does it look like?",57,It is an auger shell and it looks like a unicorn horn.
"In The Mighty Heart of Sunny St. James, how did Kate end up with a house that used to be real lighthouse?",63,"She inherited it from her Great Aunt, who used to be the ""for-real"" lighthouse keeper."
"In The Mighty Heart of Sunny St. James, what did Sunny take out of the cedar chest in Kate's room and stash in her own closet?",64,She took a pair of black stomping boots from Kate's college days.
"In The Mighty Heart of Sunny St. James, what happens when Sunny looks at the picture of Lena each night?",65,She always wonders what her mom is like and it makes her eyes blur (tear up) until she can't see her in the photo.
"In The Mighty Heart of Sunny St. James, what does Quinn do that makes Sunny feel better when they meet at the movie?",67,She tells her she loves her boots OR she offers to pay for their tickets OR she loops her arm with Sunny's arm.
"TWO PARTS: In The Mighty Heart of Sunny St. James, what two animals does Quinn say are the coolest animals her mom has ever photographed?",68,Octopus and immortal jellyfish
"In The Mighty Heart of Sunny St. James, where does Quinn say is the coolest place she has lived?",70,Alaska
"In The Mighty Heart of Sunny St. James, what do Sunny and Quinn have in common when it comes to friends?",70,They have both lost best friends and/or not been treated well by friends.
"In The Mighty Heart of Sunny St. James, what does Quinn suggest to Sunny regarding friendship?",71,"She says they should ""try out the whole best friends thing."""
"In The Mighty Heart of Sunny St. James, how does Margot already know Quinn when they all see eachother at the beach movie?",78,"Quinn and her mom are renting Sandy Dunes, a vacation rental, from Margot's dad (and helped her move in when they arrived)."
"In The Mighty Heart of Sunny St. James, what did Sunny nickname the oxygen tank she had to use prior to her surgery?",80,Raspy
"In The Mighty Heart of Sunny St. James, what question did Sunny ask Margot that seems to change their life-long friendship?",81,She asked Margot if she ever wondered what it was like to kiss a girl.
"In The Mighty Heart of Sunny St. James, what types of sandwiches do Sunny and Margot share every day at school lunch?",85,Sunny swaps half her peanut butter and honey for half of Margot's ham and provolone every day at lunch.
"In The Mighty Heart of Sunny St. James, what happened at Margot's 12th birthday slumber party that ended their being best friends?",88,Margot told her new swim team friends about Sunny asking her if she every wondered what it was like to kiss a girl even though she swore she would keep it a secret.
"In The Mighty Heart of Sunny St. James, what does Sunny do when Margot reveals to Quinn that she has a heart problem before Sunny has told her new BFF?",92,She leaves quickly with no explanation.
"In The Mighty Heart of Sunny St. James, what did Sunny do to deal with her feelings after she ran away from Margot and Quinn at the beach movie?",93,She wrote a song about Margot.
"In The Mighty Heart of Sunny St. James, what item of Margot's is still at Sunny's house even though they are no longer BFFs?",94,Margot's toothbrush
"In The Mighty Heart of Sunny St. James, who is waiting for Sunny when she finally arrives home from beach movie, and who is not home?",95,"Dave is waiting for Sunny, but Kate isn't home."
"In The Mighty Heart of Sunny St. James, when Sunny gets home from beach movie, where is Kate?",96,"She is with Sunny's mom, Lena."
"In The Mighty Heart of Sunny St. James, what new detail does Sunny learn about her mom Lena's past, in relation to Dave?",96,Lena (Marks) was a big-time musician Dave's band opened for in a concert.
"TWO PARTS: In The Mighty Heart of Sunny St. James, which two types of woods is Dave's guitar made from?",97,His guitar is made from spruce and Brazilian rosewood.
"In The Mighty Heart of Sunny St. James, why does Sunny now like Dave's music even though she didn't at first?",98,"Even though she used to think his songs were ""whiny,"" she now hopes she gets to experience all those feelings."
"In The Mighty Heart of Sunny St. James, what do Sunny and Dave do together for the first time on the night she goes to the beach movie?",99,They sing together (she harmonizes with him).
"In The Mighty Heart of Sunny St. James, what does Dave share with Sunny about why sharing his music with others is exhilerating, even though it is scary?",100,Knowing that his music connects with other people and/or means something to them.
"In The Mighty Heart of Sunny St. James, what does Dave reveal about Quinn to Sunny after they sing together the night of the beach movie?",101,He tells her that Quinn stopped by and left a note for her.
