In Which Book Questions,Page #,Title,Author
"Which book opens with the line, ""I'm going to die today""?",1,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does the story take place on Juniper Island, off the coast of South Carolina?",1,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does someone say, ""Maybe death is like getting a big hug from the ocean""?",5,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character learn about a life-threatening medical condition after fainting during recess?,5,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character describe wanting ""the kind of kiss that could change my whole life""?",7,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is a main character's mother named Lena?,9,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is Port Hope Children's Hospital part of the setting?,19,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is sighing what a character is described as doing best?,23,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book did a character once play guitar in a band called ""Truth Lies Low""?",23,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is a character inspired to try to write their own love songs?,24,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In Which Book do two characters grow up in Mexico Beach, Florida?",30,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does one character slather another with SPF 70 sunscreen before they are allowed to go in the water?,37,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is one character's stare mentioned several times by another character?,37,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character's ring tone play ""Yellow Submarine"" by the Beattles?",42,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character claim they could hold their breath underwater for almost three minutes?,48,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is there a character with blue hair?,49,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is a character's favorite color aquamarine?,51,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book do two characters do a series of all different handshakes, fist bumps and high fives upon meeting for the first time?",53,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is there a character whose mother is an underwater photographer for National Geographic?,54,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character reveal that they have been to every continent but Antartica?,55,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character always wear skinny rock star jeans?,58,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character know two other characters are in love, but won't admit it themselves?",61,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book do characters live in a former lighthouse?,62,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character refer to their bedroom as ""the Reef""?",63,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character say, ""I appreciate a gal who eats with gusto?""",68,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book is a character referred to as ""Breaker of Smiles""?",76,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is there a yogurt shop called Sea Salts?,93,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is a character described as smelling like paper and spruce?,97,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book do characters eat eggs sunny-side-up with shredded cheese and dill on them?,107,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character sarcastically discuss using sunscreen with SPF 400,000, or even 40,000,000?",109,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is a character's favorite tea flavor orange blossom?,132,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book is there a character whose arms are covered in tattoos from their wrists to their shoulders, with many images of the sun in the designs?",133,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book do two characters discuss the sun in their first real conversation in 8 years?,135,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character advise another character to never kiss a boy who doesn't ask first?,144,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which books does a character listen to an album titled ""Shallows?""",150,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character say, ""Holy swearword?""",156,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book did two characters attend Belmont in Nashville for college?,164,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is East Beach known as the best surfing location?,168,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character refer to the ocean as their constant friend?,168,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book did a character live in Montauk, New York?",178,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does one character take another character's journal without asking?,186,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is there a newer swimming pool that has a slide and waterfalls and a lazy river and is all clear blue and natural stone?,196,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book do characters talk about free verse poetry and poets such as Emily Dickinson, Sylvia Plath and Pablo Neruda?",226,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character enjoy a ""mind blowing double chocolate cake doughnut""?",228,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book is a character's bathroom described as being destroyed following a hair dying session?,256,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book is a character surprised by a noise at their bedroom window, only to find their best friend tapping on the outside of it?",283,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character say no one has ever asked them, ""What's it like?"" in reference to all they are going through until their best friend does for the first time?",289,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does one friend say to another, ""I can be your people?""",292,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does someone have a panic attack that lands them in the hospital after learning surprising information about their family?,312,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character leave another character a note neatly folded into a square with a sun drawn on it?,331,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does one character admit to another that they stole their journal?,346,The Mighty Heart of Sunny St. James,Ashley Herring Blake
"In which book does a character experience their first kiss under a sky of fireworks, just like their parents did many years earlier?",369,The Mighty Heart of Sunny St. James,Ashley Herring Blake
In which book does a character ask permission for their first kiss?,370,The Mighty Heart of Sunny St. James,Ashley Herring Blake
