Content Questions,Page #,Answer
"In The Serpent's Secret, what costume did the parents insist on wearing everyyear ",3,Indian princess
"In The Serpent's Secret, what was the store the main characters father owned ",4,Royal farms convenience emporium
"In The Serpent's Secret, Where does Kiranmala live?",6,"Parsippany, New Jersey"
"In The Serpent's Secret, who woke up Kiran on her 12th birthday",7,ZuZu
"In The Serpent's Secret, What does the main character’s scar resemble?",8,a pair of saggy glasses
"In The Serpent's Secret, what did Kiran use to hide her scar on her birthday",8,Bandana and black hoodie
"In The Serpent's Secret, What color is Ma’s sari?",11,bright yellow and green
"In The Serpent's Secret, What color birthday card did Kiran get from her dad for her 12th birthday",15,Bright neon pink
"In The Serpent's Secret, What do Kiranmala’s parents leave for her as a clue?",16,a hastily written note
"In The Serpent's Secret, What is a rakkhosh?",23,a demon
"In The Serpent's Secret, How tall was Rakkhosh",23,More than 10 feet
"In The Serpent's Secret, What are the full names of the two princes?",27,Lalkamal AND Neelkamal
"In The Serpent's Secret, What is the name of the Kingdom where Lal and Neel are from?",27,Kingdom Beyond Seven Oceans and Thirteen Rivers
"In The Serpent's Secret, what are the names of 2 princes ",27,Lalkamal and Neelkamal
"In The Serpent's Secret, Which school did Kiran go to",35,Alexander Hamilton Middle School
"In The Serpent's Secret, What is the name of Zuzu's family dog",44,Zeus
"In The Serpent's Secret, What is the name of Zuzu's Grandma",44,Yaya
"In The Serpent's Secret, What two items belonging to her mom does Kiran take with her when leaving her house?",45,her red and gold wedding sari and her small jewelry box
"In The Serpent's Secret, what color was Kiran's Ma wedding dress",45,red and gold
"In The Serpent's Secret, What state was the transit corridor in?",53,Arizona
"In The Serpent's Secret, what is the mountain of concentration called ",59,Mandhara
"In The Serpent's Secret, how many lanes were on top on the mountain ""Mandhara""",61,2
"In The Serpent's Secret, what was the name of Kiran's school principal",66,Principal Chen
"In The Serpent's Secret, what was the name of Kiran's 5th grade teacher",69,Mrs. Ury
"In The Serpent's Secret, What colors are Lal and Neel wearing?",77,Red and blue
"In The Serpent's Secret, who accuses Kiran of stealing his mustache",84,Madan Mohan
"In The Serpent's Secret, What weapon did Kiran buy at the bazaar?",88,a bow and arrows
"In The Serpent's Secret, what does Kiran buy from the Bazaar",89,Bow and arrows
"In The Serpent's Secret, What are the names of the winged horses?",95,Snowy and Midnight
"In The Serpent's Secret, what is the name of Neel's horse?",95,Midnight
"In The Serpent's Secret, what is the name of Lal's horse?",95,Snowy
"In The Serpent's Secret, what are the the walls in palace stables made of",99,Bronze
"In The Serpent's Secret, what are the pillars in palace stables pillars made of ",99,Marble
