In Which Book Questions,Page #,Title,Author
In which book does a character give another character a silver pendant?,2,The Last Cuentista,Donna Barba Higuera
In which book does a character tell a story about a Fire Snake?,3,The Last Cuentista,Donna Barba Higuera
In which book is there story of the fire snake?,3,The Last Cuentista,Donna Barba Higuera
In which book does the Pleiades Corporation make space ships?,8,The Last Cuentista,Donna Barba Higuera
"In which book, are characters travelling to a planet named Sagan?",10,The Last Cuentista,Donna Barba Higuera
In which book does a character have a birthmark on the crook of their thumb shaped like a constellation?,16,The Last Cuentista,Donna Barba Higuera
In which book does a character have a condition callled retinitis pigmentosa?,23,The Last Cuentista,Donna Barba Higuera
In which book is there a program called 'En Cognito'?,33,The Last Cuentista,Donna Barba Higuera
In which book does a character have a book named 'Dreamers'?,53,The Last Cuentista,Donna Barba Higuera
In which book does a character say 'A world without story is lost.'?,58,The Last Cuentista,Donna Barba Higuera
In which book are characters purged?,58,The Last Cuentista,Donna Barba Higuera
In which book do characters go rock hunting?,63,The Last Cuentista,Donna Barba Higuera
In which book is there a group called the 'Collective'?,68,The Last Cuentista,Donna Barba Higuera
In which book is a character named after the Greek root of the word 'rock'?,75,The Last Cuentista,Donna Barba Higuera
"In which book does a character say 'My job is to keep you safe, so you can have the best life possible?'",76,The Last Cuentista,Donna Barba Higuera
In which book does a character have their tonsils removed?,83,The Last Cuentista,Donna Barba Higuera
In which book is a unit of time equal to seventy plus years?,83,The Last Cuentista,Donna Barba Higuera
In which book do characters eat 'bioloaf'?,97,The Last Cuentista,Donna Barba Higuera
In which book is there a story about a princess named Blancaflor?,121,The Last Cuentista,Donna Barba Higuera
In which book has a character piloted a hovercraft a thousand times?,137,The Last Cuentista,Donna Barba Higuera
In which book is a planet refered to as a 'Goldilocks planet'?,139,The Last Cuentista,Donna Barba Higuera
In which book do characters have epiderm-filters?,235,The Last Cuentista,Donna Barba Higuera
In which book does a character find their dad's rosary?,239,The Last Cuentista,Donna Barba Higuera
"In which book does a character say 'Everything we do from this moment on will bring great pride or great sadness to our ancestors.""?",255,The Last Cuentista,Donna Barba Higuera
"In which book does a character say ""Sacrifices have.....and must be made.""?",257,The Last Cuentista,Donna Barba Higuera
In which book is there a group called the 'First Arrivers'?,290,The Last Cuentista,Donna Barba Higuera
In which book are there creatures a character names water butterflies?,294,The Last Cuentista,Donna Barba Higuera
In which book do characters submerge themselves in a river to escape detection?,298,The Last Cuentista,Donna Barba Higuera
In which book does a character say that bees are life?,303,The Last Cuentista,Donna Barba Higuera
In which book does the smell of smoke remind a character of burnt marshmallows?,313,The Last Cuentista,Donna Barba Higuera
