In Which Book Questions,Page #,Title,Author
"In which book does a book begin ""Once upon a time, something happened""?",1,The Story That Cannot Be Told,J. Kasper Kramer
"In which book were 40,000 people forced from their homes?",2,The Story That Cannot Be Told,J. Kasper Kramer
In which book did a network of everyday people spy on their neighbors and friends for the government?,2,The Story That Cannot Be Told,J. Kasper Kramer
"In which book do the citizens live in fear of ""listening to the wrong kind of music""?",3,The Story That Cannot Be Told,J. Kasper Kramer
In which book did characters live in a tower-block concrete apartment building that baked them like cabbage rolls in a clay pot?,4,The Story That Cannot Be Told,J. Kasper Kramer
In which book does the story take place in July 1989?,4,The Story That Cannot Be Told,J. Kasper Kramer
"In which book does a character have a collection of stories they call the ""Great Tome""?",5,The Story That Cannot Be Told,J. Kasper Kramer
In which book does a girl distract herself by drawing loaves of tan-colored bread?,7,The Story That Cannot Be Told,J. Kasper Kramer
In which book does a leader speak to a cheering crowd about loyalty to the country and the importance of poetry?,13,The Story That Cannot Be Told,J. Kasper Kramer
"In which book is there a story about a clever princess who must defeat three princes, each more terrible than the last?",16,The Story That Cannot Be Told,J. Kasper Kramer
In which book does a so-called electrican bug an apartment?,22,The Story That Cannot be Told,J. Kasper Kramer
"In which book are books constantly being thrown away, sometimes for the strangest reasons?",23,The Story That Cannot Be Told,J. Kasper Kramer
In which book is an essay written about a leader's fantastic teeth?,31,The Story That Cannot Be Told,J. Kasper Kramer
In which book is a character's mother named Liza?,32,The Story That Cannot Be Told,J. Kasper Kramer
In which book are students arrested for a protest they didn't even have a chance to perform?,33,The Story That Cannot Be Told,J. Kasper Kramer
"In which book does a character tell a story about ""The Baker's Boy""?",37,The Story That Cannot Be Told,J. Kasper Kramer
In which book does a family find their apartment infested with bugs?,43,The Story That Cannot Be Told,J. Kasper Kramer
"In which book is there a story about ""Cunning Ileana and the Three Princes""?",52,The Story That Cannot Be Told,J. Kasper Kramer
In which book does a character receive a chunk of dark chocolate in their travel rations?,65,The Story That Cannot Be Told,J. Kasper Kramer
