Content Questions,Page #,Answer
,,
"In Circus Mirandus, What is the name of the old lady from the post office?",3,Mrs. Yolane
"In Circus Mirandus, What is the name of the old lady who lives across the street from Micah?",3,Mrs Rochester
"In Circus Mirandus, What is Micah's great-aunt's name?",3,Gertrudis
"In Circus Mirandus, What is the color of the china teacup Micah washed for the third time one sunday afternoon?",3,Pink
"In Circus Mirandus, What is painted on the china teacup that Micah was washing?",3,Roses
"In Circus Mirandus, According to Micah, what is Aunt Gertrudis on the inside?",4,Cough syrup
"In Circus Mirandus, What is Aunt Gertrudis's hair color?",4,Dust colored
"In Circus Mirandus, Where did Aunt Gertrudis come from, to take care of Grandpa Ephraim?",4,Arizona
"In Circus Mirandus, What was Micah building with Grandpa Ephraim before Aunt Gertrudis came?",5,A tree house
"In Circus Mirandus, What did Grandpa call the knots for the rope ladder ?",5,Tuttle knots
"In Circus Mirandus, How old was Micah when he drew a picture of an elephant?",6,Seven
"In Circus Mirandus, How old is Micah? What grade is he in?","6, 11","Ten, fifth grade"
"In Circus Mirandus, What is Grandpa Ephraim's doctor's name?",6,Dr Simon
"In Circus Mirandus, Who is the smartest girl in the whole of fifth grade?",11,Jenny Mendoza
"In Circus Mirandus, What is the name of the thing that looked like a bunch of strings tied into fancy knots?",11,Quipu
"In Circus Mirandus, How did Micah's parents die?",13,Died in a boating accident
"In Circus Mirandus, How old was Micah when his parents died?",13,Four
"In Circus Mirandus, What is the color of Micah's hair?",13,Brown
"In Circus Mirandus, What is the messenger's name?",23,Chintzy
"In Circus Mirandus, What does Chintzy snatch off the coffee tray?",24,Lemon cookie
"In Circus Mirandus, Who is Circus Mirandus's expert in doors that covered considerably more distance and allowed them to travel quickly when needed?",28,Porter
"In Circus Mirandus, What kind of creature is Chintzy?",28,A bird / Parrot
"In Circus Mirandus, How old was Ephraim when his father went to fight in the war overseas?",29,Ten
"In Circus Mirandus, What two things Ephraim always took to the beach with him?",30,Paper and pencils
"In Circus Mirandus, What is Grandpa Ephraim's father's name?",33,Obadiah Tuttle
"In Circus Mirandus, Where does Micah say he would go to meet and explain everything to the lightbender?",39,Bolivia
"In Circus Mirandus, What is the name of Micah's school?",40,Peal Elementary school
"In Circus Mirandus, Who is the only other fifth grader from Micah's school that rode the bus with him?",40,Florence Greeber
"In Circus Mirandus, How many knots does Micah decide to tie to make the quipu with the ball of yarn he found?",42,Twenty four knots
"In Circus Mirandus, What is the name of the newest girl in Micah's class?",43,Jenny Mendoza
"In Circus Mirandus, According to Grandpa Ephraim, Tuttles and knots went together like ________",43,Toast and cheese
"In Circus Mirandus, What is the name of the student who sat at the desk in front of Micah?",43,Nathan Borgle
"In Circus Mirandus, Where does Jenny's grandmother go when she finds out she was dying?",52,Mexico
"In Circus Mirandus, What class is Aunt Gertrudis talking about joining at her health club in 2 weeks?",55,Aquarobics
"In Circus Mirandus, What is the name of the Arizona friend Aunt Gertrudis is talking to on the phone?",55,Harriet
"In Circus Mirandus, What does the tree house smell like?",58,New wood
"In Circus Mirandus, What is the tree house missing, although it is sturdy and well built?",58,One wall and the roof
"In Circus Mirandus, What is the color of Jenny's bicycle helmet?",60,Pink
"In Circus Mirandus, What animals are tied to the stakes between the tents?",66,Horses
"In Circus Mirandus, Who is the manager of Circus Mirandus?",66,Mr M. Head
"In Circus Mirandus, What does Ephraim give as a ticket to the ticket taker?",68,A fish
"In Circus Mirandus, What does Ephraim drink that made him sing opera for half an hour?",69,Dark blue fruit juice
"In Circus Mirandus, What does Ephraim feed the elephant?",69,Hay
"In Circus Mirandus, What language does the vulture speak?",69,French
"In Circus Mirandus, What is the ticket taker's name?",70,Geoffrey
"In Circus Mirandus, What does the lightbender's bird blame for the children being selfish these days?",88,Television
"In Circus Mirandus, What part of Chintzy is stuck to the sleeping bag?",88,Feet / Claws
"In Circus Mirandus, What color feathers does Chintzy have?",87,Red
"In Circus Mirandus, What does Ephraim watch over a desert at night?",109,Meteor shower
