Content Questions,Page #,Answer
,,
"In Fifty-Four Things Wrong with Gwendolyn Rogers, (2 Part Question) What are the names of Gwendolyn's two pet fish?",2,Zombie and Marshmallow
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of Gwendolyn's pet hamster?",3,Mr. Jojo
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is number one on Gwendolyn's list of fifty-four things that is wrong with her?",4,Too demanding
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of Gwendolyn's favorite horse?",5,Dandelion
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of the after school program that Tyler and Gwendolyn attend?",5-7,Power kids
"In Fifty-Four Things Wrong with Gwendolyn Rogers, Where is the name of the place where Tyler wants to take horse camp?",6,Cruxman Farms
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of Gwendolyn's half brother?",5-6,Tyler
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is it called when you don't watch what you say?",8,No filter
"In Fifty-Four Things Wrong with Gwendolyn Rogers, (2 Part Question) What state and city does Gwendolyn live in?","9,14","Madison, Wisconsin"
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What color is Gwendolyn's backpack?",9,Blue
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What are the middle school words for recess?",11,Outdoor Break
"In Fifty-Four Things Wrong with Gwendolyn Rogers, Where do Tyler and Gwendolyn like to hang out during outdoor break?  Be Specific",12,(Big) oak tree
"In Fifty-Four Things Wrong with Gwendolyn Rogers, Who sticks their tongue out of the side of their mouth and clicks it when they are nervous?",14,Tyler
"In Fifty-Four Things Wrong with Gwendolyn Rogers, At what event did Gwendolyn find out that she had a brother?",14,Back to School night
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What grade is Gwendolyn in at school?",16,Fifth
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of the boss of PowerKids?",17,Ms. Hayley
"In Fifty-Four Things Wrong with Gwendolyn Rogers, (2 Part Question) According to food-and-kids-dot-com what two things can help kids up to 30% more with listening and behaving? ",33,Fish oil and proper nutrition
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of the stick figure that lives in the sliver between Gwendolyn's brain and her skull, right at the top of her forehead?",38,Confidence
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of Gwendolyn's moms sponsor that she Skypes with?",39-40,Marsha
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the full name of the person assigned as Gwendolyn's partner for the science fair project?",48-49,Thais Gonzalez
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What kind of animal do Thais and Gwendolyn choose for their Science fair project?",49,Dolphins
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What does IEP stand for?",60,Individualized Education Plan
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What was the name of the 3rd grade teacher that wanted Gwendolyn to get tested for an IEP?",61,Ms. North
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the full name of Gwendolyn's school?",83,Banneker Charter Middle School
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What is the name of Tyler's mom?",86,Ms. Christakos
"In Fifty-Four Things Wrong with Gwendolyn Rogers, What percent of her grade will Gwendolyn lose if she forgets her pencil in Mr. Olsen's class?",99,Five percent
