In Which Book Questions,Page #,Title,Author
,,,
In which book does a character have a quinceanera?,,Frizzy,Claribel A. Ortega
In which book does a character have a cousin named Diana?,21,Frizzy,Claribel A. Ortega
In which book is there a mean girl named Stacy?,91,Frizzy,Claribel A. Ortega
In which book is there an art teacher named Mrs Barnaby?,95,Frizzy,Claribel A. Ortega
In which book does a character tell a main character they looked like they had worms in your underwear,23,Frizzy,Claribel A. Ortega
In which book does a character say their dress is made out of cursed fabric?,22,Frizzy,Claribel A. Ortega
In which book is the name Angel the most ironic in the history of names?,47,Frizzy,Claribel A. Ortega
In which book does someone judge their mother's anger on a scale from one to Godzilla?,79,Frizzy,Claribel A. Ortega
In which book is there a boy named Angel?,47,Frizzy,Claribel A. Ortega
"In which book the main character run into a ""staff"" closet and hide?",32,Frizzy,Claribel A. Ortega
In which book does one character tell another they would look pretty cool with a shaved head?,100,Frizzy,Claribel A. Ortega
In which book does someone call working in the garden and getting fresh air manual labor?,135,Frizzy,Claribel A. Ortega
In which book does a main character watch a video by @SammieVCurls?,55,Frizzy,Claribel A. Ortega
In which book does a character put a menu over their head for a picture?,48,Frizzy,Claribel A. Ortega
In which book does a character get 3 days of detention?,99,Frizzy,Claribel A. Ortega
In which book does someone suggest tweeting about injustice?,99,Frizzy,Claribel A. Ortega
In which book is there a best friend named Cam?,,Frizzy,Claribel A. Ortega
In which book is part 4 of the book called The Plan?,,Frizzy,Claribel A. Ortega
In which bookdoes a character say someone is angry like a Baby Godzilla?,79,Frizzy,Claribel A. Ortega
"In which book does someone say growing up, memories, and saying good-bye feels like someone is squeezing your heart?",106,Frizzy,Claribel A. Ortega
In which book are there a lot of pictures of Jesus in the house?,79,Frizzy,Claribel A. Ortega
In which book does someone text one heart emoji = one prayer?,72,Frizzy,Claribel A. Ortega
In which book does the main character have avocado pajamas?,131,Frizzy,Claribel A. Ortega
In which book is there a chicken named Cantinflas?,140,Frizzy,Claribel A. Ortega
In which book does a character get shoved to the floor?,,Frizzy,Claribel A. Ortega
In which book does a character talk to their aunt about a salon?,143,Frizzy,Claribel A. Ortega
In which book do characters get detention?,99,Frizzy,Claribel A. Ortega
In which book does someone bring a cake to dinner?,109,Frizzy,Claribel A. Ortega
"In which book does a character say ""You might be really pretty on the outside, but you're ugly on the inside and I don't like you.""",115,Frizzy,Claribel A. Ortega
In which book is a character's middle name Andrea?,116,Frizzy,Claribel A. Ortega
In which book does a character call working in the garden and getting fresh air manual labor?,135,Frizzy,Claribel A. Ortega
"In which book does a character describe her sister as ""old school""?",147,Frizzy,Claribel A. Ortega
"In which book does someone's cousin have a ""quince""? ",3,Frizzy,Claribel A. Ortega
In which book is going to the salon a Sunday tradition? ,16,Frizzy,Claribel A. Ortega
in which book does someone watch a YouTube beauty influencer named @SammieVCurls?,55,Frizzy,Claribel A. Ortega
"In which book can someone not sweat, get dirty or play too rough so their hair stays nice? ",62,Frizzy,Claribel A. Ortega
In which book is someone's mom braiding their hair the answer to a hair emergency? ,73,Frizzy,Claribel A. Ortega
In which book do school bullies put tape in someone's hair? ,88,Frizzy,Claribel A. Ortega
In which book is visiting Tia Ruby someone's favorite thing to do? ,125,Frizzy,Claribel A. Ortega
"In which book does someone say that ""what's cool is how your hair matches your face now""?",85,Frizzy,Claribel A. Ortega
In which book does someone hate going to the hair salon? ,143,Frizzy,Claribel A. Ortega
