Content Questions,Page #,Answer
,,
In JD and the Great Barber Battle by J. Dillard how many people are in JD's family?,7,6
In J.D. and the Great Barber Battle by J. Dillard what type of haircut does Xavier’s dad give him?,7,hi-top fade
In J.D. and the Great Barber Battle by J. Dillard who cuts Jordan’s hair with designs like playing cards?,8,Naija
In J.D. and the Great Barber Battle by J. Dillard where does JD look at barber hashtags for ideas? ,9,Instagram
In J.D. and the Great Barber Battle by J. Dillard what did JD’s mom go to school for after she quit nursing?,12,MBA
In J.D. and the Great Barber Battle by J. Dillard what sport did JD’s mom & dad do in college?,13,track
In J.D. and the Great Barber Battle by J. Dillard what are 2 items JD’s Grandma made for breakfast?,15,"grits, eggs, bacon and buttered toaast with jelly"
In J.D. and the Great Barber Battle by J. Dillard who was the only talkative person in the family?,15,Vanessa
In J.D. and the Great Barber Battle by J. Dillard who loved church and was the reason they had to go?,19,grandma
In J.D. and the Great Barber Battle by J. Dillard who played piano at church?,19,granddad
In J.D. and the Great Barber Battle by J. Dillard where is JD’s sketch of a bass fish hanging?,21,Meridian Mall
In J.D. and the Great Barber Battle by J. Dillard who told JD his hair looked better with braids?,22,Jessyka
In J.D. and the Great Barber Battle by J. Dillard who gave JD hand-me-down clothes?,23,Aunt and Uncle
In J.D. and the Great Barber Battle by J. Dillard what did the school serve for lunch on the first day?,24,pizza and tater tots
In J.D. and the Great Barber Battle by J. Dillard who did Jessyka dress up as for Halloween the previous year?,26,Jessyka
In J.D. and the Great Barber Battle by J. Dillard Jordan got the newest version of what video game?,29,Madden NFL
In J.D. and the Great Barber Battle by J. Dillard what are the names of the 2 barbers that work at Hart and Son?,29,Henry Jr  and Henry Sr
In J.D. and the Great Barber Battle by J. Dillard what shape are Henry Sr’s glasses?,29,square
In J.D. and the Great Barber Battle by J. Dillard who won an award for cutting hair in the same spot for 58 years?,31,Henry Sr
In J.D. and the Great Barber Battle by J. Dillard who suggested J.D. use his mom’s clippers to shave his head bald?,31,Jordan
In J.D. and the Great Barber Battle by J. Dillard who does J.D.’s mom look like when she put the relaxer in her hair?,32,Halle Berry
In J.D. and the Great Barber Battle by J. Dillard how often did mom wash Vanessa’s hair?,33,every weekend
In J.D. and the Great Barber Battle by J. Dillard who is an expert bowler?,39,J.D.'s mom
