Content Questions,Page #,Answer
,,
"In Just Jerry: How Drawing Shaped My Life, how old is Jerry in 1949?",3,9
"[2 part question] In Just Jerry: How Drawing Shaped My Life, what 2 materials was  the fence outside Saint Luke's Episcopal Church Cemetery made of?",7,"stone, concrete"
"In Just Jerry: How Drawing Shaped My Life, in the drawing of Jerry on the chicken coop, how many chickens are shown?",9,3
"[2 part question] In Just Jerry: How Drawing Shaped My Life, name 2 of the things in Jerry's family's backyard.",10,"trash, Mother's plant pots, laundry, shed, icebox, washing machine, clothes wringer, laundry baskets, glass jugs of spring water"
"In Just Jerry: How Drawing Shaped My Life, what is in the wooden crates stascked high in the hallway at Jerry's house?",15,fruits and vegetables
"In Just Jerry: How Drawing Shaped My Life, where does Jerry keep his pencils?",17,empty mayonnaise jar
"In Just Jerry: How Drawing Shaped My Life, how does Jerry suggest he and his friends get the window out of the abandoned car?",20,pry it out with his dad's crowbar
"[2 part question] In Just Jerry: How Drawing Shaped My Life, what is mounted at each end of Jerry's dad's work table?",26,a wood lathe and a vise
"In Just Jerry: How Drawing Shaped My Life, where does Jerry's dad keep his saw in his workshop?",26,on a pegboard
"In Just Jerry: How Drawing Shaped My Life, what kind of pencil does Jerry's dad teach him to use?",26,a carpenter's pencil
"In Just Jerry: How Drawing Shaped My Life, what color is Jerry's family's piano?",29,pink
"In Just Jerry: How Drawing Shaped My Life, what seemed like the ""ultimate adventure"" to Jerry when he was young?",32,war
"In Just Jerry: How Drawing Shaped My Life, what does Jerry think about during air-raid drills at school?",34,the children behind wire fences he saw in Life magazine
"In Just Jerry: How Drawing Shaped My Life, what is the name of the group of black pilots that Billy's teacher told him about?",38,Tuskegee Airmen
"In Just Jerry: How Drawing Shaped My Life, what time does Jerry's dad usually arrive home?",40,6:30
"In Just Jerry: How Drawing Shaped My Life, in the illustration of Jerry drawing on his freshly painted wall, what does he draw?",41,superheroes
"In Just Jerry: How Drawing Shaped My Life, what school subject does Jerry struggle the most with?",44,writing
"In Just Jerry: How Drawing Shaped My Life, who makes Jerry feel ""valuable"" and that all things are possible?",46,his mother
"In Just Jerry: How Drawing Shaped My Life, where does Jerry take boxing lessons?",49,at the Police Athletic League
"In Just Jerry: How Drawing Shaped My Life, what street is Jerry's school on?",50,Rittenhouse Street
"In Just Jerry: How Drawing Shaped My Life, who does Mrs. Miller remind Jerry of?",53,his mother
"In Just Jerry: How Drawing Shaped My Life, what do Jerry and his friends play under the Blaisdell pencil factory fire escapes?",58,basketball
"In Just Jerry: How Drawing Shaped My Life, what does Jerry's dad always have attached to his overalls?",65,a ring of keys
"In Just Jerry: How Drawing Shaped My Life, what river do Jerry and his friends ride their bikes to?",68,the Delaware River
"[2 part question] In Just Jerry: How Drawing Shaped My Life, what does Jerry's dad tell him to do if he ever gets picked up by the police?",73,cooperate and tell the truth/don't lie
"In Just Jerry: How Drawing Shaped My Life, what color is the sand on Chicken Bone Beach in Atlantic City? Be specific",79,grayish
"In Just Jerry: How Drawing Shaped My Life, what does Jerry suggest the kids play under the boardwalk at the beach?",82,dodgeball
"In Just Jerry: How Drawing Shaped My Life, what's the hardest part for Jerry to draw of the diving horse and rider?",86,the splash
"[2 part question] In Just Jerry: How Drawing Shaped My Life, who are the parents of cousins Connie, Fannie, Herbie, and Pee Wee?",91,Aunt Jenny and Uncle Harold
