Content Questions,Page #,Answer
,,
"Two Parts: In the book Leonard (My Life as a Cat), Leonard thinks Olive smells like what two things?","2, 146",Cinnamon toast and Rasberry Shampoo
"In the book Leonard (My Life as a Cat), what flavor are Leonard's ""Crunchies""? ",3,Trout Flavored
"In the book Leonard (My Life as a Cat), what does Leonard say is the first rule of space travel?",9,Never get distracted
"In the book Leonard (My Life as a Cat), how big does Leonard say the largest flower on earth is? ",18,9 feet
"In the book Leonard (My Life as a Cat), when is the exact date that Leonard will be picked up from Earth?",23,July 21
"In the book Leonard (My Life as a Cat), what is the exact time in which Leonard will be picked up from Earth?",23,9:01 AM
"In the book Leonard (My Life as a Cat), what does Leonard call a group of cats?",25,A clowder
"In the book Leonard (My Life as a Cat), Leonard's instincts told him to destroy Norma's curtains. What color were they? ",25,Tan 
"Two Parts: In the book Leonard (My Life as a Cat), what is Olive's mom's boyfriend's name?",29,Frank
"In the book Leonard (My Life as a Cat),  what does Olive's mom call Norma?",29,The captain
"In the book Leonard (My Life as a Cat), in which state do Olive and her mom live?",29,Maine
"In the book Leonard (My Life as a Cat), what was Olive's great-grandpa's name?",30,Leonard
"In the book Leonard (My Life as a Cat), what is the name of Norma's dog?",40,Stanley 
"In the book Leonard (My Life as a Cat), Q tells Olive to avoid trying what flavor of ice cream?",56,clam 
"Two Parts: In the book Leonard (My Life as a Cat), what are the names of the sharks at the Turtle Beach Aquarium?",57,Steve and Martin
"In the book Leonard (My Life as a Cat), according to Q, what type of sharks are friendly?",57,nurse sharks
"Two Parts: In the book Leonard (My Life as a Cat), name two of the butterfly fish at the Turtle Beach Aquarium.",59,"Any Two: Cletus, Octavia, and Kim"
"In the book Leonard (My Life as a Cat), who does Leonard think should be running the world?",66,dolphins
"In the book Leonard (My Life as a Cat), according to Olivia, hippopotamus milk is what color?",75,pink
"In the book Leonard (My Life as a Cat), Q buys Leonard a new collar. What color is it?",79,black (with a silver tag)
"In the book Leonard (My Life as a Cat), what type of ice cream do Q and Olivia get from the aquarium cafeteria?",83,vanilla
"In the book Leonard (My Life as a Cat), Leonard writes a message on Olivia's wall in crayon. What does it say?",88,alien
"In the book Leonard (My Life as a Cat), Olivia tells Leonard that three percent of Antarctic ice is what?",91,penguin urine
"In the book Leonard (My Life as a Cat), what is Leonard's planet made of? ",105,helium
"In the book Leonard (My Life as a Cat), how old is Leonard?",106,300
"In the book Leonard (My Life as a Cat), how old is Olive?",108,eleven
"In the book Leonard (My Life as a Cat), what date is Norma's huge ""Save the Turtles"" event scheduled for?",111,July eighteenth
"In the book Leonard (My Life as a Cat), how many hours, by car, is Yellowstone from Turtle Beach?",112,thirty-four hours 
"In the book Leonard (My Life as a Cat), according to Olive what type of crabs can change their color? ",121,ghost crabs
"In the book Leonard (My Life as a Cat), how long has Q worked at the aquarium?",114,20 years
"In the book Leonard (My Life as a Cat), Olive gets Leonard a raincoat from which neighbor?",110,Mrs. Kowalski
"In the book Leonard (My Life as a Cat), what movie do Olive, Norma and Leonard go to at the Turtle Beach Cinema?",127,The Wizard of Oz
"Two Parts: In the book Leonard (My Life as a Cat), list two types of food that Olive feeds the penguins at the aquarium.",141,"Any Two: sardines, anchovies and squid"
"Two Parts: In the book Leonard (My Life as a Cat), name two recreational board games that Leonard learns how to play.",147,"Any Two: Monopoly, Battleship and Hungry Hungry Hippos"
"Two Parts: In the book Leonard (My Life as a Cat), Leonard and Olive studied poetry books by which poets?",147-148,"Any Two: Walt Whitman, Emily Dickinson, Robert Frost, Langston Hughes, and William Carlos Williams"
"Two Parts: In the book Leonard (My Life as a Cat), list two types of cheese Olive uses to make cheese sandwiches for her dinner party.",156,"Any Two: cheddar, Swiss, Brie, Gouda, American, goat cheese, Muenster and string cheese"
"In the book Leonard (My Life as a Cat), how many sandwiches do Olive and Leonard make for their dinner party?",157,twenty-five
"In the book Leonard (My Life as a Cat), Q brings what type of drink to Olive and Loenard's dinner party?",158,(a six-pack of) rootbeer
"In the book Leonard (My Life as a Cat), what does Leonard leave on Olive's pillow right before they leave for Yellowstone?",182,a (perfect) blue pebble
