Content Questions,Page #,Answer
,,
"In Solimar, The Sword of the Monarchs, how many provincial kingdoms are there?",1,12
"In Solimar, The Sword of the Monarchs, what is the name of the quetzal that flies with Solimar",2,Lazaro
"In Solimar, The Sword of the Monarchs, what is the name of Solimar's abuela?",8,Dona Ana Socorro
"In Solimar, The Sword of the Monarchs, what is the name of the kingdom where Solimar lives?",1,San Gregario
"In Solimar, The Sword of the Monarchs, what herb does Solimar's abuela ask her to help her find?",13,Spearmint (Mentha Spicata)
"In Solimar, The Sword of the Monarchs, what is the name of Solimar's best friend?",20,Maria Batista
"In Solimar, The Sword of the Monarchs, what item is abuela's cat affectionately attached to?",21,a green woolen sock
"In Solimar, The Sword of the Monarchs, what is the name of the King's oldest friend and most trusted advisor?",32,Senor Verde
"In Solimar, The Sword of the Monarchs, what is the name of the magical doll that joins Solimar on her journey?",66,Zarita
"In Solimar, The Sword of the Monarchs, what is the name of abuelas cat?",21,Serafina
"In Solimar, The Sword of the Monarchs, what is the name of the sacred forest where the monarchs return?",-1,Oyamel Fir Forest
"In Solimar, The Sword of the Monarchs, what is Solimar's older brothers first name?",11,Constantino 
"In Solimar, The Sword of the Monarchs, what is Solimar's older brothers nickname?",11,Campeon
"In Solimar, The Sword of the Monarchs, what is the name of the ship Campeon plans to sail on?",42,La Quinta
"In Solimar, The Sword of the Monarchs, what is the nickname for the boy who rescued Solimar from the river?",98,Berto
"In Solimar, The Sword of the Monarchs, what did Berto name the boat he made?",116,La Magdalena
"In Solimar, The Sword of the Monarchs, what is the name of the net and pulley system created by Berto?",99,The Confiscator
"In Solimar, The Sword of the Monarchs, what is the name of the magical woman who helps Solimar escape?",90,Dona Flor
"In Solimar, The Sword of the Monarchs, what color were the high heels planned for Solimar's quinceanera?",74,Silver
"In Solimar, The Sword of the Monarchs, name 3 of the dress colors for Solimar's quinceanera.",76,"Turquoise (Maria), Pistachio (Estela), Coral (Solimar)"
"In Solimar, The Sword of the Monarchs, what does Berto use as a sun shade for Solimar?",148,a banana leaf
"In Solimar, The Sword of the Monarchs, what fruit is grown in Valle Granada?",105,Pomegranate
