Content Questions,Page #,Answer
,,
"In The Wild Robot, After the cargo ship sank, out of the hundreds of crates, how many crates actually floated to the island?",2,Five
"In The Wild Robot, How many otters made up the gang of sea otters who discovered the robot gravesite?",4-5,Ten
"In The Wild Robot, Where is the ON/OFF button located on the robot, that the otters accidently touch?",6,On the back of the robots head
"In The Wild Robot, What is the first word the robot says after it was turned on?",7,Hello
"In The Wild Robot, Two - Part Question: What is the official name of the robot and unit number?",7,"Rozzum, Unit 7134"
"In The Wild Robot, What part of Roz/s computer brain made her want to avoid danger and take care of herself so the could continue functioning properly?",11,Survival Instincts
"In The Wild Robot, What does Roz lock her legs around while waiting for a storm to blow over?",29,A tree
"In The Wild Robot, What does Rox throw at the two bears to annoy them and make them go away?",35-37,Pinecones
"In The Wild Robot, How does Roz get out of the pine tree?",39,She fell out (the branch broke)
"In The Wild Robot, What do the animals call the hour each morning when they agree not to harm or hunt each other?",49,The Dawn Truce
"In The Wild Robot, Which two types of island residents do not join the morning gathering of animals in the meadow? (Name both) ",49,Bears & Vultures
"In The Wild Robot, What type of animal is Swooper?",49,Owl
"In The Wild Robot, What type of animal is Dart?",50,Weasel
"In The Wild Robot, What type of animal is Digdown?",50,The Groundhog
"In The Wild Robot, What is Roz camouflaged as in the meadow?",50,A grassy lump
"In The Wild Robot, What type of animal is Crownpoint?",51,A buck (deer)
"In The Wild Robot, n addition to 'Thanks Roz, what else does Fink the fox say?",56,I owe you one
"In The Wild Robot, What does Fink want to do with the gosling egg that Roz is holding?",61,Eat it
"In The Wild Robot, Two-Part Question: Name the type of animal and the animal's name that Roz is describing in this statement, ""You are a marsupial, and are nocturnal, and are known for mimicking the appearance and smell of dead animals when threatened.""?",66 -67,Opossum AND Pink Tail
"In The Wild Robot, Two-Part Question: Name the type of animal and the animal's name that helped Roz, teaching her how to mother the gosling.",75,Goose AND Loudwing
"In The Wild Robot, What name does Loudwing suggest to Roz for her adopted gosling?",76,Brightbill
"In The Wild Robot, What is Mr. and Mrs. Beaver's son's name?",81,Paddler
"In The Wild Robot, How many trees does Mr. Beaver ask Roz to bring him, so he can build her and Brightbill a home?",82,Four
"In The Wild Robot, When building the lodge, what does Roz do when Brightbill is cold?",86,Built a fire
