Content Questions,Page #,Answer
,,
" In the book, Thirst, what is the name the sea Minni and her brother, Sanjay stare at from the rooftop?",1,Arabian Sea
"In the book, Thirst, what does the sea's link bridge looks like?",1,The letter M
"In the book, Thirst, when do the authorities supply water to Minni's neighborhood each day?",1,2 hours every morning and 1 hour each evening
" In the book, Thirst, what flower do the neighborhood  women drape the tap with?",2,Marigolds
"In the book, Thirst, what object blocks the ocean view?",2,Billboards with glamorous Bollywood movie stars
"In the book, Thirst, who helped paint the homes in the Neighborhood?",2,Charity
"In the book, Thirst, what color paint did Minni choose to paint her house?",2,Yellow
"In the book, Thirst, what is desalination?",3,The process of making sea water drinkable
"In the book, Thirst, how old is  Minni's brother, Sanjay?",3,Fifteen
"In the book, Thirst, what grade is Minni's brother, Sanjay in?",3,Tenth
"In the book, Thirst, what profession does Minni's brother, Sanjay dream of becoming?",3,Chef
"Two part question; In the book, Thirst, who was Minnie named after and what is her real name?",5,"Her mom's sister, and Meena"
"In the book, Thirst, what is Sanjay's nickname for Minni?",4,Minni Meow
"In the book, Thirst, what is the proverb that Minni's father believes in?",7,See no evil hear no evil and say no evil
"In the book, Thirst, what is Baba's (Minni & Sanjay's father) job?",7,He owns a tea shop
"In the book, Thirst, what is the name of Baba's shop?",7,Jai Ho
"In the book, Thirst, what Jai Ho mean?",7,Victory
"In the book, Thirst,where do Sanjay and Minni sleep?",7,A small loft
"In the book, Thirst, what kind of locket does Ma (Minni & Sanjay's mother) wear?",7,Ganesh
"In the book, Thirst, what is Ma's job?",9,She cooks and cleans for a family who live in the expensive high rise
"In the book, Thirst, who gives Ma an Alphonoso mango?",9,"Pinky, the daughter of her employer"
"In the book, Thirst, who paid Minni's school fees this year?",10,"Anita Ma'am, Minni's mother's employer"
"In the book, Thirst, who employs Ma? ",10,Anita Ma'am
"In the book, Thirst, what is the name of the neighborhood dog?",12,Moti
"In the book, Thirst, what is Naan Aunty famous for?",12,She makes the best Naans (bread)
"In the book, Thirst, why can the cars not enter the neighborhood?",13,Because the streets are too narrow
"In the book, Thirst, what is the name of Minni’s friend who was neighborhood storyteller?",14,Shanti
"In the book, Thirst, what does Minni do to help untangle her thoughts and calm her mind?",14,Keeps a journal OR writes poetry
"In the book, Thirst, who is Minni's best friend?",16,Faiza
"In the book, Thirst, what does Faiza’s Ammi make for Eid and always shares with Minni?",17,Kabobs
"In the book, Thirst, what Ma make for Diwali and always shares with Faiza?",17,Ladoos
"In the book, Thirst, what religion is Minni and here family?",17,Hindu
"In the book, Thirst, what religion is Faiza and ger family ?",17,Muslim
"In the book, Thirst, where does Shanti tell her stories to the community?",17,Under a banyan tree
"In the book, Thirst, what did King John of Portugal promise to Charles II of England as a dowry for marrying his daughter, Catherine of Braganza?",18,Bombay
"In the book, Thirst, what is the name of Sanjat's friend, who lets them ride in a new Mercedes?",19,Amit
"In the book, Thirst, what is the profeesion of Amit's Uncle, Ram ?",19,Chauffer
"In the book, Thirst, what does Sanjay yell out of the car? when he stands up into the moonroof?",22,“Mumbai! I’m Sanjay!”
"In the book, Thirst, what does Ram tell the kids to do when he leaves the car?",22,Stay in the car
"In the book, Thirst, why do Amit and Sanjay leave the car?",23,To check out the huge water tank behind the tracks
"In the book, Thirst, what did Minni notice about the man stealing water and pumping it into the truck?",24,He has a scar on his face
"In the book, Thirst, how do Sanjay and Minni share secrets in the loft, so Maa will not hear?",28,They write in a notebook
"In the book, Thirst, where are Amit and Sanjay sent away to stay?",31,New Delhi 
"In the book, Thirst, why are Amit and Sanjay sent away?",31,"For safety reasons, for being caught at the water tank site?"
"In the book, Thirst, what organization steals the water of Mumbai?",31,The Mafia
"In the book, Thirst, what will Sanjay and Amit do in New Delhi?",33,Work on a family farm
"Two part question; In the book, Thirst, name what the two pictures Sanjay has hanging on the loft's wall?",38,Golden Samosa’s and Chicken Korma
"In the book, Thirst, what is wrong with Ma, when Minni walks her to the clinic?",48,Stomach virus
"In the book, Thirst, why is Ma leaving the neighborhood?",54,To recuperate at her family's village
"In the book, Thirst, what does Ma teach Minni to make before Maa leaves for the village?",53,Roti
"In the book, Thirst, what  job does Minni have to do after school, while her mother is gone?",54,"Work for Anita Ma'am, work her mother's house cleaning/cooking job"
"In the book, Thirst, who rides the bus with Minni on her first day working as her mother?",65,Faiza
"In the book, Thirst, how ols is Minni?",70,Twelve
"In the book, Thirst, how old is Pinky?",70,Twelve
"In the book, Thirst, what is the name of the school guard?",77,Shiva
"In the book, Thirst, what scholarship did Minni win?",85,A scholarship for computer classes
"In the book, Thirst, what day of the week is the computer class?",86,Sundays
"In the book, Thirst, what name do the girls call the computer teacher?",90,Priya Didi
