Content Questions,Page #,Answer
,,
"In A Time Traveler's Theory of Relativity,what are the names of Finn's two great-aunts? (two part question)",6,Aunt Ev and Aunt Billie 
"In A Time Traveler's Theory of Relativity, how old does Finn turn on his birthday?",7,thirteen (13)
"In A Time Traveler's Theory of Relativity, what is the name of the trailhead behind Finn's Gran's house?",10,Dorset Peak
"In A Time Traveler's Theory of Relativity, what do they call outsiders to Dorset?",21,flatlanders
"In A Time Traveler's Theory of Relativity, what is Finn's favorite soup? ",35,potato soup (with bacon)
"In A Time Traveler's Theory of Relativity, what does MIW stand for?",46,Many Interacting Worlds (Theory)
"In A Time Traveler's Theory of Relativity, what do they call someone who can travel through time?",60,a Traveler
"In A Time Traveler's Theory of Relativity, what did Finn's mom turn into a portal?",63,a tree (on Dorset Peak)
"In A Time Traveler's Theory of Relativity, what was Finn's twin sister's name?",66,Faith
"In A Time Traveler's Theory of Relativity, where is the portal that Finn's mother made?",66,on Dorset Peak
"In A Time Traveler's Theory of Relativity, what is Gran's boyfriend called?",69, Doc (Lovell) or Dr. Lovell 
"In A Time Traveler's Theory of Relativity, in which state is Dorset?",93,Vermont
"In A Time Traveler's Theory of Relativity, where is Gabi's family originally from?",98,Puerto Rico
"In A Time Traveler's Theory of Relativity, what are telescoping poles?",102,(metal) walking sticks 
"In A Time Traveler's Theory of Relativity, what color is the rug in Finn's dad's office?",104,maroon
"In A Time Traveler's Theory of Relativity, which century is Finn's dad's favorite?",104,1800s  or 19th century
"In A Time Traveler's Theory of Relativity, what does ISTA stand for?",116,International Society of Temporal Adherence
"In A Time Traveler's Theory of Relativity, what's the name for the version of yourself that belongs in your own time period?",118,an Initial
"In A Time Traveler's Theory of Relativity, what happens when people travel too close to their Initial?",155,they move like spliced film OR they stutter-step OR their Initial shimmers
"In A Time Traveler's Theory of Relativity, who is in charge of the International Society of Temporal Adherence (ISTA)?",155,(Finn's) Gran
"In A Time Traveler's Theory of Relativity, what was Gabi's brother's name?",171,Xavi OR Xavier
"In A Time Traveler's Theory of Relativity, what is an opening move called in chess?",173,a gambit
"In A Time Traveler's Theory of Relativity, what color of blazes marks the quickest trail to the top of Dorset Peak?",154,orange
"In A Time Traveler's Theory of Relativity, what is a cairn?",161,a (tottering) stack of stones
"In A Time Traveler's Theory of Relativity, name two words Finn uses to describe how Gabi makes him feel. (two-part question)",176,solid AND grounded 
"In A Time Traveler's Theory of Relativity, what is nailed to the door of the hunter's cabin? Be specific.",179, (rotting) animal skull
"In A Time Traveler's Theory of Relativity, name two things Finn finds in the loft of the hunter's cabin. Be specific.",182,"any two-- blankets, hurricane lamp, travel cooler, bottled water"
"In A Time Traveler's Theory of Relativity, what does Finn say is the ""closest thing to real magic"" that he's read about?",190,quantum mechanics
"In A Time Traveler's Theory of Relativity, in what year did Finn first find his mom?",204,1878
"In A Time Traveler's Theory of Relativity, what do time travelers call alternate timelines they've experienced?",208,imprints 
"In A Time Traveler's Theory of Relativity, with what kind of car does Doc try to take Faith?",241,Jeep
"In A Time Traveler's Theory of Relativity, what does little Faith call their mother?",247,Mommy
"In A Time Traveler's Theory of Relativity, who is the actor in whose movie Aunt Ev is caught on film?",310,Charlie Chaplin
"In A Time Traveler's Theory of Relativity, name the two things Aunt Ev gives Finn for his 13th birthday. Be specific.",314,"physics books, vintage watch"
"In A Time Traveler's Theory of Relativity, what color is the body bag into which Gabi is put when she is rescued on Dorset Peak?",293,orange
"In A Time Traveler's Theory of Relativity, How old was Finn when his sister supposedly drowned?",244,three
"In A Time Traveler's Theory of Relativity, Finn is getting ready to celebrate which birthday?",4,13th
"In A Time Traveler's Theory of Relativity, What is Finn's father's occupation?",9&3&60,history professor
"In A Time Traveler's Theory of Relativity, What month is Finn's birthday?",5,October
"In A Time Traveler's Theory of Relativity, What has the marble quarry been transformed into?",23,Swimming hole
"In A Time Traveler's Theory of Relativity, What grade was Finn in when he met Gabi?",20,third
"In A Time Traveler's Theory of Relativity, Gabi's brother served in which branch of military when he was killed overseas?",21,Marines
"In A Time Traveler's Theory of Relativity, How many sisters does Gran have?",39-40,two
