Content Questions,Page #,Answer
,,
"In Twins, What is the name of the middle school Francine and Maureen go to?",1,O'Connor Middle School
"In Twins, What grade are Francine and Maureen in?",2,6th grade
"In Twins, Which twin is in Cadet Corps?",6,Maureen
"In Twins, Dad said that Francine was the talker and Maureen was the 'What'?",8,Thinker
"In Twins, What does Maureen think caused the class scheduling mishap for her and her sister?",9,Computer glitch
"In Twins, Which twin is 1/4 inch shorter?",10,Maureen
"In Twins, What type of twins are Francine and Maureen?",10,Identical
"In Twins, Which twin has a slight overbite?",10,Maureen
"In Twins, Which twin has ragged fingernails?",10,Maureen
"In Twins, Which twin has scars from chicken pox?",10,Maureen
"In Twins, Which twin has pierced ears?",11,Francine
"In Twins, Which twin weighs one pound heavier?",11,Francine
"In Twins, Which twin has two beauty marks?",11,Francine
"In Twins, Which twin has a small burn scar?",11,Francine
"In Twins, Which twin did not wear a hat on the first day of school?",13,Maureen
"In Twins, Name two of the three friends who all wore hats on the first day of school?",13,"Nikki, Tasha, Monique"
"In Twins, What color hat does Francine wear on the first day of school?",13,Green
"In Twins, Which friend tells Maureen she's lucky to be dressed different? ",14,Monique
"In Twins, What is the name of Francine's and Maureen's advisory teacher?",17,Mrs. Barbosa
"In Twins, What name does Francine want to be called now?",17,Fran 
"In Twins, When does Maureen report to lunch?",18,Between fourth and fifth period
"In Twins, Where does Maureen go during lunch on the first day of school?",25,Library
"In Twins, What branch of the military did Master Lucienda Fields serve?",26,United States Army
"In Twins, What does Master Sergeant Field want from the cadet when she says, ""Cadet, give me ten!?",26,Push ups
"In Twins, What does Y.C.C. stand for?",27,Youth Cadet Corps
"In Twins, What is Private Jackson's first name?",28,Bryce
"In Twins, What is Francine's favorite class on the first day of school?",30,Chorus
"In Twins, Who is Francine named after?",32,Her Great Grandmother
"In Twins, Two-Part Question: What are the colors of Maureen's and Francines's bedspreads? ",35,Maureen's is purple and Francine's is blue
"In Twins, Two-Part Question: Which twin is older and by how much?",36,Francine & Two minutes
"In Twins, Who does Francine suggest Maureen try sitting by at lunch?",37,The Cadet Corps Kids
"In Twins, What is the name of the librarian at the Middle School? ",39,Mrs. Colbert
"In Twins, What is Maureen and Francine's brothers name?",40,Curtis
"In Twins, In what grade did Maureen and Francine meet Nikki and Tasha?",49,Kindergarten
"In Twins, In what grade did Monique start going to the same school as Maureen and Francine?",49,Third Grade
"In Twins, What does Maureen and Francine""s dad call Monique?",50,The fifth gear
"In Twins, What does Private Jackson tell Maureen she is bad at in Y.C.C. (Youth Cadet Corp)?",56,Drill
"In Twins, Who tells Maureen that her parents inquired about Y.C.C.?",60,Master Sergeant Fields 
"In Twins, Who asked mom and dad to put the sisters in different classes?",69,Francine
"In Twins, Why do Maureen's' parents want her to be in Cadet Corps?",67,They don't think she has high self-confidence
"In Twins, What position does Maureen run for on Student Council?",87,President
"In Twins, What is the name of the store in the mall that Maureen and her friends are treated badly?",86 & 91,Mercy Danger
"In Twins, Who told Fran that Maureen was also running for student council president?",96 & 97,Mr. Wilson (6th grade student council advisor)
"In Twins, How does dad decide which twin gets which bedroom for the time before the election?",116,Flip a coin
"In Twins, Which twin won the coin toss and gets to stay in their own bedroom?",116,Francine
"In Twins, What do Maureen and Francine name the stuffed bears their dad won for them at the carnival? ",120,Venus and Serena
"In Twins, What are the two reasons that make it necessary for the cadets to salute?",128,Name both - Outdoors and in uniform
"In Twins, What is Maureen's campaign platform?",31,6th grade and 7th grade buddy system
"In Twins, What are the names of Maureen and Francine's friends who don't want to choose campaign sides?",133,Nikki and Tasha
"In Twins, What are the titles of the two books Richard looks at while in Maureen's bedroom? ",135,Name both - Smile & BSC (Baby Sitters Club)
"In Twins, What inappropriate words are written on Maureen's campaign poster?",149,Barf Face and Gross
"In Twins, Who does Francine tell what happened during the Fifth grade Earth Day Contest speech?",160,Her gym class
"In Twins, What is Francine's campaign platform?",180,More interaction between clubs at school
"In Twins, What does Amber do to help Richard pay better attention in class?",198,Takes his sketchbook away before class
"In Twins, What is the name of the friend tho stayed on Francine's' campaign committee?",201,Monique
"In Twins, What was Francine doing after school instead of campaign committee? ",206,Getting tutored (math)
"In Twins, Which twin graduated at the top of their fifth grade class?",208,Maureen
"In Twins, Instead of going to Monique's house on Friday night, what did the twins do?",225,Worked on their campaign speeches
"In Twins, What does Maureen wear on speech day?",227,Cadet Corp Uniform
"In Twins, Who does Maureen ask to dance at the first school dance of the year? ",247-248,Francine (her sister)
"(2 PARTS) In Twins by Varian Johnson and Shannon Wright, what are the names of the twin sisters?",2-3,Maureen and Francine
"In Twins by Varian Johnson and Shannon Wright, which character is disappointed to be ""stuck in Cadet Corps and first lunch""?",6,Maureen  
"In Twins by Varian Johnson and Shannon Wright, what is the twins' last name?",9,Carter
"In Twins by Varian Johnson and Shannon Wright, who says she loves Francine's ""throwback"" hat?",8,Amber
"In Twins by Varian Johnson and Shannon Wright, which twin has a slight overbite and scars from chicken pox?",10,Maureen
"In Twins by Varian Johnson and Shannon Wright, which twin has pierced ears and is one pound heavier?",11,Francine
