In Which Book Questions,Page #,Title,Author
,,,
In which book ...does a dad drive his twins to their first day of 6th grade?,2,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say ""the eighties called, they want their hat back""? ",7,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say ""we don't hold hands to walk to the cafeteria""? ",19,Twins,Varian Johnson and Shannon Wright
"In which book ...is the school mascot ""the Jaguars""?",20,Twins,Varian Johnson and Shannon Wright
"In which book ...is there a Land of Glitter, Valley of Burps and Smells, Jock Mountain, and Ribbon Ravine?",22 & 23,Twins,Varian Johnson and Shannon Wright
In which book ...is the library referred to as No Man's Land?,25,Twins,Varian Johnson and Shannon Wright
In which book ...was a character previously in the US Army and severed tours in Afghanistan and Korea?,26,Twins,Varian Johnson and Shannon Wright
In which book ...do characters practice marching in a parking lot?,28,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say, ""It's like every other kid has either taken private lessons or is a natural-born singer"".? ",37,Twins,Varian Johnson and Shannon Wright
In which book ...is a main character's brother a first grade teacher? ,41,Twins,Varian Johnson and Shannon Wright
In which book ...is there a store in the mall called Temporarily 22?,48,Twins,Varian Johnson and Shannon Wright
"In which book... do two different characters say, ""If I have to pick between being bored at home or walking around the mall, I pick the mall"".?",51 & 53,Twins,Varian Johnson and Shannon Wright
In which book ...is being bad at drill enough to drop a grade from an A to a B?,56,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say, ""I promised I'd do everything I could to boost your self-confidence.""? ",60,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say, ""Careful with the door, you don't want to hurt the cars feelings.""?",63,Twins,Varian Johnson and Shannon Wright
In which book ...are the parents named Diane and Harold?,40 & 65,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say, ""I asked Mom and Dad to put us in separate classes.""?",69,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character say, ""If you're so self-confident, why are you still hiding in the library during lunch""?",71,Twins,Varian Johnson and Shannon Wright
In which book ...does a character think their sibling would make a great treasurer?,75,Twins,Varian Johnson and Shannon Wright
In which book ...do sisters both run for student council president?,81,Twins,Varian Johnson and Shannon Wright
In which book ...does a character receive extra credit in social studies for helping out on a campaign?,100,Twins,Varian Johnson and Shannon Wright
"In which book ...does a character ask, ""What type of sister runs against her own flesh and blood?""",107,Twins,Varian Johnson and Shannon Wright
In which book ...do parents think a little competition may be good for their children?,111,Twins,Varian Johnson and Shannon Wright
In which book ...is a character tired of competing with their sibling? ,111,Twins,Varian Johnson and Shannon Wright
"In which book ...do parents explain a new plan at dinner, that siblings will live in separate rooms for two weeks.?",115,Twins,Varian Johnson and Shannon Wright
In which book ...does a family stop at a roadside amusement park on their way to Florida?,119,Twins,Varian Johnson and Shannon Wright
